"item","M","SD_within","SD_between","ICC","range"
"angry",1.52,0.99,0.41,0.15,"1 - 6"
"excluded",1.53,0.82,0.77,0.47,"1 - 6"
"envious",1.17,0.5,0.29,0.26,"1 - 6"
"resentful",1.12,0.44,0.22,0.21,"1 - 6"
"ashamed",1.24,0.6,0.34,0.25,"1 - 6"
"insecure",1.71,0.94,0.63,0.31,"1 - 6"
"anxious",1.56,0.78,0.7,0.44,"1 - 6"
"sad",1.7,0.94,0.8,0.43,"1 - 6"
"lonely",1.77,0.88,0.99,0.56,"1 - 6"
"proud",2.3,1.15,0.88,0.37,"1 - 6"
"success",2.78,1.28,0.97,0.37,"1 - 6"
"superior",1.56,0.81,0.66,0.4,"1 - 6"
"enthusiastic",2.52,1.28,0.75,0.26,"1 - 6"
"relaxed",3.78,1.14,0.91,0.39,"1 - 6"
