"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,3,0.071,0.457,0.664,-0.396,-0.414,73,109,-1.027,0.079,0.138,0.502,1.404,0.218,0.34,1.434,0,0.426,0.969,0.097,0.269,0.494,0,0,1,0,1.694,12,164,174.305,176,164,174.305,176,164,174.305,176,0,0,0,2781,4951.852,5000
"random",14,4,0.29,0.527,0.714,-0.333,-0.345,73,109,-0.899,0.07,0.125,0.445,1.972,0.255,0.351,1.474,0.142,0.518,0.974,0.074,0.222,0.415,0,0,0,0,1.039,6,170,174.961,176,170,174.961,176,170,174.961,176,0,0,0,3164,4970.494,5000
"random",14,5,0.35,0.573,0.756,-0.277,-0.271,79,109,-0.877,0.062,0.12,0.392,1.31,0.273,0.353,0.471,0.297,0.573,0.764,0.051,0.183,0.398,0,0,0,0,0.724,4,172,175.276,176,172,175.276,176,172,175.276,176,0,0,0,3498,4979.438,5000
"random",14,6,0.087,0.498,0.769,-0.173,-0.204,79,84,-0.829,3.096,0.121,0.476,8.016,0.291,0.844,2.842,0.406,0.759,0.994,0.028,0.122,0.25,0,0,1,0,0.085,2,174,175.915,176,174,175.915,176,174,175.915,176,0,0,0,4738,4997.58,5000
"random",14,7,0.425,0.624,0.799,-0.176,-0.148,79,109,-0.803,0.033,0.119,0.317,1.258,0.292,0.37,0.461,0.427,0.639,0.77,0.034,0.107,0.216,0,0,0,0,0.449,3,173,175.551,176,173,175.551,176,173,175.551,176,0,0,0,3952,4987.244,5000
"random",14,8,0.127,0.563,0.814,-0.098,-0.094,79,84,-0.775,2.076,0.118,0.385,6.698,0.306,0.713,2.436,0.489,0.755,0.992,0.023,0.075,0.153,0,0,0,0,0.055,2,174,175.945,176,174,175.945,176,174,175.945,176,0,0,0,4807,4998.438,5000
"random",14,9,0.464,0.654,0.821,-0.092,-0.058,79,158,-0.77,0.013,0.097,0.27,1.222,0.314,0.384,0.47,0.521,0.677,0.787,0.011,0.064,0.131,0,0,0,0,0.322,3,173,175.678,176,173,175.678,176,173,175.678,176,0,0,0,4261,4990.847,5000
"random",20,3,0.221,0.514,0.702,-0.381,-0.399,73,109,-0.917,0.079,0.136,0.475,1.243,0.217,0.322,0.488,0.107,0.579,0.824,0.051,0.241,0.46,0,0.001,1,0,1.401,11,165,174.598,176,165,174.598,176,165,174.598,176,0,0,0,3102,4960.182,5000
"random",20,4,0.174,0.591,0.777,-0.314,-0.327,73,109,-0.776,0.07,0.123,0.414,1.493,0.243,0.333,1.484,0.368,0.646,0.983,0.023,0.147,0.324,0,0,0,0,0.795,6,170,175.205,176,170,175.205,176,170,175.205,176,0,0,0,3554,4977.415,5000
"random",20,5,0.389,0.638,0.794,-0.254,-0.26,73,109,-0.672,0.06,0.117,0.359,1.687,0.265,0.341,1.472,0.501,0.686,0.984,0.034,0.138,0.33,0,0,0,0,0.54,4,172,175.46,176,172,175.46,176,172,175.46,176,0,0,0,3871,4984.648,5000
