"occasions_drawn","n_occasions","itemset_type","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimProbNeg_raw_min","estimProbNeg_raw_mean","estimProbNeg_raw_max","estimProbPos_raw_min","estimProbPos_raw_mean","estimProbPos_raw_max"
"random",14,"3 items: low endorsement",0.305,0.422,0.518,-0.079,-0.116,63,131,-0.458,0.842,0.01,0.242,0.842,0.257,0.288,0.312,0.246,0.491,0.971,0.324,0.378,0.449,0,0,0,6,8.169,11
"random",20,"3 items: low endorsement",0.344,0.437,0.514,-0.074,-0.115,63,131,-0.458,0.842,0.009,0.232,0.842,0.249,0.283,0.302,0.551,0.643,0.732,0.312,0.361,0.42,0,0,0,5,7.576,11
"random",30,"3 items: low endorsement",0.371,0.453,0.535,-0.063,-0.099,63,131,-0.458,0.842,0.008,0.218,0.842,0.258,0.277,0.295,0.726,0.947,0.997,0.273,0.335,0.381,0,0,0,3,5.917,9
"random",40,"3 items: low endorsement",0.381,0.475,0.535,-0.06,-0.098,63,131,-0.458,0.842,0.006,0.207,0.842,0.255,0.271,0.285,0.776,0.848,0.99,0.267,0.313,0.358,0,0,0,4,6.25,9
"random",50,"3 items: low endorsement",0.438,0.491,0.545,-0.056,-0.095,63,131,-0.458,0.842,0.005,0.198,0.842,0.255,0.268,0.288,0.833,0.864,0.893,0.278,0.316,0.352,0,0,0,5,5.814,9
"random",60,"3 items: low endorsement",0.426,0.502,0.529,-0.052,-0.095,63,131,-0.458,0.842,0.005,0.189,0.842,0.254,0.264,0.276,0.871,0.906,0.994,0.273,0.3,0.335,0,0,0,4,5.051,6
"random",14,"3 items: high endorsement",0.305,0.501,0.646,0.055,0.046,79,162,-0.417,0.379,0.015,0.229,0.572,0.255,0.276,0.296,0.592,0.651,0.725,0.125,0.175,0.239,0,0,0,0,0.8,3
"random",20,"3 items: high endorsement",0.369,0.537,0.658,0.067,0.054,79,95,-0.413,0.371,0.013,0.209,0.551,0.244,0.257,0.274,0.659,0.714,0.779,0.091,0.144,0.21,0,0,0,0,0.667,2
"random",30,"3 items: high endorsement",0.485,0.607,0.692,0.084,0.071,79,153,-0.301,0.444,0.015,0.186,0.547,0.229,0.24,0.251,0.755,0.815,0.986,0.08,0.107,0.142,0,0,0,0,0.25,2
"random",40,"3 items: high endorsement",0.563,0.646,0.728,0.092,0.087,79,153,-0.277,0.416,0.014,0.171,0.509,0.214,0.225,0.237,0.796,0.819,0.849,0.051,0.083,0.125,0,0,0,0,0.2,1
"random",50,"3 items: high endorsement",0.641,0.701,0.749,0.098,0.082,79,153,-0.165,0.473,0.014,0.156,0.521,0.209,0.217,0.227,0.829,0.845,0.866,0.051,0.071,0.097,0,0,0,0,0.033,1
"random",60,"3 items: high endorsement",0.648,0.721,0.749,0.101,0.087,79,153,-0.158,0.535,0.012,0.145,0.538,0.198,0.21,0.215,0.839,0.861,0.874,0.04,0.062,0.08,0,0,0,0,0.017,1
"random",14,"6 items: low endorsement",0.461,0.612,0.743,-0.094,-0.087,79,175,-0.432,0.069,0.014,0.155,0.623,0.15,0.178,0.206,0.475,0.771,0.988,0.136,0.192,0.273,0,0,0,0,0.117,2
"random",20,"6 items: low endorsement",0.578,0.677,0.793,-0.084,-0.076,152,151,-0.313,0.048,0.011,0.138,0.495,0.15,0.174,0.202,0.56,0.716,0.804,0.102,0.151,0.199,0,0,0,0,0.467,2
"random",30,"6 items: low endorsement",0.639,0.747,0.838,-0.075,-0.069,152,58,-0.28,0.052,0.01,0.118,0.501,0.146,0.163,0.186,0.739,0.799,0.99,0.074,0.11,0.153,0,0,0,0,0.183,1
"random",40,"6 items: low endorsement",0.678,0.801,0.873,-0.071,-0.067,152,68,-0.236,0.058,0.008,0.105,0.383,0.14,0.157,0.172,0.791,0.836,0.866,0.051,0.085,0.125,0,0,0,0,0.133,1
"random",50,"6 items: low endorsement",0.777,0.862,0.897,-0.065,-0.061,152,58,-0.254,0.113,0.008,0.091,0.27,0.145,0.156,0.166,0.851,0.869,0.889,0.045,0.07,0.108,0,0,0,0,0,0
"random",60,"6 items: low endorsement",0.812,0.893,0.912,-0.064,-0.06,152,58,-0.234,0.084,0.005,0.082,0.241,0.141,0.152,0.159,0.865,0.884,0.898,0.04,0.06,0.085,0,0,0,0,0.017,1
"random",14,"6 items: high endorsement",0.42,0.595,0.716,0.027,0.035,79,63,-0.43,0.198,0.023,0.153,0.556,0.19,0.204,0.224,0.61,0.769,0.988,0.028,0.076,0.136,0,0,0,0,0.068,1
"random",20,"6 items: high endorsement",0.529,0.664,0.786,0.036,0.036,79,89,-0.387,0.191,0.023,0.133,0.51,0.172,0.19,0.207,0.677,0.738,0.791,0.023,0.054,0.085,0,0,0,0,0.25,2
"random",30,"6 items: high endorsement",0.632,0.76,0.855,0.048,0.049,79,99,-0.283,0.189,0.021,0.114,0.427,0.162,0.177,0.192,0.765,0.804,0.99,0.017,0.035,0.057,0,0,0,0,0.085,1
"random",40,"6 items: high endorsement",0.708,0.821,0.893,0.053,0.052,79,4,-0.156,0.189,0.013,0.099,0.291,0.155,0.168,0.178,0.804,0.836,0.865,0.017,0.03,0.062,0,0,0,0,0,0
"random",50,"6 items: high endorsement",0.771,0.865,0.913,0.057,0.054,79,99,-0.154,0.193,0.013,0.089,0.244,0.152,0.162,0.169,0.837,0.86,0.879,0.017,0.024,0.034,0,0,0,0,0,0
"random",60,"6 items: high endorsement",0.837,0.903,0.923,0.06,0.057,133,99,-0.101,0.197,0.01,0.079,0.203,0.15,0.158,0.163,0.862,0.876,0.884,0.017,0.022,0.034,0,0,0,0,0,0
"random",14,"8 items: low endorsement",0.438,0.645,0.825,-0.039,-0.03,79,165,-0.394,0.064,0.026,0.122,0.558,0.146,0.172,0.203,0.548,0.748,0.988,0.028,0.074,0.136,0,0,0,0,0.049,1
"random",20,"8 items: low endorsement",0.523,0.718,0.832,-0.028,-0.022,79,98,-0.311,0.075,0.021,0.102,0.497,0.139,0.165,0.189,0.65,0.74,0.819,0.017,0.053,0.097,0,0,0,0,0.245,2
"random",30,"8 items: low endorsement",0.641,0.805,0.895,-0.019,-0.016,79,98,-0.219,0.064,0.014,0.08,0.411,0.133,0.155,0.175,0.74,0.817,0.99,0.006,0.035,0.074,0,0,0,0,0.013,1
"random",40,"8 items: low endorsement",0.719,0.874,0.933,-0.013,-0.01,79,98,-0.136,0.066,0.011,0.063,0.31,0.131,0.149,0.168,0.805,0.844,0.886,0,0.024,0.062,0,0,0,0,0.034,2
"random",50,"8 items: low endorsement",0.795,0.925,0.96,-0.01,-0.008,152,98,-0.093,0.071,0.009,0.049,0.2,0.132,0.145,0.157,0.84,0.867,0.893,0,0.018,0.04,0,0,0,0,0,0
"random",60,"8 items: low endorsement",0.872,0.959,0.976,-0.007,-0.006,12,98,-0.083,0.067,0.008,0.036,0.126,0.128,0.141,0.152,0.858,0.883,0.905,0,0.014,0.034,0,0,0,0,0,0
"random",14,"8 items: high endorsement",0.478,0.65,0.822,-0.018,-0.003,79,63,-0.425,0.058,0.024,0.12,0.569,0.152,0.178,0.204,0.571,0.742,0.988,0.023,0.066,0.136,0,0,0,0,0.045,1
"random",20,"8 items: high endorsement",0.525,0.727,0.86,-0.008,0.003,79,63,-0.3,0.063,0.019,0.101,0.489,0.145,0.17,0.195,0.68,0.75,0.821,0.011,0.047,0.091,0,0,0,0,0.214,2
"random",30,"8 items: high endorsement",0.645,0.816,0.922,0.002,0.007,79,63,-0.21,0.062,0.013,0.079,0.406,0.134,0.16,0.18,0.746,0.826,0.995,0.006,0.032,0.074,0,0,0,0,0.02,1
"random",40,"8 items: high endorsement",0.705,0.883,0.936,0.008,0.011,79,63,-0.126,0.064,0.009,0.062,0.302,0.138,0.154,0.17,0.813,0.851,0.89,0,0.023,0.051,0,0,0,0,0.029,1
"random",50,"8 items: high endorsement",0.821,0.931,0.963,0.011,0.013,133,63,-0.081,0.066,0.006,0.049,0.191,0.136,0.149,0.162,0.848,0.872,0.898,0.006,0.019,0.051,0,0,0,0,0,0
