"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,3,0.208,0.493,0.709,-0.054,-0.047,79,166,-0.321,0.158,0.084,0.214,0.542,0.175,0.238,0.312,0,0.43,0.971,0.091,0.268,0.5,0,0,0,0,1.698,11,165,174.302,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,4,0.24,0.551,0.783,-0.047,-0.036,79,166,-0.353,0.069,0.068,0.179,0.548,0.16,0.211,0.27,0.208,0.52,0.974,0.085,0.222,0.449,0,0,0,0,1.01,6,170,174.99,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,5,0.32,0.588,0.781,-0.042,-0.029,79,158,-0.383,0.02,0.055,0.157,0.56,0.15,0.196,0.244,0.324,0.572,0.761,0.057,0.182,0.381,0,0,1,0,0.721,5,171,175.279,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,6,0.402,0.617,0.793,-0.039,-0.025,79,158,-0.387,0.014,0.045,0.142,0.559,0.127,0.186,0.231,0.272,0.757,0.994,0.028,0.122,0.273,0,0,0,0,0.086,2,174,175.914,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,7,0.392,0.634,0.811,-0.036,-0.021,79,158,-0.402,0.011,0.036,0.131,0.565,0.141,0.18,0.221,0.463,0.638,0.78,0.034,0.108,0.205,0,0,0,0,0.451,3,173,175.549,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,8,0.425,0.651,0.825,-0.034,-0.019,79,158,-0.4,0.007,0.029,0.122,0.562,0.14,0.175,0.209,0.503,0.752,0.992,0.023,0.075,0.165,0,0,0,0,0.054,2,174,175.946,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,9,0.45,0.663,0.848,-0.032,-0.017,79,175,-0.396,0.007,0.023,0.115,0.558,0.139,0.171,0.206,0.55,0.677,0.778,0.011,0.063,0.125,0,0,0,0,0.315,4,172,175.685,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,3,0.28,0.54,0.733,-0.045,-0.039,79,166,-0.252,0.157,0.083,0.197,0.489,0.167,0.226,0.302,0.173,0.58,0.834,0.068,0.241,0.477,0,0,0,0,1.382,11,165,174.618,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,4,0.332,0.606,0.784,-0.037,-0.03,79,166,-0.286,0.065,0.063,0.161,0.498,0.15,0.201,0.253,0.389,0.646,0.991,0.04,0.146,0.324,0,0,0,0,0.798,6,170,175.202,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,5,0.367,0.65,0.81,-0.032,-0.022,79,158,-0.297,0.018,0.049,0.139,0.501,0.147,0.186,0.232,0.503,0.686,0.984,0.04,0.138,0.324,0,0,0,0,0.522,5,171,175.478,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
