"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,3,0.05,0.458,0.658,-0.395,-0.413,73,158,-1.028,0.082,0.141,0.504,1.493,0.239,0.343,1.461,0,0.43,0.971,0.091,0.268,0.5,0,0,0,0,1.698,11,165,174.302,176,165,174.302,176,165,174.302,176,0,0,0,2749,4951.773,5000
"random",14,4,0.247,0.529,0.734,-0.333,-0.345,73,109,-0.938,0.07,0.125,0.444,1.86,0.266,0.351,1.478,0.208,0.52,0.974,0.085,0.222,0.449,0,0,0,0,1.01,6,170,174.99,176,170,174.99,176,170,174.99,176,0,0,0,3207,4971.301,5000
"random",14,5,0.335,0.573,0.749,-0.277,-0.272,79,109,-0.89,0.059,0.123,0.392,1.316,0.278,0.353,0.468,0.324,0.572,0.761,0.057,0.182,0.381,0,0,1,0,0.721,5,171,175.279,176,171,175.279,176,171,175.279,176,0,0,0,3591,4979.523,5000
"random",14,6,0.106,0.502,0.767,-0.175,-0.201,79,84,-0.834,3.208,0.118,0.476,8.118,0.263,0.837,2.836,0.272,0.757,0.994,0.028,0.122,0.273,0,0,0,0,0.086,2,174,175.914,176,174,175.914,176,174,175.914,176,0,0,0,4728,4997.551,5000
"random",14,7,0.417,0.623,0.788,-0.177,-0.147,79,109,-0.823,0.035,0.115,0.317,1.272,0.302,0.37,0.471,0.463,0.638,0.78,0.034,0.108,0.205,0,0,0,0,0.451,3,173,175.549,176,173,175.549,176,173,175.549,176,0,0,0,3937,4987.188,5000
"random",14,8,0.121,0.566,0.815,-0.098,-0.094,79,84,-0.785,2.128,0.115,0.384,6.727,0.31,0.703,2.44,0.503,0.752,0.992,0.023,0.075,0.165,0,0,0,0,0.054,2,174,175.946,176,174,175.946,176,174,175.946,176,0,0,0,4803,4998.472,5000
"random",14,9,0.442,0.655,0.832,-0.092,-0.059,79,158,-0.741,0.012,0.101,0.27,1.211,0.324,0.384,0.461,0.55,0.677,0.778,0.011,0.063,0.125,0,0,0,0,0.315,4,172,175.685,176,172,175.685,176,172,175.685,176,0,0,0,4295,4991.045,5000
"random",20,3,0.26,0.513,0.709,-0.381,-0.405,73,109,-0.895,0.082,0.139,0.475,1.241,0.225,0.323,0.502,0.173,0.58,0.834,0.068,0.241,0.477,0,0,0,0,1.382,11,165,174.618,176,165,174.618,176,165,174.618,176,0,0,0,3092,4960.75,5000
"random",20,4,0.178,0.59,0.756,-0.314,-0.325,73,109,-0.774,0.071,0.124,0.415,1.654,0.247,0.334,2.01,0.389,0.646,0.991,0.04,0.146,0.324,0,0,0,0,0.798,6,170,175.202,176,170,175.202,176,170,175.202,176,0,0,0,3542,4977.318,5000
"random",20,5,0.361,0.638,0.802,-0.254,-0.258,73,109,-0.689,0.059,0.122,0.358,1.636,0.265,0.34,1.467,0.503,0.686,0.984,0.04,0.138,0.324,0,0,0,0,0.522,5,171,175.478,176,171,175.478,176,171,175.478,176,0,0,0,3891,4985.165,5000
"random",20,6,0.45,0.674,0.827,-0.199,-0.192,79,109,-0.652,0.048,0.117,0.31,1.141,0.276,0.344,0.445,0.56,0.713,0.831,0.017,0.092,0.233,0,0,0,0,0.367,4,172,175.633,176,172,175.633,176,172,175.633,176,0,0,0,4161,4989.574,5000
"random",20,7,0.47,0.698,0.83,-0.15,-0.13,79,109,-0.616,0.034,0.107,0.272,1.116,0.285,0.351,0.444,0.6,0.733,0.835,0.017,0.076,0.176,0,0,0,0,0.299,3,173,175.701,176,173,175.701,176,173,175.701,176,0,0,0,4261,4991.506,5000
"random",20,8,0.517,0.717,0.847,-0.104,-0.077,79,109,-0.605,0.021,0.096,0.241,1.101,0.29,0.357,0.451,0.622,0.748,0.843,0.006,0.055,0.119,0,0,0,0,0.23,2,174,175.77,176,174,175.77,176,174,175.77,176,0,0,0,4414,4993.46,5000
"random",20,9,0.526,0.731,0.881,-0.062,-0.034,79,158,-0.576,0.01,0.072,0.219,1.074,0.299,0.363,0.432,0.648,0.76,0.832,0.006,0.045,0.097,0,0,0,0,0.175,3,173,175.825,176,173,175.825,176,173,175.825,176,0,0,0,4585,4995.017,5000
"random",30,3,0.063,0.548,0.758,-0.342,-0.387,152,84,-0.629,1.912,0.134,0.517,6.464,0.206,0.514,2.781,0.363,0.753,0.997,0.04,0.207,0.432,0,0,0,0,0.835,9,167,175.165,176,167,175.165,176,167,175.165,176,0,0,0,3612,4976.284,5000
"random",30,4,0.019,0.573,0.813,-0.256,-0.31,152,166,-0.565,2.553,0.125,0.492,7.178,0.247,0.687,2.781,0.608,0.819,0.997,0.011,0.128,0.312,0,0,0,0,0.159,3,173,175.841,176,173,175.841,176,173,175.841,176,0,0,0,4516,4995.477,5000
"random",30,5,0.394,0.723,0.845,-0.232,-0.24,152,109,-0.499,0.063,0.115,0.317,1.031,0.243,0.318,1.444,0.62,0.773,0.989,0.017,0.096,0.278,0,0,0,0,0.312,4,172,175.688,176,172,175.688,176,172,175.688,176,0,0,0,4324,4991.131,5000
"random",30,6,0.321,0.747,0.873,-0.17,-0.177,152,84,-0.455,0.434,0.104,0.291,3.513,0.262,0.381,2.029,0.686,0.802,0.995,0.006,0.064,0.17,0,0,0,0,0.128,3,173,175.872,176,173,175.872,176,173,175.872,176,0,0,0,4750,4996.369,5000
"random",30,7,0.149,0.766,0.903,-0.117,-0.118,79,84,-0.445,0.453,0.094,0.263,3.383,0.276,0.41,2.04,0.725,0.818,0.995,0.006,0.048,0.136,0,0,0,0,0.046,2,174,175.954,176,174,175.954,176,174,175.954,176,0,0,0,4839,4998.705,5000
"random",30,8,0.165,0.794,0.913,-0.073,-0.063,79,84,-0.405,0.294,0.078,0.22,2.782,0.281,0.393,1.994,0.74,0.825,0.995,0,0.036,0.08,0,0,0,0,0.029,1,175,175.971,176,175,175.971,176,175,175.971,176,0,0,0,4894,4999.176,5000
"random",30,9,0.186,0.818,0.931,-0.031,-0.017,79,84,-0.356,0.172,0.052,0.186,2.426,0.283,0.377,1.994,0.748,0.83,0.995,0,0.029,0.062,0,0,0,0,0.021,1,175,175.979,176,175,175.979,176,175,175.979,176,0,0,0,4931,4999.398,5000
"random",40,3,0.265,0.634,0.786,-0.355,-0.381,73,109,-0.619,0.084,0.131,0.436,1.855,0.212,0.307,1.455,0.558,0.765,0.991,0.028,0.182,0.426,0,0,0,0,0.757,9,167,175.243,176,167,175.243,176,167,175.243,176,0,0,0,3680,4978.489,5000
"random",40,4,0.193,0.706,0.85,-0.275,-0.305,152,84,-0.501,0.611,0.123,0.394,4.168,0.231,0.396,2.042,0.669,0.813,0.996,0.011,0.11,0.352,0,0,0,0,0.272,4,172,175.728,176,172,175.728,176,172,175.728,176,0,0,0,4299,4992.261,5000
"random",40,5,0.35,0.779,0.893,-0.218,-0.233,152,109,-0.42,0.062,0.111,0.302,2.266,0.247,0.321,1.474,0.728,0.821,0.992,0.006,0.073,0.25,0,0,0,0,0.156,3,173,175.844,176,173,175.844,176,173,175.844,176,0,0,0,4692,4995.557,5000
"random",40,6,0.433,0.822,0.91,-0.162,-0.17,152,109,-0.361,0.049,0.099,0.237,0.785,0.253,0.31,1.431,0.752,0.833,0.992,0.006,0.048,0.131,0,0,0,0,0.086,3,173,175.914,176,173,175.914,176,173,175.914,176,0,0,0,4786,4997.557,5000
"random",40,7,0.632,0.852,0.93,-0.11,-0.112,152,109,-0.295,0.035,0.082,0.19,0.689,0.268,0.315,0.402,0.785,0.843,0.905,0,0.034,0.091,0,0,0,0,0.033,1,175,175.967,176,175,175.967,176,175,175.967,176,0,0,0,4901,4999.068,5000
"random",40,8,0.688,0.875,0.938,-0.063,-0.057,152,109,-0.257,0.02,0.063,0.152,0.665,0.277,0.32,0.385,0.803,0.851,0.898,0,0.026,0.074,0,0,0,0,0.024,2,174,175.976,176,174,175.976,176,174,175.976,176,0,0,0,4927,4999.318,5000
"random",40,9,0.391,0.892,0.955,-0.019,-0.009,152,84,-0.208,0.041,0.038,0.125,0.828,0.277,0.326,1.431,0.806,0.858,0.993,0,0.021,0.045,0,0,0,0,0.01,1,175,175.99,176,175,175.99,176,175,175.99,176,0,0,0,4976,4999.71,5000
"random",50,3,0.073,0.676,0.811,-0.35,-0.375,73,109,-0.55,0.087,0.132,0.417,0.838,0.202,0.29,1.413,0.614,0.803,0.992,0.017,0.164,0.409,0,0,0,0,0.577,9,167,175.423,176,167,175.423,176,167,175.423,176,0,0,0,3756,4983.602,5000
"random",50,4,0.078,0.714,0.887,-0.256,-0.291,152,166,-0.446,2.064,0.12,0.411,6.499,0.227,0.501,2.782,0.729,0.856,0.998,0.006,0.091,0.295,0,0,0,0,0.041,2,174,175.959,176,174,175.959,176,174,175.959,176,0,0,0,4845,4998.841,5000
"random",50,5,0.349,0.824,0.91,-0.209,-0.227,152,109,-0.359,0.064,0.108,0.288,1.947,0.244,0.315,1.469,0.78,0.849,0.994,0.006,0.058,0.188,0,0,0,0,0.082,2,174,175.918,176,174,175.918,176,174,175.918,176,0,0,0,4715,4997.676,5000
"random",50,6,0.704,0.869,0.934,-0.153,-0.162,152,109,-0.284,0.049,0.093,0.216,0.582,0.255,0.299,0.411,0.807,0.858,0.926,0,0.037,0.119,0,0,0,0,0.034,2,174,175.966,176,174,175.966,176,174,175.966,176,0,0,0,4919,4999.023,5000
"random",50,7,0.375,0.898,0.948,-0.101,-0.105,152,109,-0.226,0.035,0.073,0.172,1.076,0.26,0.309,1.435,0.82,0.867,0.994,0,0.026,0.08,0,0,0,0,0.007,1,175,175.993,176,175,175.993,176,175,175.993,176,0,0,0,4976,4999.807,5000
"random",50,8,0.79,0.923,0.964,-0.054,-0.053,152,109,-0.172,0.019,0.053,0.123,0.451,0.269,0.308,0.358,0.834,0.873,0.907,0,0.019,0.051,0,0,0,0,0.003,1,175,175.997,176,175,175.997,176,175,175.997,176,0,0,0,4987,4999.926,5000
"random",50,9,0.797,0.941,0.976,-0.011,-0.005,152,84,-0.112,0.013,0.027,0.089,0.441,0.278,0.312,0.355,0.848,0.879,0.907,0.006,0.016,0.04,0,0,0,0,0.001,1,175,175.999,176,175,175.999,176,175,175.999,176,0,0,0,4997,4999.977,5000
"random",60,3,0.359,0.705,0.83,-0.345,-0.37,172,109,-0.514,0.087,0.128,0.41,1.285,0.199,0.288,1.433,0.671,0.829,0.994,0.017,0.15,0.398,0,0,0,0,0.453,6,170,175.547,176,170,175.547,176,170,175.547,176,0,0,0,3795,4987.119,5000
"random",60,4,0.333,0.795,0.906,-0.269,-0.289,152,109,-0.393,0.078,0.118,0.346,2.063,0.223,0.312,2.006,0.768,0.855,0.997,0.006,0.08,0.295,0,0,0,0,0.151,3,173,175.849,176,173,175.849,176,173,175.849,176,0,0,0,4396,4995.699,5000
"random",60,5,0.357,0.86,0.931,-0.205,-0.222,152,109,-0.306,0.065,0.103,0.269,1.256,0.244,0.296,1.445,0.818,0.866,0.995,0,0.047,0.17,0,0,0,0,0.058,2,174,175.942,176,174,175.942,176,174,175.942,176,0,0,0,4756,4998.358,5000
"random",60,6,0.406,0.903,0.951,-0.147,-0.16,152,109,-0.224,0.051,0.088,0.202,0.755,0.25,0.292,1.434,0.834,0.875,0.995,0,0.03,0.091,0,0,0,0,0.016,1,175,175.984,176,175,175.984,176,175,175.984,176,0,0,0,4930,4999.557,5000
"random",60,7,0.4,0.934,0.968,-0.095,-0.102,152,109,-0.16,0.034,0.068,0.147,0.35,0.259,0.295,1.447,0.849,0.883,0.995,0,0.02,0.068,0,0,0,0,0.001,1,175,175.999,176,175,175.999,176,175,175.999,176,0,0,0,4998,4999.983,5000
"random",60,8,0.846,0.958,0.981,-0.048,-0.051,152,109,-0.102,0.017,0.044,0.099,0.291,0.265,0.299,0.342,0.858,0.889,0.915,0,0.015,0.04,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
