"n_occasions","n_items","cor_ICC_MCSE","cor_ICC.z_MCSE","rel_MCSE","sd_ICC_MCSE","sd_ICC.z_MCSE","percnegICC_raw_MCSE","MCSE_difference_min","MCSE_difference_mean","MCSE_difference_max","MCSE_difference.z_min","MCSE_difference.z_mean","MCSE_difference.z_max","MCSE_RMSE_min","MCSE_RMSE_mean","MCSE_RMSE_max","MCSE_RMSE.z_min","MCSE_RMSE.z_mean","MCSE_RMSE.z_max"
14,3,0.001,0.001,0.002,0,0.001,0.001,0.002,0.003,0.007,0.003,0.005,0.026,0.001,0.003,0.006,0.002,0.007,0.15
14,4,0.001,0.001,0.002,0,0.002,0.001,0.001,0.003,0.007,0.002,0.004,0.03,0.001,0.002,0.005,0.002,0.004,0.112
14,5,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0.007,0.002,0.004,0.016,0.001,0.002,0.005,0.001,0.003,0.008
14,6,0.001,0.002,0.003,0,0.01,0,0.001,0.002,0.006,0.002,0.006,0.114,0.001,0.001,0.004,0.001,0.009,0.143
14,7,0.001,0.001,0.001,0,0,0,0.001,0.002,0.006,0.002,0.004,0.014,0.001,0.001,0.004,0.001,0.003,0.008
14,8,0.001,0.002,0.002,0,0.008,0,0,0.002,0.006,0.001,0.005,0.1,0,0.001,0.003,0.001,0.006,0.132
14,9,0.001,0.001,0.001,0,0,0,0,0.002,0.006,0.001,0.003,0.014,0,0.001,0.003,0.001,0.002,0.007
20,3,0.001,0.001,0.002,0,0.001,0.001,0.002,0.003,0.007,0.002,0.004,0.015,0.001,0.002,0.005,0.001,0.004,0.073
20,4,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.006,0.002,0.004,0.025,0.001,0.002,0.004,0.001,0.004,0.096
20,5,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.006,0.002,0.004,0.022,0.001,0.001,0.005,0.001,0.003,0.093
20,6,0.001,0.001,0.001,0,0,0,0.001,0.002,0.006,0.001,0.003,0.014,0.001,0.001,0.004,0.001,0.002,0.008
20,7,0.001,0.001,0.001,0,0,0,0,0.002,0.006,0.001,0.003,0.013,0.001,0.001,0.003,0.001,0.002,0.007
20,8,0.001,0.001,0.001,0,0,0,0,0.001,0.006,0.001,0.003,0.013,0,0.001,0.003,0.001,0.002,0.008
20,9,0.001,0.001,0,0,0,0,0,0.001,0.006,0.001,0.003,0.013,0,0.001,0.003,0.001,0.002,0.007
30,3,0.001,0.002,0.002,0,0.007,0.001,0.001,0.003,0.006,0.002,0.005,0.097,0.001,0.002,0.005,0.001,0.008,0.144
30,4,0.001,0.003,0.002,0,0.009,0.001,0.001,0.002,0.005,0.002,0.005,0.108,0.001,0.002,0.004,0.001,0.01,0.147
30,5,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0.005,0.001,0.003,0.012,0.001,0.001,0.004,0.001,0.002,0.008
30,6,0.001,0.001,0.001,0,0.004,0,0,0.001,0.005,0.001,0.003,0.053,0,0.001,0.004,0.001,0.004,0.127
30,7,0.001,0.002,0.001,0,0.004,0,0,0.001,0.005,0.001,0.003,0.046,0,0.001,0.004,0.001,0.005,0.133
30,8,0.001,0.001,0.001,0,0.003,0,0,0.001,0.005,0.001,0.003,0.038,0,0.001,0.004,0.001,0.004,0.124
30,9,0.001,0.001,0.001,0,0.003,0,0,0.001,0.005,0.001,0.003,0.035,0,0.001,0.004,0.001,0.004,0.126
40,3,0.001,0.001,0.001,0,0.002,0.001,0.001,0.002,0.005,0.002,0.004,0.028,0.001,0.002,0.005,0.001,0.004,0.109
40,4,0.001,0.002,0.001,0,0.005,0.001,0.001,0.002,0.005,0.001,0.004,0.062,0.001,0.001,0.004,0.001,0.005,0.125
40,5,0.001,0.001,0.001,0,0.002,0,0.001,0.001,0.004,0.001,0.003,0.033,0,0.001,0.004,0.001,0.003,0.126
40,6,0.001,0.001,0,0,0,0,0,0.001,0.004,0.001,0.002,0.01,0,0.001,0.004,0.001,0.002,0.04
40,7,0.001,0.001,0,0,0,0,0,0.001,0.004,0.001,0.002,0.009,0,0.001,0.004,0.001,0.002,0.009
40,8,0.001,0.001,0,0,0,0,0,0.001,0.004,0.001,0.002,0.009,0,0.001,0.004,0.001,0.002,0.009
40,9,0.001,0.001,0,0,0.001,0,0,0.001,0.004,0.001,0.002,0.012,0,0.001,0.004,0,0.002,0.109
50,3,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.005,0.002,0.003,0.011,0.001,0.002,0.005,0.001,0.002,0.007
50,4,0.001,0.003,0.001,0,0.007,0.001,0.001,0.002,0.004,0.001,0.004,0.089,0.001,0.001,0.004,0.001,0.006,0.12
50,5,0.001,0.001,0.001,0,0.002,0,0.001,0.001,0.003,0.001,0.003,0.029,0,0.001,0.004,0.001,0.004,0.123
50,6,0.001,0.001,0,0,0,0,0,0.001,0.003,0.001,0.002,0.007,0,0.001,0.004,0.001,0.002,0.008
50,7,0,0.001,0,0,0.001,0,0,0.001,0.003,0.001,0.002,0.01,0,0.001,0.004,0.001,0.003,0.111
50,8,0,0,0,0,0,0,0,0.001,0.003,0.001,0.002,0.006,0,0.001,0.004,0,0.001,0.009
50,9,0,0,0,0,0,0,0,0.001,0.003,0,0.001,0.006,0,0,0.004,0,0.001,0.009
60,3,0.001,0.001,0.001,0,0.002,0.001,0.001,0.002,0.006,0.002,0.003,0.021,0.001,0.002,0.006,0.001,0.003,0.101
60,4,0.001,0.001,0.001,0,0.003,0.001,0.001,0.002,0.004,0.001,0.003,0.03,0,0.001,0.005,0.001,0.004,0.119
60,5,0.001,0.001,0,0,0.002,0,0.001,0.001,0.003,0.001,0.002,0.017,0,0.001,0.005,0.001,0.003,0.117
60,6,0,0,0,0,0.001,0,0,0.001,0.002,0.001,0.002,0.012,0,0.001,0.004,0.001,0.002,0.115
60,7,0,0,0,0,0,0,0,0.001,0.002,0.001,0.002,0.004,0,0.001,0.004,0,0.001,0.006
60,8,0,0,0,0,0,0,0,0.001,0.002,0.001,0.001,0.004,0,0,0.004,0,0.001,0.008
60,9,0,0,0,0,0,0,0,0,0.002,0,0.001,0.004,0,0,0.004,0,0.001,0.008
