"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,3,0.134,0.478,0.739,0.011,0.008,79,166,-0.191,0.233,0.115,0.204,0.504,0.158,0.229,0.34,0,0.385,0.982,0.074,0.268,0.494,0,0.001,1,0,1.682,12,88,127.145,163,88,128.1,162,89,128.828,163,0,0,0,0,3639.205,4988
"random",14,4,0.191,0.542,0.785,0.002,-0.005,79,166,-0.252,0.27,0.079,0.167,0.477,0.143,0.198,0.285,0,0.421,0.984,0.085,0.223,0.455,0,0,0,0,1.017,7,90,135.796,161,96,136.199,161,96,136.813,161,0,0,0,0,3869.278,4998
"random",14,5,0.299,0.592,0.794,-0.006,-0.009,79,166,-0.269,0.172,0.065,0.145,0.48,0.132,0.184,0.237,0.024,0.467,0.73,0.062,0.183,0.409,0,0,0,0,0.722,6,103,143.125,164,104,143.279,163,104,143.847,165,0,0,0,0,4070.426,5000
"random",14,6,0.278,0.603,0.802,-0.02,-0.016,79,166,-0.333,0.048,0.051,0.135,0.522,0.132,0.177,0.224,0.231,0.711,0.993,0.034,0.123,0.261,0,0,1,0,0.082,2,129,154.327,170,129,153.753,170,130,154.409,170,0,0,0,0,4367.994,5000
"random",14,7,0.378,0.641,0.814,-0.02,-0.013,79,69,-0.376,0.057,0.041,0.124,0.546,0.129,0.171,0.208,0.329,0.56,0.75,0.034,0.108,0.227,0,0,0,0,0.451,3,135,156.595,169,136,156.446,169,136,157.046,170,0,0,0,0,4444.494,5000
"random",14,8,0.406,0.642,0.821,-0.025,-0.013,79,69,-0.384,0.026,0.032,0.118,0.551,0.126,0.169,0.206,0.382,0.714,0.994,0.011,0.075,0.159,0,0,0,0,0.056,2,148,162.755,174,148,162.215,172,148,162.812,174,0,0,0,0,4608.369,5000
"random",14,9,0.35,0.653,0.835,-0.025,-0.013,79,69,-0.393,0.024,0.026,0.112,0.555,0.133,0.166,0.198,0.442,0.624,0.752,0.011,0.063,0.136,0,0,0,0,0.312,3,151,164.63,174,152,164.434,173,152,164.942,174,0,0,0,0,4671.432,5000
"random",20,3,0.196,0.525,0.757,0.011,0.007,79,166,-0.14,0.234,0.106,0.187,0.487,0.147,0.215,0.334,0,0.536,0.982,0.062,0.24,0.46,0,0,0,0,1.396,12,92,132.309,164,95,133.045,164,95,133.705,165,0,0,0,0,3779.688,4999
"random",20,4,0.277,0.586,0.787,-0.011,-0.012,79,166,-0.226,0.093,0.073,0.153,0.455,0.141,0.191,0.268,0.273,0.593,0.986,0.028,0.147,0.33,0,0,0,0,0.816,6,118,149.389,171,117,149.402,170,118,150.205,171,0,0,0,0,4244.381,5000
"random",20,5,0.345,0.651,0.839,-0.008,-0.012,79,166,-0.22,0.14,0.054,0.131,0.442,0.125,0.176,0.234,0.312,0.621,0.987,0.028,0.138,0.375,0,0,0,0,0.533,4,110,151.23,171,110,151.195,170,110,151.764,171,0,0,0,0,4295.318,5000
