"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,3,-0.005,0.441,0.708,-0.305,-0.319,73,175,-0.794,0.08,0.136,0.441,1.627,0.219,0.334,1.878,0,0.385,0.982,0.074,0.268,0.494,0,0.001,1,0,1.682,12,88,127.145,163,88,126.418,162,88,127.145,163,0,0,0,0,3591.432,4988
"random",14,4,0.172,0.516,0.747,-0.252,-0.276,73,68,-0.763,0.254,0.113,0.381,1.934,0.213,0.324,1.874,0,0.421,0.984,0.085,0.223,0.455,0,0,0,0,1.017,7,90,135.796,161,90,135.181,161,90,135.796,161,0,0,0,0,3840.381,4998
"random",14,5,0.262,0.572,0.776,-0.206,-0.224,73,92,-0.675,0.097,0.112,0.333,1.162,0.232,0.318,0.441,0.024,0.467,0.73,0.062,0.183,0.409,0,0,0,0,0.722,6,103,143.125,164,103,142.557,163,103,143.125,164,0,0,0,0,4049.909,5000
"random",14,6,0.049,0.487,0.769,-0.122,-0.182,79,84,-0.708,3.486,0.105,0.455,8.332,0.256,0.86,2.782,0.231,0.711,0.993,0.034,0.123,0.261,0,0,1,0,0.082,2,129,154.327,170,128,153.671,170,129,154.327,170,0,0,0,0,4365.659,5000
"random",14,7,0.364,0.625,0.803,-0.135,-0.13,79,69,-0.762,0.101,0.102,0.282,1.227,0.27,0.336,0.443,0.329,0.56,0.75,0.034,0.108,0.227,0,0,0,0,0.451,3,135,156.595,169,135,155.995,168,135,156.595,169,0,0,0,0,4431.682,5000
"random",14,8,0.101,0.551,0.809,-0.068,-0.081,79,84,-0.742,2.547,0.094,0.368,7.116,0.278,0.705,2.87,0.382,0.714,0.994,0.011,0.075,0.159,0,0,0,0,0.056,2,148,162.755,174,148,162.158,172,148,162.755,174,0,0,0,0,4606.767,5000
"random",14,9,0.375,0.638,0.823,-0.069,-0.042,79,110,-0.737,0.071,0.091,0.252,1.201,0.291,0.356,0.436,0.442,0.624,0.752,0.011,0.063,0.136,0,0,0,0,0.312,3,151,164.63,174,151,164.122,173,151,164.63,174,0,0,0,0,4662.562,5000
"random",20,3,0.071,0.498,0.726,-0.305,-0.325,73,175,-0.692,0.062,0.121,0.417,1.086,0.197,0.31,1.539,0,0.536,0.982,0.062,0.24,0.46,0,0,0,0,1.396,12,92,132.309,164,91,131.649,163,92,132.309,164,0,0,0,0,3740.034,4999
"random",20,4,0.145,0.568,0.757,-0.271,-0.286,73,175,-0.694,0.038,0.106,0.375,1.7,0.226,0.314,1.662,0.273,0.593,0.986,0.028,0.147,0.33,0,0,0,0,0.816,6,118,149.389,171,117,148.586,170,118,149.389,171,0,0,0,0,4221.205,5000
"random",20,5,0.359,0.636,0.832,-0.206,-0.228,73,68,-0.551,0.108,0.096,0.317,1.546,0.225,0.312,1.662,0.312,0.621,0.987,0.028,0.138,0.375,0,0,0,0,0.533,4,110,151.23,171,110,150.662,170,110,151.23,171,0,0,0,0,4280.165,5000
"random",20,6,0.395,0.661,0.836,-0.17,-0.179,79,110,-0.587,0.093,0.088,0.284,1.093,0.254,0.317,0.427,0.481,0.661,0.816,0.011,0.093,0.21,0,0,0,0,0.367,3,138,159.32,174,137,158.712,172,138,159.32,174,0,0,0,0,4508.869,5000
