"n_occasions","n_items","cor_ICC_MCSE","cor_ICC.z_MCSE","rel_MCSE","sd_ICC_MCSE","sd_ICC.z_MCSE","percnegICC_raw_MCSE","MCSE_difference_min","MCSE_difference_mean","MCSE_difference_max","MCSE_difference.z_min","MCSE_difference.z_mean","MCSE_difference.z_max","MCSE_RMSE_min","MCSE_RMSE_mean","MCSE_RMSE_max","MCSE_RMSE.z_min","MCSE_RMSE.z_mean","MCSE_RMSE.z_max"
14,3,0.001,0.001,0.002,0,0.001,0.001,0.001,0.003,0.006,0.001,0.004,0.016,0.001,0.002,0.004,0.001,0.004,0.075
14,4,0.001,0.001,0.002,0,0.001,0.001,0.001,0.002,0.006,0.001,0.004,0.025,0.001,0.002,0.004,0.001,0.003,0.089
14,5,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0.006,0.001,0.004,0.014,0.001,0.001,0.003,0.001,0.003,0.009
14,6,0.001,0.002,0.003,0,0.009,0,0,0.002,0.006,0.001,0.005,0.107,0.001,0.001,0.003,0.001,0.008,0.125
14,7,0.001,0.001,0.001,0,0,0,0,0.002,0.006,0.001,0.004,0.014,0,0.001,0.003,0.001,0.003,0.008
14,8,0.001,0.002,0.002,0,0.007,0,0,0.002,0.006,0.001,0.005,0.089,0,0.001,0.003,0.001,0.006,0.126
14,9,0.001,0.001,0.001,0,0,0,0,0.002,0.006,0.001,0.003,0.013,0,0.001,0.003,0.001,0.002,0.007
20,3,0.001,0.001,0.002,0,0.001,0.001,0.001,0.003,0.006,0.001,0.004,0.014,0.001,0.002,0.004,0.001,0.003,0.008
20,4,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.006,0.001,0.004,0.018,0.001,0.001,0.004,0.001,0.004,0.102
20,5,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.006,0.001,0.003,0.021,0.001,0.001,0.004,0.001,0.003,0.084
20,6,0.001,0.001,0.001,0,0,0,0,0.002,0.006,0.001,0.003,0.013,0.001,0.001,0.003,0.001,0.002,0.008
20,7,0.001,0.001,0,0,0,0,0,0.002,0.006,0.001,0.003,0.013,0,0.001,0.003,0.001,0.002,0.008
20,8,0.001,0.001,0,0,0,0,0,0.001,0.006,0.001,0.003,0.013,0,0.001,0.003,0.001,0.002,0.008
20,9,0.001,0.001,0,0,0,0,0,0.001,0.006,0,0.003,0.013,0,0.001,0.003,0.001,0.002,0.007
30,3,0.001,0.002,0.002,0,0.006,0.001,0.001,0.002,0.006,0.001,0.005,0.095,0.001,0.002,0.004,0.001,0.006,0.122
30,4,0.001,0.003,0.002,0,0.008,0.001,0.001,0.002,0.005,0.001,0.005,0.095,0.001,0.001,0.004,0.001,0.009,0.122
30,5,0.001,0.001,0,0,0,0.001,0,0.002,0.005,0.001,0.003,0.013,0.001,0.001,0.004,0.001,0.003,0.041
30,6,0.001,0.001,0.001,0,0.003,0,0,0.001,0.005,0.001,0.003,0.049,0,0.001,0.004,0.001,0.004,0.125
30,7,0.001,0.002,0.001,0,0.004,0,0,0.001,0.005,0.001,0.003,0.048,0,0.001,0.004,0.001,0.005,0.128
30,8,0.001,0.001,0.001,0,0.003,0,0,0.001,0.005,0,0.003,0.038,0,0.001,0.004,0.001,0.004,0.123
30,9,0.001,0.001,0.001,0,0.003,0,0,0.001,0.005,0,0.003,0.035,0,0.001,0.004,0.001,0.004,0.122
40,3,0.001,0.001,0.001,0,0.002,0.001,0.001,0.002,0.005,0.001,0.003,0.03,0.001,0.002,0.004,0.001,0.004,0.107
40,4,0.001,0.002,0.001,0,0.005,0.001,0.001,0.002,0.005,0.001,0.003,0.063,0.001,0.001,0.004,0.001,0.005,0.123
40,5,0.001,0.001,0,0,0.002,0,0,0.001,0.004,0.001,0.003,0.033,0,0.001,0.004,0.001,0.003,0.124
40,6,0.001,0.001,0,0,0,0,0,0.001,0.004,0.001,0.002,0.01,0,0.001,0.004,0.001,0.002,0.009
40,7,0.001,0.001,0,0,0,0,0,0.001,0.004,0.001,0.002,0.009,0,0.001,0.004,0.001,0.002,0.009
40,8,0.001,0.001,0,0,0,0,0,0.001,0.004,0,0.002,0.009,0,0.001,0.004,0.001,0.002,0.009
40,9,0.001,0.001,0,0,0,0,0,0.001,0.004,0,0.002,0.009,0,0.001,0.004,0,0.002,0.088
50,3,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.005,0.001,0.003,0.011,0.001,0.001,0.004,0.001,0.002,0.006
50,4,0.001,0.003,0.001,0,0.007,0.001,0.001,0.002,0.004,0.001,0.004,0.087,0,0.001,0.004,0.001,0.006,0.12
50,5,0.001,0.001,0,0,0.002,0,0,0.001,0.003,0.001,0.003,0.027,0,0.001,0.004,0.001,0.003,0.122
50,6,0,0,0,0,0,0,0,0.001,0.003,0.001,0.002,0.008,0,0.001,0.004,0.001,0.002,0.008
50,7,0,0.001,0,0,0.001,0,0,0.001,0.003,0.001,0.002,0.014,0,0.001,0.004,0.001,0.003,0.116
50,8,0,0,0,0,0,0,0,0.001,0.003,0,0.002,0.006,0,0.001,0.004,0.001,0.001,0.009
50,9,0,0,0,0,0,0,0,0.001,0.003,0,0.001,0.006,0,0,0.004,0,0.001,0.009
60,3,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.005,0.001,0.003,0.018,0.001,0.001,0.004,0,0.003,0.097
60,4,0.001,0.001,0.001,0,0.003,0.001,0.001,0.001,0.004,0.001,0.003,0.031,0,0.001,0.004,0,0.003,0.119
60,5,0.001,0.001,0,0,0.001,0,0,0.001,0.003,0.001,0.002,0.014,0,0.001,0.004,0,0.003,0.114
60,6,0,0,0,0,0.001,0,0,0.001,0.002,0.001,0.002,0.013,0,0.001,0.004,0,0.002,0.116
60,7,0,0,0,0,0,0,0,0.001,0.002,0,0.002,0.005,0,0.001,0.004,0,0.001,0.007
60,8,0,0,0,0,0,0,0,0.001,0.002,0,0.001,0.004,0,0,0.004,0,0.001,0.007
60,9,0,0,0,0,0,0,0,0,0.002,0,0.001,0.003,0,0,0.004,0,0.001,0.008
