"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,3,0.161,0.493,0.709,-0.044,-0.04,79,166,-0.315,0.153,0.074,0.203,0.534,0.163,0.228,0.31,0,0.368,0.97,0.062,0.269,0.506,0,0,0,0,1.684,11,165,174.316,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,4,0.254,0.549,0.742,-0.041,-0.035,79,166,-0.36,0.067,0.056,0.172,0.549,0.148,0.205,0.26,0.071,0.471,0.974,0.074,0.222,0.455,0,0,0,0,1.026,7,169,174.974,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,5,0.349,0.586,0.791,-0.039,-0.028,79,158,-0.373,0.025,0.043,0.152,0.552,0.138,0.191,0.243,0.183,0.537,0.732,0.062,0.182,0.386,0,0,0,0,0.708,4,172,175.292,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,6,0.356,0.613,0.794,-0.037,-0.024,79,158,-0.39,0.019,0.032,0.139,0.56,0.136,0.183,0.226,0.315,0.741,0.994,0.04,0.123,0.25,0,0,0,0,0.087,2,174,175.913,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,7,0.404,0.634,0.804,-0.035,-0.021,79,158,-0.399,0.015,0.025,0.128,0.563,0.135,0.177,0.215,0.415,0.617,0.77,0.028,0.107,0.21,0,0,0,0,0.458,3,173,175.542,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,8,0.423,0.651,0.813,-0.033,-0.017,79,175,-0.386,0.013,0.017,0.12,0.554,0.141,0.173,0.211,0.504,0.739,0.992,0.017,0.075,0.153,0,0,0,0,0.055,2,174,175.945,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,9,0.45,0.662,0.829,-0.031,-0.016,79,175,-0.399,0.011,0.011,0.114,0.56,0.136,0.17,0.201,0.511,0.664,0.779,0.011,0.063,0.131,0,0,0,0,0.338,3,173,175.662,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,3,0.268,0.541,0.753,-0.037,-0.033,79,166,-0.251,0.153,0.073,0.189,0.485,0.156,0.218,0.308,0.071,0.543,0.818,0.057,0.241,0.455,0,0,1,0,1.389,12,164,174.611,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,4,0.34,0.605,0.777,-0.033,-0.026,79,166,-0.287,0.067,0.053,0.156,0.498,0.142,0.196,0.255,0.311,0.62,0.991,0.028,0.146,0.318,0,0,0,0,0.812,7,169,175.188,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,5,0.413,0.649,0.815,-0.03,-0.022,79,158,-0.282,0.022,0.039,0.136,0.491,0.141,0.183,0.233,0.443,0.667,0.984,0.028,0.138,0.335,0,0,0,0,0.523,5,171,175.477,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,6,0.459,0.682,0.846,-0.027,-0.017,79,158,-0.307,0.017,0.029,0.122,0.504,0.139,0.176,0.214,0.544,0.7,0.823,0.023,0.093,0.216,0,0,0,0,0.374,4,172,175.626,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,7,0.449,0.702,0.849,-0.025,-0.014,79,158,-0.311,0.013,0.021,0.111,0.504,0.133,0.17,0.205,0.592,0.722,0.831,0.017,0.076,0.17,0,0,0,0,0.289,3,173,175.711,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,8,0.497,0.722,0.865,-0.023,-0.012,79,158,-0.302,0.009,0.013,0.102,0.496,0.132,0.166,0.195,0.601,0.739,0.819,0.006,0.055,0.125,0,0,0,0,0.226,3,173,175.774,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,9,0.495,0.736,0.879,-0.022,-0.01,79,158,-0.308,0.007,0.007,0.095,0.5,0.136,0.163,0.192,0.656,0.753,0.839,0.011,0.045,0.114,0,0,0,0,0.191,3,173,175.809,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,3,0.316,0.601,0.77,-0.03,-0.026,152,166,-0.17,0.159,0.07,0.172,0.435,0.144,0.207,0.288,0.332,0.735,0.995,0.034,0.207,0.455,0,0,0,0,0.831,10,166,175.169,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,4,0.435,0.678,0.844,-0.025,-0.021,79,166,-0.175,0.075,0.049,0.138,0.403,0.142,0.186,0.243,0.552,0.809,0.997,0.017,0.128,0.335,0,0,0,0,0.161,3,173,175.839,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
