"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,3,0.054,0.458,0.666,-0.381,-0.4,73,158,-1.042,0.058,0.102,0.481,1.436,0.213,0.325,1.457,0,0.368,0.97,0.062,0.269,0.506,0,0,0,0,1.684,11,165,174.316,176,165,174.316,176,165,174.316,176,0,0,0,2720,4952.153,5000
"random",14,4,0.278,0.526,0.744,-0.322,-0.336,73,158,-0.924,0.053,0.097,0.426,1.877,0.245,0.335,1.479,0.071,0.471,0.974,0.074,0.222,0.455,0,0,0,0,1.026,7,169,174.974,176,169,174.974,176,169,174.974,176,0,0,0,3226,4970.852,5000
"random",14,5,0.336,0.57,0.752,-0.268,-0.269,79,158,-0.87,0.052,0.091,0.377,1.297,0.253,0.34,0.442,0.183,0.537,0.732,0.062,0.182,0.386,0,0,0,0,0.708,4,172,175.292,176,172,175.292,176,172,175.292,176,0,0,0,3558,4979.892,5000
"random",14,6,0.055,0.498,0.765,-0.166,-0.201,79,84,-0.847,3.085,0.081,0.465,7.986,0.271,0.832,2.832,0.315,0.741,0.994,0.04,0.123,0.25,0,0,0,0,0.087,2,174,175.913,176,174,175.913,176,174,175.913,176,0,0,0,4729,4997.534,5000
"random",14,7,0.407,0.623,0.789,-0.17,-0.146,79,158,-0.815,0.042,0.075,0.306,1.267,0.289,0.359,0.461,0.415,0.617,0.77,0.028,0.107,0.21,0,0,0,0,0.458,3,173,175.542,176,173,175.542,176,173,175.542,176,0,0,0,3914,4987,5000
"random",14,8,0.122,0.568,0.814,-0.094,-0.091,79,84,-0.749,1.96,0.06,0.373,6.489,0.311,0.685,2.44,0.504,0.739,0.992,0.017,0.075,0.153,0,0,0,0,0.055,2,174,175.945,176,174,175.945,176,174,175.945,176,0,0,0,4791,4998.443,5000
"random",14,9,0.454,0.654,0.81,-0.088,-0.055,79,158,-0.75,0.037,0.042,0.263,1.213,0.311,0.376,0.461,0.511,0.664,0.779,0.011,0.063,0.131,0,0,0,0,0.338,3,173,175.662,176,173,175.662,176,173,175.662,176,0,0,0,4202,4990.392,5000
"random",20,3,0.235,0.514,0.729,-0.37,-0.394,73,158,-0.915,0.054,0.101,0.459,1.231,0.212,0.311,0.479,0.071,0.543,0.818,0.057,0.241,0.455,0,0,1,0,1.389,12,164,174.611,176,164,174.611,176,164,174.611,176,0,0,0,3058,4960.551,5000
"random",20,4,0.159,0.589,0.783,-0.306,-0.324,73,158,-0.786,0.05,0.092,0.4,1.456,0.233,0.321,2.004,0.311,0.62,0.991,0.028,0.146,0.318,0,0,0,0,0.812,7,169,175.188,176,169,175.188,176,169,175.188,176,0,0,0,3523,4976.938,5000
"random",20,5,0.379,0.637,0.804,-0.248,-0.256,73,158,-0.686,0.046,0.084,0.348,1.609,0.25,0.331,1.471,0.443,0.667,0.984,0.028,0.138,0.335,0,0,0,0,0.523,5,171,175.477,176,171,175.477,176,171,175.477,176,0,0,0,3882,4985.142,5000
"random",20,6,0.461,0.672,0.83,-0.194,-0.189,79,158,-0.677,0.042,0.076,0.301,1.156,0.271,0.336,0.435,0.544,0.7,0.823,0.023,0.093,0.216,0,0,0,0,0.374,4,172,175.626,176,172,175.626,176,172,175.626,176,0,0,0,4121,4989.381,5000
"random",20,7,0.447,0.695,0.827,-0.146,-0.128,79,158,-0.644,0.038,0.064,0.266,1.127,0.283,0.344,0.439,0.592,0.722,0.831,0.017,0.076,0.17,0,0,0,0,0.289,3,173,175.711,176,173,175.711,176,173,175.711,176,0,0,0,4319,4991.795,5000
"random",20,8,0.491,0.715,0.854,-0.101,-0.078,79,158,-0.592,0.03,0.047,0.236,1.084,0.283,0.352,0.42,0.601,0.739,0.819,0.006,0.055,0.125,0,0,0,0,0.226,3,173,175.774,176,173,175.774,176,173,175.774,176,0,0,0,4459,4993.58,5000
"random",20,9,0.5,0.73,0.867,-0.06,-0.033,79,158,-0.571,0.027,0.029,0.215,1.074,0.302,0.358,0.442,0.656,0.753,0.839,0.011,0.045,0.114,0,0,0,0,0.191,3,173,175.809,176,173,175.809,176,173,175.809,176,0,0,0,4576,4994.58,5000
"random",30,3,0.15,0.546,0.749,-0.334,-0.381,152,84,-0.626,1.892,0.1,0.505,6.45,0.201,0.506,2.407,0.332,0.735,0.995,0.034,0.207,0.455,0,0,0,0,0.831,10,166,175.169,176,166,175.169,176,166,175.169,176,0,0,0,3607,4976.381,5000
"random",30,4,0.053,0.57,0.832,-0.251,-0.304,152,166,-0.557,2.531,0.087,0.486,7.161,0.231,0.677,2.793,0.552,0.809,0.997,0.017,0.128,0.335,0,0,0,0,0.161,3,173,175.839,176,173,175.839,176,173,175.839,176,0,0,0,4502,4995.415,5000
"random",30,5,0.405,0.722,0.852,-0.229,-0.241,152,158,-0.493,0.044,0.076,0.311,1.037,0.252,0.312,1.44,0.646,0.765,0.989,0.011,0.096,0.267,0,0,0,0,0.312,4,172,175.688,176,172,175.688,176,172,175.688,176,0,0,0,4333,4991.131,5000
"random",30,6,0.337,0.746,0.871,-0.168,-0.177,79,84,-0.456,0.372,0.062,0.286,3.346,0.258,0.371,2.022,0.676,0.795,0.995,0.011,0.064,0.159,0,0,0,0,0.143,3,173,175.857,176,173,175.857,176,173,175.857,176,0,0,0,4696,4995.932,5000
"random",30,7,0.151,0.764,0.897,-0.114,-0.117,79,84,-0.435,0.464,0.049,0.263,3.394,0.274,0.416,2.03,0.72,0.816,0.995,0.006,0.048,0.131,0,0,0,0,0.048,2,174,175.952,176,174,175.952,176,174,175.952,176,0,0,0,4828,4998.625,5000
"random",30,8,0.147,0.797,0.909,-0.072,-0.062,79,84,-0.382,0.14,0.033,0.214,2.645,0.278,0.378,1.991,0.734,0.82,0.995,0.006,0.036,0.085,0,0,0,0,0.032,2,174,175.968,176,174,175.968,176,174,175.968,176,0,0,0,4879,4999.091,5000
"random",30,9,0.178,0.816,0.917,-0.03,-0.017,79,84,-0.359,0.192,0.013,0.186,2.452,0.284,0.377,1.992,0.75,0.828,0.995,0,0.029,0.068,0,0,0,0,0.02,2,174,175.98,176,174,175.98,176,174,175.98,176,0,0,0,4932,4999.42,5000
"random",40,3,0.118,0.632,0.809,-0.348,-0.374,73,158,-0.628,0.054,0.091,0.428,2.091,0.202,0.304,1.457,0.515,0.752,0.991,0.028,0.182,0.42,0,0,0,0,0.765,9,167,175.235,176,167,175.235,176,167,175.235,176,0,0,0,3699,4978.261,5000
"random",40,4,0.218,0.704,0.857,-0.27,-0.303,152,84,-0.488,0.705,0.08,0.389,4.359,0.217,0.397,2.453,0.624,0.807,0.997,0.011,0.11,0.341,0,0,0,0,0.27,5,171,175.73,176,171,175.73,176,171,175.73,176,0,0,0,4288,4992.318,5000
"random",40,5,0.341,0.779,0.885,-0.216,-0.23,152,158,-0.418,0.042,0.07,0.297,2.243,0.24,0.317,1.477,0.712,0.815,0.992,0.006,0.072,0.227,0,0,0,0,0.152,3,173,175.848,176,173,175.848,176,173,175.848,176,0,0,0,4682,4995.676,5000
"random",40,6,0.604,0.822,0.91,-0.16,-0.169,152,158,-0.355,0.034,0.055,0.234,0.744,0.257,0.306,0.41,0.759,0.829,0.906,0.006,0.048,0.148,0,0,0,0,0.084,2,174,175.916,176,174,175.916,176,174,175.916,176,0,0,0,4781,4997.625,5000
"random",40,7,0.672,0.852,0.927,-0.109,-0.112,152,158,-0.288,0.025,0.041,0.188,0.69,0.267,0.312,0.395,0.783,0.84,0.901,0,0.034,0.097,0,0,0,0,0.034,1,175,175.966,176,175,175.966,176,175,175.966,176,0,0,0,4890,4999.028,5000
"random",40,8,0.678,0.873,0.948,-0.063,-0.057,79,110,-0.254,0.02,0.025,0.15,0.68,0.272,0.317,0.393,0.796,0.848,0.902,0,0.026,0.062,0,0,0,0,0.017,2,174,175.983,176,174,175.983,176,174,175.983,176,0,0,0,4938,4999.523,5000
"random",40,9,0.412,0.892,0.951,-0.019,-0.01,79,84,-0.202,0.031,0.005,0.123,0.643,0.281,0.323,1.433,0.811,0.856,0.993,0,0.02,0.051,0,0,0,0,0.007,1,175,175.993,176,175,175.993,176,175,175.993,176,0,0,0,4980,4999.79,5000
"random",50,3,0.343,0.675,0.81,-0.344,-0.372,73,158,-0.556,0.054,0.087,0.409,0.823,0.2,0.283,0.424,0.605,0.792,0.913,0.023,0.163,0.42,0,0,0,0,0.584,8,168,175.416,176,168,175.416,176,168,175.416,176,0,0,0,3755,4983.415,5000
"random",50,4,0.089,0.714,0.891,-0.253,-0.29,152,166,-0.439,2.027,0.077,0.406,6.449,0.221,0.497,2.428,0.715,0.851,0.998,0.006,0.091,0.29,0,0,0,0,0.038,2,174,175.962,176,174,175.962,176,174,175.962,176,0,0,0,4845,4998.926,5000
"random",50,5,0.343,0.823,0.908,-0.208,-0.226,152,158,-0.358,0.039,0.063,0.284,1.917,0.24,0.31,1.475,0.773,0.845,0.994,0.006,0.057,0.216,0,0,0,0,0.081,2,174,175.919,176,174,175.919,176,174,175.919,176,0,0,0,4722,4997.688,5000
"random",50,6,0.709,0.868,0.934,-0.152,-0.163,152,158,-0.281,0.032,0.051,0.214,0.573,0.252,0.296,0.401,0.802,0.855,0.922,0,0.037,0.119,0,0,0,0,0.034,1,175,175.966,176,175,175.966,176,175,175.966,176,0,0,0,4921,4999.028,5000
"random",50,7,0.375,0.898,0.951,-0.1,-0.107,152,158,-0.221,0.022,0.038,0.169,0.954,0.261,0.304,1.43,0.821,0.865,0.994,0,0.026,0.085,0,0,0,0,0.007,2,174,175.993,176,174,175.993,176,174,175.993,176,0,0,0,4983,4999.807,5000
"random",50,8,0.793,0.923,0.966,-0.053,-0.053,152,110,-0.162,0.018,0.02,0.122,0.451,0.269,0.306,0.354,0.835,0.871,0.905,0,0.019,0.057,0,0,0,0,0.002,1,175,175.998,176,175,175.998,176,175,175.998,176,0,0,0,4992,4999.943,5000
"random",50,9,0.784,0.941,0.977,-0.01,-0.005,152,84,-0.116,0.027,0.001,0.089,0.427,0.279,0.31,0.351,0.849,0.877,0.904,0,0.016,0.04,0,0,0,0,0.001,1,175,175.999,176,175,175.999,176,175,175.999,176,0,0,0,4997,4999.977,5000
"random",60,3,0.367,0.704,0.828,-0.34,-0.37,172,158,-0.514,0.052,0.083,0.404,1.304,0.192,0.283,1.43,0.645,0.822,0.994,0.017,0.15,0.415,0,0,0,0,0.452,7,169,175.548,176,169,175.548,176,169,175.548,176,0,0,0,3800,4987.159,5000
"random",60,4,0.333,0.794,0.901,-0.266,-0.289,152,158,-0.399,0.047,0.072,0.344,2.187,0.22,0.313,2.001,0.762,0.851,0.997,0.006,0.08,0.284,0,0,0,0,0.148,3,173,175.852,176,173,175.852,176,173,175.852,176,0,0,0,4388,4995.784,5000
"random",60,5,0.356,0.859,0.93,-0.204,-0.22,152,158,-0.305,0.038,0.06,0.264,1.018,0.237,0.29,1.429,0.808,0.863,0.995,0,0.047,0.188,0,0,0,0,0.057,2,174,175.943,176,174,175.943,176,174,175.943,176,0,0,0,4755,4998.381,5000
"random",60,6,0.389,0.903,0.95,-0.147,-0.159,152,158,-0.224,0.029,0.047,0.201,0.902,0.25,0.291,1.432,0.833,0.873,0.995,0,0.03,0.102,0,0,0,0,0.015,2,174,175.985,176,174,175.985,176,174,175.985,176,0,0,0,4936,4999.58,5000
"random",60,7,0.81,0.934,0.969,-0.095,-0.101,152,158,-0.164,0.02,0.034,0.145,0.341,0.261,0.293,0.363,0.851,0.881,0.923,0,0.02,0.068,0,0,0,0,0.001,1,175,175.999,176,175,175.999,176,175,175.999,176,0,0,0,4996,4999.966,5000
"random",60,8,0.866,0.957,0.983,-0.048,-0.05,152,110,-0.093,0.015,0.018,0.098,0.277,0.273,0.297,0.34,0.867,0.887,0.914,0,0.015,0.045,0,0,0,0,0,1,175,176,176,175,176,176,175,176,176,0,0,0,4998,4999.989,5000
"random",60,9,0.88,0.975,0.992,-0.004,-0.002,161,84,-0.051,0.014,0,0.057,0.248,0.279,0.302,0.329,0.875,0.893,0.91,0.006,0.014,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"by order",14,3,0.359,0.535,0.638,-0.369,-0.366,123,79,-0.976,0.151,NA,NA,NA,0.26,0.341,0.449,0.07,0.441,0.688,0.111,0.246,0.382,0,0,0,1,2.952,9,121,164.214,174,121,164.214,174,121,164.214,174,0,8.833,46,NA,NA,NA
"by order",14,4,0.387,0.601,0.668,-0.305,-0.305,123,79,-0.925,0.959,NA,NA,NA,0.295,0.4,1.558,0.359,0.561,0.977,0.097,0.196,0.391,0,0,0,1,2.286,6,153,169.119,175,153,169.119,175,153,169.119,175,0,4.595,20,NA,NA,NA
"by order",14,5,0.576,0.648,0.691,-0.253,-0.238,112,84,-0.889,0.449,NA,NA,NA,0.307,0.366,0.434,0.443,0.604,0.722,0.08,0.162,0.302,0,0,0,1,1.952,4,164,171.548,175,164,171.548,175,164,171.548,175,0,2.5,9,NA,NA,NA
"by order",14,6,0.266,0.338,0.392,-0.031,-0.183,112,73,-0.884,17.763,NA,NA,NA,1.459,1.841,2.495,0.976,0.984,0.992,0.045,0.118,0.229,0,0,0,0,0.012,1,169,174.655,176,169,174.655,176,169,174.655,176,0,1.333,7,NA,NA,NA
"by order",14,7,0.656,0.693,0.711,-0.155,-0.131,112,84,-0.879,0.641,NA,NA,NA,0.366,0.387,0.415,0.634,0.672,0.717,0.08,0.114,0.165,0,0,0,1,1.444,3,171,173.917,175,171,173.917,175,171,173.917,175,0,0.639,3,NA,NA,NA
"by order",14,8,0.293,0.38,0.404,0.012,-0.088,112,73,-0.87,17.56,NA,NA,NA,1.447,1.575,2.01,0.977,0.98,0.988,0.062,0.08,0.108,0,0,0,0,0,0,174,175.778,176,174,175.778,176,174,175.778,176,0,0.222,2,NA,NA,NA
"by order",14,9,0.71,0.71,0.71,-0.071,-0.048,112,166,-0.859,0.807,NA,NA,NA,0.406,0.406,0.406,0.713,0.713,0.713,0.068,0.068,0.068,0,0,0,1,1,1,175,175,175,175,175,175,175,175,175,0,0,0,NA,NA,NA
"by order",20,3,0.35,0.614,0.725,-0.35,-0.349,112,158,-0.907,0.097,NA,NA,NA,0.266,0.337,0.461,0.406,0.617,0.803,0.114,0.228,0.359,0,0,0,0,1.762,7,138,169.762,176,138,169.762,176,138,169.762,176,0,4.476,31,NA,NA,NA
"by order",20,4,0.34,0.665,0.75,-0.273,-0.283,112,84,-0.896,2.381,NA,NA,NA,0.298,0.49,1.523,0.581,0.739,0.984,0.08,0.148,0.253,0,0,0,0,1,3,160,173.127,176,160,173.127,176,160,173.127,176,0,1.873,13,NA,NA,NA
"by order",20,5,0.428,0.729,0.771,-0.224,-0.213,112,84,-0.884,0.492,NA,NA,NA,0.33,0.38,1.446,0.679,0.747,0.983,0.062,0.131,0.259,0,0,0,0,0.706,3,170,174.492,176,170,174.492,176,170,174.492,176,0,0.802,5,NA,NA,NA
"by order",20,6,0.389,0.754,0.785,-0.17,-0.161,112,84,-0.871,0.804,NA,NA,NA,0.357,0.399,1.44,0.737,0.776,0.984,0.045,0.093,0.176,0,0,0,0,0.429,2,173,175.262,176,173,175.262,176,173,175.262,176,0,0.31,2,NA,NA,NA
"by order",20,7,0.737,0.775,0.798,-0.123,-0.11,112,84,-0.858,0.684,NA,NA,NA,0.37,0.397,0.428,0.762,0.793,0.822,0.045,0.084,0.136,0,0,0,0,0.25,1,175,175.667,176,175,175.667,176,175,175.667,176,0,0.083,1,NA,NA,NA
"by order",20,8,0.772,0.789,0.799,-0.08,-0.057,112,84,-0.841,0.745,NA,NA,NA,0.395,0.406,0.424,0.795,0.806,0.822,0.051,0.064,0.091,0,0,0,0,0.111,1,175,175.889,176,175,175.889,176,175,175.889,176,0,0,0,NA,NA,NA
"by order",20,9,0.8,0.8,0.8,-0.04,-0.012,112,84,-0.821,0.801,NA,NA,NA,0.415,0.415,0.415,0.817,0.817,0.817,0.057,0.057,0.057,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,3,0.226,0.621,0.74,-0.332,-0.369,88,73,-0.838,1.631,NA,NA,NA,0.248,0.497,1.526,0.563,0.76,0.988,0.074,0.196,0.378,0,0,0,0,0.702,5,149,173.345,176,149,173.345,176,149,173.345,176,0,1.952,22,NA,NA,NA
