"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,3,0.328,0.576,0.746,-0.022,-0.022,84,116,-0.073,0.022,0.138,0.2,0.466,0.161,0.212,0.261,0,0.368,0.968,0,0.121,0.335,0,0.001,1,0,0.078,3,173,175.921,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,4,0.427,0.668,0.799,-0.015,-0.014,84,79,-0.088,0.007,0.098,0.149,0.34,0.146,0.185,0.227,0.002,0.402,0.643,0,0.069,0.188,0,0.001,1,0,0.015,1,175,175.984,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,5,0.584,0.726,0.829,-0.011,-0.009,84,79,-0.105,0.012,0.059,0.116,0.269,0.146,0.171,0.193,0.176,0.426,0.619,0,0.041,0.097,0,0.002,1,0,0,0,175,175.998,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,3,0.384,0.641,0.793,-0.017,-0.017,77,116,-0.053,0.028,0.118,0.178,0.461,0.155,0.193,0.233,0.129,0.473,0.718,0,0.096,0.29,0,0,1,0,0.035,3,173,175.964,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,4,0.496,0.742,0.84,-0.011,-0.01,84,42,-0.051,0.01,0.079,0.127,0.319,0.138,0.169,0.203,0.249,0.507,0.698,0,0.047,0.131,0,0,1,0,0.004,1,175,175.995,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,5,0.684,0.805,0.879,-0.007,-0.005,84,116,-0.063,0.008,0.046,0.091,0.209,0.133,0.156,0.177,0.336,0.525,0.718,0,0.024,0.068,0,0,1,0,0,0,175,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,3,0.482,0.711,0.86,-0.014,-0.014,76,116,-0.046,0.025,0.099,0.158,0.454,0.141,0.176,0.212,0.32,0.585,0.986,0,0.073,0.233,0,0,0,0,0.012,2,174,175.988,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,4,0.639,0.817,0.896,-0.007,-0.007,84,116,-0.024,0.013,0.06,0.107,0.299,0.132,0.155,0.186,0.459,0.614,0.737,0,0.032,0.091,0,0,0,0,0.001,1,175,175.999,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,5,0.804,0.882,0.927,-0.004,-0.003,84,116,-0.034,0.007,0.032,0.066,0.143,0.126,0.143,0.158,0.503,0.629,0.728,0,0.014,0.051,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,3,0.531,0.754,0.868,-0.012,-0.012,76,42,-0.045,0.024,0.082,0.148,0.454,0.138,0.167,0.198,0.469,0.656,0.989,0,0.063,0.222,0,0,0,0,0.002,1,175,175.998,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,4,0.701,0.863,0.922,-0.006,-0.005,136,42,-0.021,0.014,0.049,0.095,0.292,0.125,0.148,0.172,0.561,0.682,0.771,0,0.025,0.074,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,5,0.882,0.93,0.957,-0.002,-0.002,84,79,-0.018,0.002,0.024,0.05,0.098,0.123,0.137,0.15,0.621,0.697,0.752,0,0.009,0.034,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,3,0.56,0.783,0.883,-0.011,-0.01,76,42,-0.045,0.025,0.068,0.14,0.453,0.135,0.161,0.188,0.555,0.706,0.817,0,0.056,0.205,0,0,0,0,0.001,1,175,175.999,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,4,0.751,0.896,0.948,-0.005,-0.004,94,42,-0.016,0.012,0.04,0.086,0.288,0.127,0.143,0.165,0.652,0.73,0.798,0,0.021,0.057,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,5,0.928,0.961,0.978,-0.001,-0.001,84,116,-0.009,0.002,0.017,0.036,0.067,0.121,0.133,0.144,0.686,0.743,0.783,0,0.007,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",60,3,0.589,0.805,0.89,-0.01,-0.009,76,42,-0.044,0.025,0.056,0.135,0.452,0.133,0.157,0.182,0.62,0.743,0.825,0,0.053,0.182,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",60,4,0.786,0.919,0.958,-0.004,-0.004,94,42,-0.015,0.013,0.032,0.08,0.283,0.127,0.14,0.159,0.717,0.765,0.82,0,0.018,0.051,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",60,5,0.956,0.983,0.99,0,0,84,116,-0.004,0.001,0.011,0.023,0.042,0.123,0.13,0.136,0.751,0.777,0.799,0,0.006,0.017,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"by order",14,3,0.361,0.483,0.565,-0.017,-0.013,99,92,-0.346,0.419,NA,NA,NA,0.186,0.209,0.234,0.113,0.331,0.55,0.023,0.114,0.244,0,0,0,0,0,0,175,175.9,176,175,175.9,176,175,175.9,176,0,0.1,1,NA,NA,NA
"by order",14,4,0.52,0.568,0.61,-0.01,-0.009,99,92,-0.339,0.408,NA,NA,NA,0.17,0.18,0.192,0.293,0.358,0.447,0.028,0.056,0.074,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",14,5,0.625,0.625,0.625,-0.005,-0.006,99,92,-0.335,0.402,NA,NA,NA,0.165,0.165,0.165,0.371,0.371,0.371,0.028,0.028,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,3,0.423,0.604,0.696,-0.02,-0.019,163,117,-0.307,0.247,NA,NA,NA,0.168,0.193,0.217,0.266,0.469,0.654,0.017,0.09,0.21,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,4,0.585,0.701,0.754,-0.014,-0.012,163,117,-0.303,0.255,NA,NA,NA,0.158,0.169,0.184,0.436,0.504,0.597,0.011,0.04,0.062,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,5,0.759,0.759,0.759,-0.01,-0.007,163,117,-0.301,0.259,NA,NA,NA,0.156,0.156,0.156,0.526,0.526,0.526,0.028,0.028,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,3,0.507,0.683,0.771,-0.014,-0.012,28,8,-0.226,0.183,NA,NA,NA,0.155,0.178,0.192,0.438,0.588,0.708,0.006,0.07,0.17,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
