"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,3,0.089,0.568,0.754,-0.175,-0.184,89,107,-0.258,-0.02,0.212,0.355,1.556,0.232,0.328,1.407,0,0.368,0.968,0,0.121,0.335,0,0.001,1,0,0.078,3,173,175.921,176,173,175.921,176,173,175.921,176,0,0,0,4752,4997.756,5000
"random",14,4,0.411,0.663,0.803,-0.097,-0.098,84,107,-0.209,-0.02,0.185,0.265,0.701,0.237,0.308,0.396,0.002,0.402,0.643,0,0.069,0.188,0,0.001,1,0,0.015,1,175,175.984,176,175,175.984,176,175,175.984,176,0,0,0,4933,4999.534,5000
"random",14,5,0.542,0.721,0.826,-0.026,-0.021,84,67,-0.162,0.008,0.097,0.207,0.48,0.252,0.303,0.371,0.176,0.426,0.619,0,0.041,0.097,0,0.002,1,0,0,0,175,175.998,176,175,175.998,176,175,175.998,176,0,0,0,4989,4999.938,5000
"random",20,3,0.368,0.635,0.796,-0.17,-0.18,89,107,-0.242,-0.016,0.178,0.315,0.862,0.219,0.286,0.386,0.129,0.473,0.718,0,0.096,0.29,0,0,1,0,0.035,3,173,175.964,176,173,175.964,176,173,175.964,176,0,0,0,4878,4998.989,5000
"random",20,4,0.479,0.738,0.843,-0.089,-0.091,84,107,-0.144,-0.02,0.15,0.226,0.625,0.223,0.277,0.351,0.249,0.507,0.698,0,0.047,0.131,0,0,1,0,0.004,1,175,175.995,176,175,175.995,176,175,175.995,176,0,0,0,4979,4999.869,5000
"random",20,5,0.65,0.802,0.877,-0.015,-0.012,84,67,-0.093,0.01,0.075,0.16,0.368,0.229,0.272,0.352,0.336,0.525,0.718,0,0.024,0.068,0,0,1,0,0,0,175,176,176,175,176,176,175,176,176,0,0,0,4999,4999.994,5000
"random",30,3,0.267,0.704,0.859,-0.165,-0.173,89,107,-0.237,-0.011,0.149,0.287,0.81,0.199,0.259,1.375,0.32,0.585,0.986,0,0.073,0.233,0,0,0,0,0.012,2,174,175.988,176,174,175.988,176,174,175.988,176,0,0,0,4965,4999.665,5000
"random",30,4,0.62,0.814,0.896,-0.082,-0.085,100,116,-0.113,-0.013,0.113,0.191,0.569,0.21,0.251,0.302,0.459,0.614,0.737,0,0.032,0.091,0,0,0,0,0.001,1,175,175.999,176,175,175.999,176,175,175.999,176,0,0,0,4997,4999.983,5000
"random",30,5,0.802,0.881,0.926,-0.008,-0.006,84,67,-0.049,0.006,0.052,0.115,0.247,0.213,0.247,0.287,0.503,0.629,0.728,0,0.014,0.051,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,3,0.273,0.747,0.874,-0.163,-0.172,86,107,-0.234,-0.008,0.127,0.272,0.795,0.193,0.244,1.364,0.469,0.656,0.989,0,0.063,0.222,0,0,0,0,0.002,1,175,175.998,176,175,175.998,176,175,175.998,176,0,0,0,4994,4999.938,5000
