"occasions_drawn","n_occasions","itemset_type","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimProbNeg_raw_min","estimProbNeg_raw_mean","estimProbNeg_raw_max","estimProbPos_raw_min","estimProbPos_raw_mean","estimProbPos_raw_max"
"random",14,"3 items: low endorsement",0.384,0.531,0.658,-0.03,-0.037,76,116,-0.279,0.468,0.089,0.175,0.503,0.182,0.208,0.233,0.101,0.322,0.502,0.045,0.094,0.159,0,0,0,0,0.07,2
"random",20,"3 items: low endorsement",0.443,0.594,0.689,-0.024,-0.029,76,116,-0.273,0.488,0.075,0.149,0.506,0.166,0.189,0.208,0.232,0.442,0.596,0.017,0.065,0.131,0,0,0,0,0.024,1
"random",30,"3 items: low endorsement",0.572,0.658,0.729,-0.019,-0.028,76,116,-0.28,0.511,0.061,0.123,0.516,0.153,0.172,0.187,0.41,0.558,0.646,0.006,0.037,0.074,0,0,0,0,0.002,1
"random",40,"3 items: low endorsement",0.636,0.699,0.756,-0.018,-0.025,76,116,-0.275,0.515,0.05,0.107,0.518,0.151,0.163,0.178,0.558,0.636,0.701,0,0.024,0.062,0,0,0,0,0,0
"random",50,"3 items: low endorsement",0.679,0.726,0.768,-0.017,-0.024,76,116,-0.276,0.519,0.037,0.096,0.52,0.146,0.158,0.169,0.626,0.688,0.738,0,0.016,0.04,0,0,0,0,0,0
"random",60,"3 items: low endorsement",0.717,0.746,0.777,-0.016,-0.025,76,116,-0.275,0.519,0.026,0.086,0.519,0.147,0.153,0.159,0.699,0.727,0.76,0,0.011,0.028,0,0,0,0,0,0
"random",14,"3 items: high endorsement",0.418,0.61,0.708,-0.007,-0.006,116,76,-0.281,0.278,0.117,0.177,0.387,0.201,0.228,0.263,0.253,0.443,0.618,0.045,0.103,0.165,0,0,0,0,0,0
"random",20,"3 items: high endorsement",0.585,0.678,0.765,-0.002,-0.001,116,52,-0.292,0.284,0.088,0.148,0.374,0.181,0.208,0.228,0.366,0.54,0.65,0.017,0.075,0.142,0,0,0,0,0,0
"random",30,"3 items: high endorsement",0.65,0.745,0.807,0.001,0.003,116,52,-0.294,0.291,0.067,0.121,0.332,0.175,0.19,0.208,0.562,0.637,0.706,0.017,0.051,0.097,0,0,0,0,0,0
"random",40,"3 items: high endorsement",0.729,0.786,0.83,0.003,0.007,116,52,-0.309,0.291,0.052,0.104,0.331,0.167,0.182,0.196,0.64,0.703,0.754,0.011,0.041,0.074,0,0,0,0,0,0
