"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,3,0.301,0.534,0.708,0.02,0.01,100,116,-0.05,0.295,0.117,0.18,0.44,0.125,0.182,0.235,0,0.185,0.971,0.006,0.121,0.324,0,0.003,1,0,0.067,2,119,154.691,175,119,154.295,174,119,154.758,175,0,0,0,0,4383.375,4998
"random",14,4,0.405,0.636,0.773,0.002,-0.006,84,92,-0.054,0.119,0.089,0.14,0.315,0.13,0.167,0.21,0,0.21,0.6,0,0.068,0.17,0,0.001,1,0,0.013,2,146,163.955,176,146,163.541,175,146,163.968,176,0,0,0,0,4646.04,5000
"random",14,5,0.54,0.705,0.811,-0.004,-0.006,84,92,-0.079,0.065,0.059,0.111,0.237,0.131,0.159,0.182,0,0.292,0.478,0,0.04,0.091,0,0.001,1,0,0,0,160,168.89,176,160,168.443,175,160,168.89,176,0,0,0,0,4785.307,5000
"random",20,3,0.362,0.608,0.766,0.013,0,86,116,-0.042,0.308,0.103,0.165,0.453,0.116,0.17,0.224,0,0.3,0.978,0,0.096,0.312,0,0,1,0,0.042,2,121,159.092,176,121,158.665,175,121,159.134,176,0,0,0,0,4507.528,5000
"random",20,4,0.539,0.717,0.841,-0.001,-0.007,84,75,-0.034,0.114,0.069,0.123,0.304,0.123,0.156,0.191,0.001,0.388,0.639,0,0.047,0.142,0,0.001,1,0,0.004,1,151,167.742,176,151,167.343,175,151,167.746,176,0,0,0,0,4754.057,5000
"random",20,5,0.657,0.791,0.878,-0.004,-0.004,84,92,-0.052,0.047,0.045,0.089,0.189,0.127,0.149,0.168,0.249,0.453,0.58,0,0.025,0.068,0,0,1,0,0,0,164,171.685,176,163,171.243,175,164,171.685,176,0,0,0,0,4864.847,5000
"random",30,3,0.455,0.682,0.826,0.007,-0.005,76,116,-0.042,0.326,0.091,0.151,0.473,0.111,0.159,0.203,0,0.453,0.986,0,0.074,0.256,0,0,0,0,0.013,2,131,162.993,176,131,162.568,175,131,163.006,176,0,0,0,0,4618.398,5000
"random",30,4,0.596,0.8,0.884,-0.002,-0.006,84,75,-0.022,0.115,0.053,0.105,0.295,0.118,0.147,0.177,0.3,0.547,0.727,0,0.032,0.097,0,0,0,0,0,0,159,170.402,176,159,170.041,175,159,170.402,176,0,0,0,0,4830.716,5000
"random",30,5,0.798,0.875,0.921,-0.003,-0.003,84,92,-0.032,0.035,0.032,0.066,0.139,0.121,0.139,0.155,0.464,0.596,0.682,0,0.014,0.045,0,0,0,0,0,0,168,173.562,176,168,173.12,175,168,173.562,176,0,0,0,0,4918.188,5000
"random",40,3,0.51,0.732,0.837,0.005,-0.005,76,116,-0.043,0.331,0.075,0.142,0.485,0.109,0.153,0.189,0.089,0.561,0.99,0,0.063,0.216,0,0,0,0,0.004,1,138,164.954,176,138,164.534,175,138,164.957,176,0,0,0,0,4674.261,5000
