"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,3,0.066,0.528,0.697,-0.114,-0.136,89,116,-0.251,0.463,0.158,0.302,1.461,0.171,0.278,1.478,0,0.185,0.971,0.006,0.121,0.324,0,0.003,1,0,0.067,2,119,154.691,175,119,154.228,174,119,154.691,175,0,0,0,0,4381.472,4998
"random",14,4,0.39,0.632,0.769,-0.066,-0.081,84,92,-0.145,0.203,0.137,0.237,0.599,0.204,0.269,0.374,0,0.21,0.6,0,0.068,0.17,0,0.001,1,0,0.013,2,146,163.955,176,146,163.527,175,146,163.955,176,0,0,0,0,4645.665,5000
"random",14,5,0.535,0.702,0.811,-0.009,-0.013,84,92,-0.113,0.141,0.097,0.191,0.419,0.223,0.273,0.317,0,0.292,0.478,0,0.04,0.091,0,0.001,1,0,0,0,160,168.89,176,160,168.443,175,160,168.89,176,0,0,0,0,4785.307,5000
"random",20,3,0.264,0.602,0.767,-0.126,-0.15,89,116,-0.241,0.472,0.132,0.28,0.811,0.158,0.251,1.384,0,0.3,0.978,0,0.096,0.312,0,0,1,0,0.042,2,121,159.092,176,121,158.623,175,121,159.092,176,0,0,0,0,4506.33,5000
"random",20,4,0.514,0.712,0.839,-0.071,-0.085,89,92,-0.124,0.193,0.108,0.211,0.576,0.193,0.25,0.321,0.001,0.388,0.639,0,0.047,0.142,0,0.001,1,0,0.004,1,151,167.742,176,151,167.339,175,151,167.742,176,0,0,0,0,4753.938,5000
"random",20,5,0.661,0.788,0.875,-0.008,-0.009,84,92,-0.072,0.106,0.073,0.153,0.332,0.216,0.253,0.288,0.249,0.453,0.58,0,0.025,0.068,0,0,1,0,0,0,164,171.685,176,163,171.243,175,164,171.685,176,0,0,0,0,4864.847,5000
"random",30,3,0.262,0.674,0.825,-0.135,-0.157,89,116,-0.237,0.503,0.108,0.266,0.818,0.152,0.233,1.384,0,0.453,0.986,0,0.074,0.256,0,0,0,0,0.013,2,131,162.993,176,131,162.555,175,131,162.993,176,0,0,0,0,4618.04,5000
"random",30,4,0.559,0.795,0.879,-0.072,-0.083,100,92,-0.115,0.188,0.086,0.185,0.556,0.185,0.233,0.296,0.3,0.547,0.727,0,0.032,0.097,0,0,0,0,0,0,159,170.402,176,159,170.041,175,159,170.402,176,0,0,0,0,4830.716,5000
"random",30,5,0.793,0.874,0.919,-0.005,-0.006,84,92,-0.045,0.079,0.052,0.112,0.242,0.205,0.236,0.266,0.464,0.596,0.682,0,0.014,0.045,0,0,0,0,0,0,168,173.562,176,168,173.12,175,168,173.562,176,0,0,0,0,4918.188,5000
"random",40,3,0.273,0.724,0.839,-0.139,-0.161,89,116,-0.232,0.51,0.097,0.256,0.822,0.148,0.222,1.391,0.089,0.561,0.99,0,0.063,0.216,0,0,0,0,0.004,1,138,164.954,176,138,164.53,175,138,164.954,176,0,0,0,0,4674.159,5000
"random",40,4,0.665,0.846,0.916,-0.073,-0.083,100,92,-0.107,0.198,0.072,0.169,0.547,0.183,0.223,0.275,0.474,0.637,0.766,0,0.025,0.08,0,0,0,0,0,0,162,171.662,176,162,171.339,175,162,171.662,176,0,0,0,0,4867.585,5000
"random",40,5,0.861,0.925,0.952,-0.003,-0.003,84,92,-0.019,0.055,0.039,0.084,0.17,0.201,0.227,0.248,0.591,0.677,0.732,0,0.009,0.04,0,0,0,0,0,0,169,174.362,176,169,173.926,175,169,174.362,176,0,0,0,0,4941.091,5000
"random",50,3,0.524,0.758,0.865,-0.141,-0.164,100,116,-0.231,0.563,0.088,0.25,0.835,0.147,0.215,0.288,0.271,0.631,0.811,0,0.056,0.193,0,0,0,0,0,1,142,166.07,176,142,165.651,175,142,166.07,176,0,0,0,0,4706.006,5000
"random",50,4,0.718,0.882,0.941,-0.072,-0.081,100,92,-0.105,0.212,0.061,0.158,0.541,0.181,0.217,0.257,0.573,0.696,0.789,0,0.021,0.074,0,0,0,0,0,0,163,172.327,176,163,172.038,175,163,172.327,176,0,0,0,0,4887.443,5000
"random",50,5,0.921,0.958,0.973,-0.002,-0.002,84,92,-0.013,0.038,0.028,0.061,0.12,0.201,0.22,0.239,0.675,0.73,0.77,0,0.007,0.023,0,0,0,0,0,0,172,174.747,176,172,174.33,175,172,174.747,176,0,0,0,0,4952.551,5000
"random",60,3,0.272,0.783,0.875,-0.141,-0.162,86,116,-0.23,0.67,0.085,0.246,0.871,0.15,0.21,1.376,0.42,0.681,0.993,0,0.053,0.188,0,0,0,0,0,0,143,166.746,176,143,166.342,175,143,166.746,176,0,0,0,0,4725.625,5000
"random",60,4,0.757,0.909,0.954,-0.072,-0.08,100,92,-0.103,0.24,0.053,0.15,0.535,0.182,0.212,0.245,0.652,0.738,0.808,0,0.018,0.057,0,0,0,0,0,0,166,172.751,176,166,172.501,175,166,172.751,176,0,0,0,0,4900.591,5000
"random",60,5,0.96,0.982,0.989,-0.001,-0.001,84,92,-0.005,0.022,0.018,0.04,0.074,0.202,0.216,0.231,0.734,0.768,0.797,0,0.006,0.023,0,0,0,0,0,0,172,174.947,176,172,174.567,175,172,174.947,176,0,0,0,0,4959.295,5000
"by order",14,3,0.336,0.442,0.529,-0.121,-0.122,67,92,-0.664,0.574,NA,NA,NA,0.212,0.266,0.338,0,0.156,0.45,0.023,0.114,0.244,0,0,0,0,0,0,133,155.8,171,133,155.4,170,133,155.8,171,0,0.1,1,NA,NA,NA
"by order",14,4,0.503,0.54,0.56,-0.072,-0.073,67,92,-0.589,0.657,NA,NA,NA,0.246,0.264,0.293,0.074,0.189,0.35,0.028,0.056,0.074,0,0,0,0,0,0,163,166.2,171,163,165.8,170,163,166.2,171,0,0,0,NA,NA,NA
"by order",14,5,0.584,0.584,0.584,-0.003,0.002,99,92,-0.598,0.731,NA,NA,NA,0.264,0.264,0.264,0.251,0.251,0.251,0.028,0.028,0.028,0,0,0,0,0,0,171,171,171,170,170,170,171,171,171,0,0,0,NA,NA,NA
"by order",20,3,0.381,0.56,0.641,-0.139,-0.131,67,8,-0.537,0.235,NA,NA,NA,0.194,0.256,0.334,0,0.317,0.624,0.017,0.09,0.21,0,0,0,0,0,0,139,160.1,173,139,159.7,172,139,160.1,173,0,0,0,NA,NA,NA
