"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,3,0.338,0.574,0.735,-0.011,-0.016,84,116,-0.061,0.101,0.112,0.185,0.394,0.142,0.195,0.256,0,0.244,0.968,0,0.121,0.324,0,0.001,1,0,0.068,2,174,175.932,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,4,0.421,0.665,0.799,-0.011,-0.012,84,92,-0.082,0.052,0.08,0.144,0.309,0.145,0.178,0.219,0,0.311,0.596,0,0.069,0.159,0,0.001,1,0,0.014,1,175,175.986,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",14,5,0.596,0.725,0.823,-0.009,-0.008,84,107,-0.099,0.031,0.055,0.113,0.267,0.145,0.167,0.187,0.154,0.373,0.517,0,0.04,0.108,0,0.002,1,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,3,0.398,0.639,0.781,-0.009,-0.013,76,116,-0.049,0.091,0.096,0.168,0.401,0.133,0.181,0.224,0,0.358,0.728,0,0.096,0.278,0,0,1,0,0.038,2,174,175.962,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,4,0.52,0.739,0.846,-0.008,-0.009,84,92,-0.051,0.046,0.067,0.124,0.301,0.128,0.164,0.199,0.108,0.457,0.688,0,0.047,0.136,0,0,1,0,0.005,1,175,175.995,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,5,0.702,0.804,0.877,-0.006,-0.005,84,92,-0.067,0.023,0.044,0.09,0.209,0.134,0.154,0.175,0.333,0.502,0.619,0,0.024,0.074,0,0.001,1,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,3,0.473,0.708,0.849,-0.008,-0.011,76,116,-0.045,0.078,0.081,0.152,0.407,0.124,0.168,0.206,0.072,0.514,0.986,0,0.074,0.261,0,0,0,0,0.009,2,174,175.991,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,4,0.635,0.815,0.9,-0.006,-0.007,84,92,-0.026,0.042,0.053,0.105,0.294,0.127,0.152,0.184,0.411,0.589,0.988,0,0.032,0.085,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,5,0.799,0.882,0.926,-0.003,-0.002,84,107,-0.032,0.017,0.031,0.066,0.141,0.126,0.143,0.16,0.51,0.621,0.707,0,0.014,0.051,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,3,0.512,0.751,0.861,-0.008,-0.009,76,92,-0.045,0.072,0.074,0.143,0.412,0.121,0.16,0.191,0.277,0.605,0.99,0,0.063,0.233,0,0,0,0,0.003,1,175,175.997,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
