"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,3,0.1,0.566,0.726,-0.156,-0.17,89,116,-0.259,0.14,0.148,0.324,1.39,0.196,0.295,1.407,0,0.244,0.968,0,0.121,0.324,0,0.001,1,0,0.068,2,174,175.932,176,174,175.932,176,174,175.932,176,0,0,0,4773,4998.057,5000
"random",14,4,0.414,0.662,0.8,-0.087,-0.095,84,92,-0.195,0.087,0.133,0.249,0.59,0.23,0.288,0.372,0,0.311,0.596,0,0.069,0.159,0,0.001,1,0,0.014,1,175,175.986,176,175,175.986,176,175,175.986,176,0,0,0,4937,4999.608,5000
"random",14,5,0.593,0.723,0.818,-0.02,-0.017,84,107,-0.148,0.068,0.099,0.197,0.474,0.249,0.29,0.329,0.154,0.373,0.517,0,0.04,0.108,0,0.002,1,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",20,3,0.404,0.631,0.781,-0.157,-0.172,89,92,-0.244,0.103,0.128,0.295,0.727,0.183,0.264,0.392,0,0.358,0.728,0,0.096,0.278,0,0,1,0,0.038,2,174,175.962,176,174,175.962,176,174,175.962,176,0,0,0,4875,4998.932,5000
"random",20,4,0.509,0.735,0.844,-0.083,-0.089,84,107,-0.143,0.079,0.114,0.217,0.572,0.204,0.264,0.346,0.108,0.457,0.688,0,0.047,0.136,0,0,1,0,0.005,1,175,175.995,176,175,175.995,176,175,175.995,176,0,0,0,4977,4999.858,5000
"random",20,5,0.7,0.803,0.875,-0.013,-0.011,84,107,-0.099,0.051,0.074,0.156,0.367,0.229,0.265,0.303,0.333,0.502,0.619,0,0.024,0.074,0,0.001,1,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,3,0.273,0.699,0.846,-0.157,-0.171,89,92,-0.235,0.098,0.112,0.274,0.721,0.17,0.244,1.37,0.072,0.514,0.986,0,0.074,0.261,0,0,0,0,0.009,2,174,175.991,176,174,175.991,176,174,175.991,176,0,0,0,4976,4999.744,5000
"random",30,4,0.29,0.811,0.896,-0.079,-0.086,100,107,-0.117,0.069,0.093,0.188,0.555,0.202,0.244,1.389,0.411,0.589,0.988,0,0.032,0.085,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",30,5,0.797,0.882,0.925,-0.007,-0.006,84,107,-0.045,0.039,0.052,0.113,0.246,0.214,0.244,0.277,0.51,0.621,0.707,0,0.014,0.051,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,3,0.266,0.742,0.862,-0.156,-0.169,89,92,-0.232,0.094,0.105,0.263,0.718,0.166,0.232,1.38,0.277,0.605,0.99,0,0.063,0.233,0,0,0,0,0.003,1,175,175.997,176,175,175.997,176,175,175.997,176,0,0,0,4991,4999.909,5000
"random",40,4,0.673,0.858,0.921,-0.076,-0.082,100,107,-0.107,0.064,0.081,0.169,0.546,0.194,0.232,0.28,0.532,0.667,0.775,0,0.025,0.08,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,5,0.871,0.929,0.959,-0.004,-0.004,84,107,-0.021,0.028,0.038,0.085,0.167,0.212,0.232,0.258,0.631,0.693,0.752,0,0.009,0.034,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,3,0.545,0.771,0.875,-0.156,-0.17,100,92,-0.23,0.092,0.098,0.255,0.719,0.163,0.224,0.291,0.408,0.667,0.814,0,0.056,0.193,0,0,0,0,0,1,175,176,176,175,176,176,175,176,176,0,0,0,4999,4999.994,5000
"random",50,4,0.714,0.891,0.939,-0.075,-0.081,100,107,-0.108,0.062,0.068,0.158,0.538,0.194,0.224,0.267,0.628,0.718,0.804,0,0.021,0.068,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,5,0.923,0.961,0.976,-0.002,-0.002,73,107,-0.012,0.018,0.028,0.062,0.118,0.207,0.225,0.243,0.695,0.741,0.779,0,0.007,0.023,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",60,3,0.581,0.792,0.885,-0.156,-0.168,86,92,-0.23,0.092,0.094,0.25,0.722,0.168,0.218,0.275,0.537,0.711,0.828,0,0.053,0.188,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",60,4,0.751,0.915,0.955,-0.074,-0.08,100,107,-0.103,0.059,0.061,0.149,0.533,0.194,0.219,0.251,0.692,0.756,0.817,0,0.019,0.051,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
