"occasions_drawn","n_occasions","itemset_type","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max"
"random",14,"5 items: low endorsement",0.341,0.517,0.656,-0.069,-0.065,107,98,-0.365,0.193,0.073,0.152,0.449,0.142,0.17,0.193,0.227,0.45,0.574,0.073,0.107,0.174
"random",20,"5 items: low endorsement",0.445,0.568,0.711,-0.065,-0.067,107,98,-0.41,0.158,0.053,0.137,0.479,0.134,0.159,0.182,0.423,0.572,0.692,0.046,0.078,0.101
"random",30,"5 items: low endorsement",0.553,0.64,0.746,-0.059,-0.062,39,98,-0.252,0.182,0.035,0.117,0.397,0.133,0.148,0.163,0.608,0.679,0.736,0.018,0.057,0.11
"random",40,"5 items: low endorsement",0.6,0.702,0.811,-0.058,-0.063,39,98,-0.262,0.151,0.035,0.104,0.387,0.129,0.142,0.157,0.692,0.742,0.79,0.028,0.049,0.073
"random",50,"5 items: low endorsement",0.655,0.739,0.841,-0.059,-0.065,39,71,-0.267,0.12,0.024,0.097,0.313,0.125,0.136,0.144,0.736,0.776,0.8,0.018,0.039,0.064
"random",60,"5 items: low endorsement",0.664,0.784,0.834,-0.056,-0.059,39,67,-0.267,0.147,0.015,0.087,0.268,0.123,0.132,0.139,0.776,0.803,0.823,0.018,0.035,0.064
"random",14,"5 items: high endorsement",0.457,0.591,0.7,-0.025,-0.029,107,69,-0.513,0.137,0.059,0.135,0.543,0.158,0.177,0.197,0.32,0.471,0.587,0.028,0.066,0.101
"random",20,"5 items: high endorsement",0.578,0.672,0.804,-0.02,-0.026,107,98,-0.418,0.203,0.046,0.114,0.508,0.154,0.166,0.178,0.53,0.587,0.644,0.009,0.042,0.073
"random",30,"5 items: high endorsement",0.656,0.754,0.854,-0.016,-0.022,107,69,-0.396,0.147,0.037,0.091,0.478,0.137,0.153,0.164,0.601,0.681,0.724,0,0.02,0.037
"random",40,"5 items: high endorsement",0.744,0.816,0.875,-0.014,-0.024,107,39,-0.306,0.17,0.029,0.077,0.412,0.14,0.148,0.156,0.714,0.749,0.777,0,0.016,0.037
"random",50,"5 items: high endorsement",0.754,0.856,0.913,-0.012,-0.02,107,39,-0.272,0.155,0.02,0.066,0.381,0.137,0.144,0.149,0.769,0.787,0.801,0,0.01,0.028
"random",60,"5 items: high endorsement",0.807,0.897,0.915,-0.011,-0.019,86,39,-0.136,0.167,0.014,0.056,0.167,0.136,0.14,0.144,0.801,0.814,0.824,0,0.005,0.018
"random",14,"10 items: low endorsement",0.502,0.615,0.693,-0.041,-0.034,107,15,-0.536,0.112,0.035,0.111,0.54,0.12,0.149,0.171,0.45,0.585,0.684,0,0.023,0.046
"random",20,"10 items: low endorsement",0.644,0.721,0.832,-0.029,-0.027,107,15,-0.244,0.077,0.034,0.091,0.391,0.117,0.14,0.156,0.501,0.671,0.734,0,0.009,0.018
"random",30,"10 items: low endorsement",0.719,0.795,0.858,-0.026,-0.025,53,15,-0.2,0.084,0.027,0.074,0.327,0.122,0.133,0.148,0.727,0.763,0.795,0,0.003,0.018
"random",40,"10 items: low endorsement",0.737,0.823,0.884,-0.025,-0.026,107,86,-0.274,0.069,0.017,0.063,0.397,0.11,0.123,0.132,0.747,0.792,0.826,0,0.001,0.018
"random",50,"10 items: low endorsement",0.807,0.885,0.938,-0.022,-0.023,107,86,-0.159,0.068,0.014,0.051,0.328,0.111,0.12,0.131,0.801,0.825,0.852,0,0,0.009
"random",60,"10 items: low endorsement",0.837,0.938,0.954,-0.02,-0.022,39,15,-0.101,0.068,0.011,0.041,0.122,0.111,0.118,0.121,0.826,0.845,0.853,0,0,0
"random",14,"10 items: high endorsement",0.581,0.688,0.794,-0.017,-0.015,107,39,-0.346,0.084,0.04,0.106,0.469,0.142,0.158,0.174,0.512,0.61,0.687,0,0.02,0.055
"random",20,"10 items: high endorsement",0.643,0.733,0.86,-0.008,-0.003,107,39,-0.46,0.099,0.034,0.086,0.517,0.134,0.145,0.153,0.636,0.684,0.73,0,0.01,0.037
"random",30,"10 items: high endorsement",0.724,0.816,0.909,-0.005,-0.001,107,39,-0.345,0.079,0.018,0.066,0.451,0.125,0.134,0.143,0.722,0.753,0.78,0,0.003,0.018
"random",40,"10 items: high endorsement",0.794,0.887,0.935,-0.002,-0.002,107,39,-0.186,0.098,0.018,0.053,0.341,0.123,0.131,0.14,0.772,0.806,0.838,0,0.003,0.018
"random",50,"10 items: high endorsement",0.834,0.934,0.96,0.001,0.002,107,39,-0.09,0.084,0.014,0.041,0.249,0.12,0.126,0.134,0.813,0.832,0.851,0,0,0
"random",60,"10 items: high endorsement",0.866,0.959,0.968,0.001,0.002,82,39,-0.059,0.088,0.009,0.032,0.118,0.12,0.124,0.128,0.848,0.855,0.867,0,0,0.009
