"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,5,0.254,0.562,0.78,-0.056,-0.052,107,98,-0.409,0.169,0.084,0.148,0.496,0.128,0.173,0.216,0.097,0.461,0.713,0.009,0.098,0.229,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,10,0.402,0.653,0.867,-0.027,-0.02,107,98,-0.4,0.096,0.046,0.108,0.483,0.118,0.151,0.184,0.339,0.585,0.732,0,0.022,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,15,0.463,0.685,0.851,-0.019,-0.009,107,98,-0.398,0.056,0.034,0.096,0.478,0.116,0.145,0.175,0.444,0.632,0.758,0,0.009,0.046,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,5,0.384,0.633,0.825,-0.051,-0.05,107,98,-0.364,0.139,0.075,0.129,0.472,0.123,0.16,0.201,0.28,0.572,0.761,0,0.068,0.165,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,10,0.514,0.726,0.883,-0.021,-0.016,107,98,-0.35,0.072,0.037,0.09,0.454,0.113,0.141,0.173,0.472,0.674,0.795,0,0.01,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,15,0.539,0.76,0.901,-0.013,-0.006,107,98,-0.335,0.034,0.027,0.077,0.443,0.112,0.136,0.16,0.57,0.709,0.8,0,0.003,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,5,0.473,0.716,0.884,-0.046,-0.046,107,98,-0.283,0.109,0.065,0.109,0.423,0.117,0.149,0.187,0.486,0.674,0.811,0,0.043,0.128,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,10,0.645,0.809,0.924,-0.016,-0.013,107,98,-0.266,0.046,0.03,0.07,0.403,0.107,0.132,0.157,0.634,0.753,0.826,0,0.003,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,15,0.679,0.842,0.941,-0.008,-0.003,107,98,-0.262,0.015,0.019,0.058,0.395,0.107,0.127,0.146,0.683,0.779,0.84,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,5,0.553,0.774,0.911,-0.043,-0.044,107,98,-0.204,0.09,0.058,0.097,0.368,0.115,0.143,0.174,0.607,0.735,0.833,0,0.03,0.11,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,10,0.708,0.868,0.95,-0.014,-0.012,107,98,-0.189,0.027,0.024,0.057,0.346,0.105,0.127,0.145,0.708,0.799,0.846,0,0.001,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,15,0.772,0.9,0.963,-0.005,-0.002,107,98,-0.186,0.009,0.014,0.044,0.339,0.105,0.122,0.136,0.761,0.82,0.861,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,5,0.622,0.819,0.926,-0.041,-0.042,107,98,-0.135,0.07,0.055,0.088,0.307,0.113,0.138,0.17,0.674,0.774,0.858,0,0.022,0.092,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,10,0.761,0.913,0.968,-0.011,-0.011,107,98,-0.118,0.019,0.021,0.047,0.279,0.105,0.123,0.139,0.764,0.829,0.869,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,15,0.81,0.945,0.982,-0.003,-0.001,107,98,-0.116,0.004,0.01,0.032,0.272,0.105,0.119,0.131,0.807,0.847,0.877,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,5,0.637,0.853,0.928,-0.04,-0.04,22,98,-0.104,0.059,0.048,0.08,0.239,0.114,0.135,0.163,0.737,0.803,0.876,0,0.018,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,10,0.807,0.946,0.977,-0.01,-0.01,107,98,-0.062,0.013,0.018,0.038,0.203,0.106,0.121,0.133,0.813,0.851,0.879,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,15,0.853,0.978,0.994,-0.001,0,107,98,-0.054,0.002,0.007,0.021,0.19,0.107,0.117,0.125,0.844,0.866,0.884,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"by order",14,5,0.334,0.476,0.595,-0.048,-0.053,107,57,-0.499,0.317,NA,NA,NA,0.162,0.181,0.203,0.394,0.509,0.605,0.028,0.09,0.156,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",14,10,0.477,0.54,0.596,-0.019,-0.018,107,57,-0.494,0.318,NA,NA,NA,0.15,0.158,0.165,0.555,0.607,0.649,0,0.015,0.046,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",14,15,0.558,0.558,0.558,-0.011,-0.009,107,57,-0.493,0.319,NA,NA,NA,0.152,0.152,0.152,0.647,0.647,0.647,0.009,0.009,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,5,0.437,0.578,0.692,-0.04,-0.049,107,57,-0.48,0.339,NA,NA,NA,0.15,0.168,0.19,0.519,0.611,0.694,0.009,0.059,0.138,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,10,0.597,0.654,0.698,-0.009,-0.007,107,57,-0.476,0.342,NA,NA,NA,0.14,0.147,0.154,0.636,0.679,0.714,0,0.004,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,15,0.678,0.678,0.678,0,0.004,107,57,-0.475,0.342,NA,NA,NA,0.14,0.14,0.14,0.701,0.701,0.701,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,5,0.522,0.647,0.729,-0.037,-0.037,107,93,-0.502,0.214,NA,NA,NA,0.14,0.156,0.181,0.621,0.699,0.778,0,0.041,0.101,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,10,0.682,0.729,0.755,-0.007,-0.002,107,93,-0.501,0.232,NA,NA,NA,0.126,0.136,0.144,0.707,0.761,0.792,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,15,0.756,0.756,0.756,0.001,0.008,107,93,-0.501,0.238,NA,NA,NA,0.131,0.131,0.131,0.783,0.783,0.783,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,5,0.575,0.695,0.78,-0.04,-0.032,107,93,-0.531,0.18,NA,NA,NA,0.129,0.143,0.163,0.673,0.737,0.795,0,0.031,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,10,0.743,0.774,0.81,-0.01,-0.006,107,93,-0.532,0.2,NA,NA,NA,0.118,0.127,0.133,0.76,0.799,0.817,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,15,0.8,0.8,0.8,-0.001,0.001,107,93,-0.532,0.205,NA,NA,NA,0.123,0.123,0.123,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,5,0.579,0.728,0.81,-0.044,-0.038,107,57,-0.541,0.103,NA,NA,NA,0.121,0.136,0.156,0.709,0.769,0.824,0,0.027,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,10,0.772,0.815,0.847,-0.012,-0.009,107,93,-0.509,0.119,NA,NA,NA,0.112,0.12,0.126,0.793,0.824,0.841,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,15,0.846,0.846,0.846,-0.003,0.002,107,93,-0.492,0.127,NA,NA,NA,0.116,0.116,0.116,0.842,0.842,0.842,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,5,0.635,0.775,0.844,-0.044,-0.037,107,57,-0.546,0.042,NA,NA,NA,0.116,0.13,0.15,0.741,0.79,0.84,0,0.022,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,10,0.823,0.86,0.888,-0.014,-0.008,107,72,-0.519,0.064,NA,NA,NA,0.108,0.116,0.123,0.817,0.844,0.862,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,15,0.89,0.89,0.89,-0.005,0.001,107,72,-0.503,0.072,NA,NA,NA,0.113,0.113,0.113,0.861,0.861,0.861,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,5,0.78,0.882,0.932,-0.039,-0.039,22,98,-0.103,0.05,NA,NA,NA,0.119,0.132,0.155,0.788,0.826,0.88,0,0.014,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,10,0.947,0.972,0.984,-0.009,-0.009,22,98,-0.023,0.01,NA,NA,NA,0.109,0.119,0.125,0.845,0.867,0.88,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,15,NA,NA,NA,0,0,1,39,0,0,NA,NA,NA,0.115,0.115,0.115,0.881,0.881,0.881,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
