"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,5,0.252,0.557,0.774,-0.504,-0.515,107,98,-1.211,-0.097,0.354,0.564,1.328,0.241,0.315,0.428,0.097,0.461,0.713,0.009,0.098,0.229,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,10,0.407,0.651,0.85,-0.236,-0.218,107,98,-1.033,0.003,0.218,0.334,1.195,0.266,0.338,0.417,0.339,0.585,0.732,0,0.022,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,15,0.378,0.68,0.848,-0.065,-0.038,107,98,-0.908,0.079,0.112,0.241,1.104,0.285,0.352,0.431,0.444,0.632,0.758,0,0.009,0.046,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,5,0.382,0.63,0.818,-0.493,-0.505,107,98,-1.124,-0.151,0.337,0.538,1.263,0.221,0.289,0.383,0.28,0.572,0.761,0,0.068,0.165,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,10,0.487,0.724,0.879,-0.217,-0.207,107,98,-0.918,-0.037,0.19,0.292,1.11,0.243,0.311,0.39,0.472,0.674,0.795,0,0.01,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,15,0.552,0.756,0.897,-0.044,-0.024,107,98,-0.748,0.043,0.084,0.19,0.998,0.264,0.322,0.387,0.57,0.709,0.8,0,0.003,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,5,0.481,0.711,0.874,-0.482,-0.498,107,98,-0.977,-0.201,0.317,0.514,1.141,0.209,0.265,0.346,0.486,0.674,0.811,0,0.043,0.128,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,10,0.64,0.805,0.918,-0.202,-0.197,107,98,-0.738,-0.079,0.173,0.254,0.976,0.234,0.286,0.339,0.634,0.753,0.826,0,0.003,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,15,0.69,0.838,0.937,-0.026,-0.012,107,98,-0.575,0.014,0.06,0.14,0.871,0.247,0.296,0.348,0.683,0.779,0.84,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,5,0.54,0.768,0.903,-0.475,-0.495,107,98,-0.836,-0.23,0.311,0.501,1.013,0.206,0.252,0.315,0.607,0.735,0.833,0,0.03,0.11,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
