"n_occasions","n_items","cor_ICC_MCSE","cor_ICC.z_MCSE","rel_MCSE","sd_ICC_MCSE","sd_ICC.z_MCSE","percnegICC_raw_MCSE","estimationProbNeg_raw_MCSE","estimationProbPos_raw_MCSE","MCSE_difference_min","MCSE_difference_mean","MCSE_difference_max","MCSE_difference.z_min","MCSE_difference.z_mean","MCSE_difference.z_max","MCSE_RMSE_min","MCSE_RMSE_mean","MCSE_RMSE_max","MCSE_RMSE.z_min","MCSE_RMSE.z_mean","MCSE_RMSE.z_max"
14,5,0.001,0.001,0.002,0,0,0,0,0,0.001,0.002,0.004,0.002,0.003,0.008,0.001,0.001,0.003,0.002,0.003,0.005
14,10,0.001,0.001,0.001,0,0,0,0,0,0.001,0.001,0.004,0.002,0.003,0.009,0,0.001,0.002,0.001,0.003,0.006
14,15,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0.004,0.002,0.003,0.009,0,0.001,0.002,0.001,0.002,0.006
20,5,0.001,0.001,0.001,0,0,0,0,0,0.001,0.002,0.005,0.002,0.003,0.009,0.001,0.001,0.002,0.001,0.002,0.006
20,10,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0.004,0.001,0.003,0.009,0,0.001,0.002,0.001,0.002,0.005
20,15,0.001,0.001,0,0,0,0,0,0,0,0.001,0.004,0.001,0.003,0.009,0,0.001,0.002,0.001,0.002,0.005
30,5,0.001,0.001,0.001,0,0,0,0,0,0.001,0.001,0.005,0.001,0.002,0.008,0,0.001,0.003,0.001,0.002,0.006
30,10,0.001,0.001,0,0,0,0,0,0,0,0.001,0.004,0.001,0.002,0.009,0,0.001,0.002,0.001,0.002,0.006
30,15,0.001,0.001,0,0,0,0,0,0,0,0.001,0.004,0.001,0.002,0.009,0,0.001,0.002,0.001,0.001,0.005
40,5,0.001,0.001,0.001,0,0,0,0,0,0.001,0.001,0.004,0.001,0.002,0.008,0,0.001,0.003,0.001,0.002,0.007
40,10,0.001,0.001,0,0,0,0,0,0,0,0.001,0.004,0.001,0.002,0.008,0,0.001,0.003,0.001,0.002,0.007
40,15,0.001,0.001,0,0,0,0,0,0,0,0.001,0.004,0.001,0.001,0.009,0,0,0.003,0,0.001,0.006
50,5,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0.004,0.001,0.002,0.007,0,0.001,0.003,0.001,0.002,0.007
50,10,0.001,0.001,0,0,0,0,0,0,0,0.001,0.004,0.001,0.001,0.007,0,0,0.003,0.001,0.001,0.007
50,15,0.001,0.001,0,0,0,0,0,0,0,0,0.004,0,0.001,0.008,0,0,0.003,0,0.001,0.006
60,5,0.001,0.001,0,0,0,0,0,0,0,0.001,0.003,0.001,0.002,0.006,0,0.001,0.003,0.001,0.002,0.006
60,10,0,0,0,0,0,0,0,0,0,0.001,0.003,0.001,0.001,0.006,0,0,0.003,0.001,0.001,0.007
60,15,0,0,0,0,0,0,0,0,0,0,0.003,0,0.001,0.006,0,0,0.003,0,0.001,0.007
