"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,5,0.234,0.546,0.777,-0.037,-0.043,107,98,-0.359,0.183,0.055,0.135,0.453,0.116,0.161,0.213,0,0.325,0.642,0.009,0.099,0.22,0,0,0,0,0,0,85,98.223,108,85,98.223,108,85,98.223,108,0,0,0,2684,4505.633,4999
"random",14,10,0.435,0.652,0.825,-0.024,-0.018,107,98,-0.381,0.098,0.041,0.106,0.467,0.116,0.148,0.18,0.297,0.542,0.722,0,0.021,0.073,0,0,0,0,0,0,101,106.657,109,101,106.657,109,101,106.657,109,0,0,0,4028,4892.532,5000
"random",14,15,0.483,0.686,0.868,-0.018,-0.009,107,98,-0.394,0.049,0.033,0.095,0.472,0.116,0.143,0.169,0.441,0.611,0.728,0,0.008,0.046,0,0,0,0,0,0,104,108.083,109,104,108.083,109,104,108.083,109,0,0,0,4512,4957.917,5000
"random",20,5,0.306,0.622,0.829,-0.039,-0.043,107,98,-0.313,0.15,0.048,0.12,0.436,0.116,0.152,0.197,0.135,0.494,0.732,0,0.068,0.174,0,0,0,0,0,0,90,101.546,109,90,101.546,109,90,101.546,109,0,0,0,2850,4658.055,5000
"random",20,10,0.501,0.724,0.885,-0.02,-0.015,107,98,-0.343,0.065,0.034,0.089,0.448,0.112,0.139,0.171,0.475,0.655,0.776,0,0.011,0.064,0,0,0,0,0,0,102,107.853,109,102,107.853,109,102,107.853,109,0,0,0,4337,4947.394,5000
"random",20,15,0.541,0.761,0.901,-0.013,-0.005,107,98,-0.331,0.032,0.027,0.077,0.44,0.112,0.135,0.161,0.559,0.703,0.796,0,0.003,0.028,0,0,0,0,0,0,106,108.711,109,106,108.711,109,106,108.711,109,0,0,0,4781,4986.761,5000
"random",30,5,0.466,0.706,0.873,-0.04,-0.042,107,98,-0.254,0.11,0.044,0.104,0.4,0.109,0.143,0.182,0.416,0.633,0.802,0,0.043,0.119,0,0,0,0,0,0,96,104.29,109,96,104.29,109,96,104.29,109,0,0,0,2920,4783.963,5000
"random",30,10,0.622,0.809,0.931,-0.016,-0.013,107,98,-0.263,0.042,0.029,0.07,0.4,0.11,0.131,0.159,0.63,0.748,0.822,0,0.003,0.037,0,0,0,0,0,0,105,108.631,109,105,108.631,109,105,108.631,109,0,0,0,4624,4983.073,5000
"random",30,15,0.7,0.842,0.94,-0.008,-0.003,107,98,-0.262,0.017,0.019,0.058,0.394,0.108,0.127,0.145,0.698,0.778,0.834,0,0,0.018,0,0,0,0,0,0,107,108.96,109,107,108.96,109,107,108.96,109,0,0,0,4944,4998.165,5000
"random",40,5,0.5,0.767,0.904,-0.04,-0.042,107,98,-0.186,0.088,0.042,0.094,0.353,0.106,0.138,0.173,0.519,0.71,0.834,0,0.03,0.101,0,0,0,0,0,0,98,105.721,109,98,105.721,109,98,105.721,109,0,0,0,3180,4849.569,5000
"random",40,10,0.707,0.868,0.947,-0.013,-0.012,107,98,-0.19,0.028,0.024,0.057,0.346,0.108,0.127,0.151,0.725,0.797,0.856,0,0.001,0.018,0,0,0,0,0,0,107,108.879,109,107,108.879,109,107,108.879,109,0,0,0,4811,4994.45,5000
"random",40,15,0.772,0.9,0.964,-0.005,-0.002,107,98,-0.186,0.008,0.015,0.044,0.339,0.107,0.122,0.137,0.764,0.819,0.861,0,0,0.009,0,0,0,0,0,0,108,108.997,109,108,108.997,109,108,108.997,109,0,0,0,4992,4999.862,5000
