"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,5,0.229,0.54,0.758,-0.464,-0.492,107,98,-1.105,-0.07,0.233,0.518,1.225,0.206,0.282,0.383,0,0.325,0.642,0.009,0.099,0.22,0,0,0,0,0,0,85,98.223,108,85,98.223,108,85,98.223,108,0,0,0,2684,4505.633,4999
"random",14,10,0.432,0.65,0.827,-0.224,-0.214,107,98,-0.976,0.01,0.187,0.319,1.136,0.258,0.321,0.41,0.297,0.542,0.722,0,0.021,0.073,0,0,0,0,0,0,101,106.657,109,101,106.657,109,101,106.657,109,0,0,0,4028,4892.532,5000
"random",14,15,0.485,0.684,0.85,-0.06,-0.036,107,98,-0.882,0.062,0.112,0.234,1.068,0.284,0.342,0.407,0.441,0.611,0.728,0,0.008,0.046,0,0,0,0,0,0,104,108.083,109,104,108.083,109,104,108.083,109,0,0,0,4512,4957.917,5000
"random",20,5,0.313,0.615,0.819,-0.468,-0.496,107,98,-1.021,-0.13,0.232,0.51,1.173,0.201,0.266,0.362,0.135,0.494,0.732,0,0.068,0.174,0,0,0,0,0,0,90,101.546,109,90,101.546,109,90,101.546,109,0,0,0,2850,4658.055,5000
"random",20,10,0.513,0.722,0.877,-0.213,-0.205,107,98,-0.897,-0.052,0.176,0.286,1.087,0.244,0.302,0.373,0.475,0.655,0.776,0,0.011,0.064,0,0,0,0,0,0,102,107.853,109,102,107.853,109,102,107.853,109,0,0,0,4337,4947.394,5000
"random",20,15,0.551,0.757,0.889,-0.043,-0.022,107,98,-0.735,0.037,0.085,0.189,0.983,0.261,0.319,0.384,0.559,0.703,0.796,0,0.003,0.028,0,0,0,0,0,0,106,108.711,109,106,108.711,109,106,108.711,109,0,0,0,4781,4986.761,5000
"random",30,5,0.463,0.699,0.866,-0.468,-0.494,107,42,-0.92,-0.186,0.236,0.499,1.087,0.196,0.25,0.337,0.416,0.633,0.802,0,0.043,0.119,0,0,0,0,0,0,96,104.29,109,96,104.29,109,96,104.29,109,0,0,0,2920,4783.963,5000
"random",30,10,0.625,0.806,0.925,-0.2,-0.196,107,98,-0.729,-0.087,0.168,0.252,0.966,0.233,0.283,0.336,0.63,0.748,0.822,0,0.003,0.037,0,0,0,0,0,0,105,108.631,109,105,108.631,109,105,108.631,109,0,0,0,4624,4983.073,5000
"random",30,15,0.685,0.837,0.937,-0.026,-0.011,107,98,-0.574,0.02,0.06,0.14,0.868,0.253,0.296,0.341,0.698,0.778,0.834,0,0,0.018,0,0,0,0,0,0,107,108.96,109,107,108.96,109,107,108.96,109,0,0,0,4944,4998.165,5000
"random",40,5,0.505,0.758,0.9,-0.467,-0.495,107,42,-0.802,-0.195,0.239,0.492,0.977,0.186,0.241,0.316,0.519,0.71,0.834,0,0.03,0.101,0,0,0,0,0,0,98,105.721,109,98,105.721,109,98,105.721,109,0,0,0,3180,4849.569,5000
"random",40,10,0.704,0.864,0.942,-0.192,-0.192,107,98,-0.578,-0.11,0.159,0.23,0.832,0.232,0.271,0.32,0.725,0.797,0.856,0,0.001,0.018,0,0,0,0,0,0,107,108.879,109,107,108.879,109,107,108.879,109,0,0,0,4811,4994.45,5000
"random",40,15,0.749,0.896,0.964,-0.016,-0.006,107,98,-0.405,0.008,0.043,0.105,0.736,0.246,0.281,0.32,0.764,0.819,0.861,0,0,0.009,0,0,0,0,0,0,108,108.997,109,108,108.997,109,108,108.997,109,0,0,0,4992,4999.862,5000
"random",50,5,0.564,0.802,0.911,-0.466,-0.49,107,42,-0.719,-0.201,0.239,0.486,0.882,0.191,0.235,0.301,0.64,0.757,0.855,0,0.023,0.083,0,0,0,0,0,0,100,106.502,109,100,106.502,109,100,106.502,109,0,0,0,3283,4885.422,5000
