"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,5,0.278,0.563,0.772,-0.052,-0.05,107,98,-0.403,0.175,0.064,0.143,0.485,0.123,0.168,0.213,0,0.403,0.667,0.009,0.098,0.211,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,10,0.409,0.65,0.839,-0.027,-0.02,107,98,-0.403,0.1,0.043,0.107,0.483,0.118,0.15,0.183,0.351,0.574,0.724,0,0.021,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,15,0.491,0.686,0.86,-0.019,-0.009,107,98,-0.394,0.051,0.034,0.095,0.475,0.116,0.144,0.174,0.417,0.627,0.741,0,0.008,0.046,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,5,0.354,0.633,0.829,-0.049,-0.048,107,98,-0.364,0.146,0.059,0.126,0.466,0.124,0.158,0.201,0.283,0.545,0.737,0,0.069,0.193,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,10,0.509,0.726,0.879,-0.021,-0.016,107,98,-0.35,0.065,0.037,0.089,0.454,0.11,0.141,0.17,0.449,0.67,0.773,0,0.01,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,15,0.534,0.759,0.89,-0.013,-0.006,107,98,-0.342,0.031,0.026,0.077,0.446,0.114,0.136,0.159,0.583,0.708,0.795,0,0.003,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,5,0.44,0.716,0.874,-0.045,-0.045,107,98,-0.276,0.116,0.056,0.108,0.417,0.115,0.148,0.189,0.448,0.663,0.811,0,0.043,0.119,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,10,0.627,0.809,0.927,-0.016,-0.013,107,98,-0.265,0.043,0.029,0.07,0.402,0.109,0.132,0.158,0.649,0.753,0.826,0,0.003,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,15,0.691,0.843,0.933,-0.008,-0.003,107,98,-0.251,0.017,0.019,0.058,0.39,0.108,0.127,0.145,0.703,0.779,0.831,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,5,0.519,0.774,0.9,-0.043,-0.043,107,98,-0.208,0.09,0.054,0.096,0.37,0.115,0.141,0.173,0.604,0.728,0.835,0,0.03,0.11,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,10,0.716,0.868,0.946,-0.014,-0.011,107,98,-0.194,0.027,0.025,0.057,0.349,0.103,0.127,0.149,0.693,0.798,0.853,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,15,0.765,0.901,0.961,-0.005,-0.002,107,98,-0.179,0.008,0.014,0.044,0.334,0.107,0.122,0.137,0.766,0.82,0.86,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,5,0.627,0.819,0.922,-0.041,-0.042,107,98,-0.131,0.071,0.052,0.087,0.304,0.113,0.137,0.167,0.675,0.771,0.859,0,0.022,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,10,0.75,0.912,0.966,-0.011,-0.011,107,98,-0.128,0.018,0.021,0.047,0.287,0.104,0.123,0.139,0.762,0.829,0.872,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,15,0.82,0.943,0.985,-0.003,-0.001,107,98,-0.124,0.006,0.011,0.033,0.28,0.104,0.119,0.131,0.804,0.846,0.878,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,5,0.65,0.854,0.928,-0.04,-0.04,22,98,-0.103,0.059,0.047,0.08,0.237,0.11,0.134,0.161,0.718,0.801,0.876,0,0.018,0.073,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,10,0.798,0.946,0.98,-0.01,-0.01,107,98,-0.061,0.013,0.018,0.038,0.201,0.105,0.121,0.133,0.808,0.851,0.879,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
