"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,5,0.292,0.56,0.766,-0.495,-0.509,107,98,-1.191,-0.086,0.296,0.549,1.299,0.22,0.299,0.397,0,0.403,0.667,0.009,0.098,0.211,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,10,0.399,0.65,0.828,-0.233,-0.216,107,98,-1.034,0.011,0.206,0.33,1.187,0.268,0.333,0.412,0.351,0.574,0.724,0,0.021,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,15,0.487,0.682,0.851,-0.064,-0.035,107,98,-0.893,0.064,0.11,0.238,1.089,0.278,0.349,0.417,0.417,0.627,0.741,0,0.008,0.046,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,5,0.361,0.63,0.815,-0.487,-0.505,107,98,-1.122,-0.137,0.29,0.53,1.249,0.221,0.28,0.365,0.283,0.545,0.737,0,0.069,0.193,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,10,0.509,0.725,0.876,-0.217,-0.205,107,98,-0.916,-0.051,0.189,0.291,1.105,0.238,0.309,0.37,0.449,0.67,0.773,0,0.01,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,15,0.551,0.755,0.882,-0.044,-0.025,107,98,-0.765,0.036,0.083,0.19,1.005,0.268,0.322,0.382,0.583,0.708,0.795,0,0.003,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,5,0.448,0.712,0.871,-0.479,-0.498,107,98,-0.962,-0.188,0.284,0.511,1.127,0.202,0.261,0.345,0.448,0.663,0.811,0,0.043,0.119,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,10,0.622,0.806,0.919,-0.202,-0.197,107,98,-0.734,-0.086,0.171,0.254,0.971,0.239,0.286,0.339,0.649,0.753,0.826,0,0.003,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,15,0.669,0.839,0.93,-0.026,-0.012,107,98,-0.553,0.02,0.059,0.14,0.86,0.255,0.297,0.338,0.703,0.779,0.831,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,5,0.537,0.768,0.894,-0.474,-0.497,107,98,-0.845,-0.23,0.282,0.499,1.017,0.205,0.249,0.317,0.604,0.728,0.835,0,0.03,0.11,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,10,0.697,0.864,0.942,-0.193,-0.192,107,98,-0.586,-0.111,0.16,0.23,0.84,0.219,0.271,0.317,0.693,0.798,0.853,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,15,0.76,0.897,0.957,-0.016,-0.007,107,98,-0.39,0.008,0.044,0.106,0.727,0.247,0.282,0.319,0.766,0.82,0.86,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,5,0.631,0.812,0.91,-0.47,-0.494,107,42,-0.709,-0.238,0.279,0.49,0.873,0.201,0.241,0.306,0.675,0.771,0.859,0,0.022,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,10,0.752,0.907,0.965,-0.187,-0.19,107,42,-0.449,-0.113,0.153,0.214,0.693,0.222,0.262,0.302,0.762,0.829,0.872,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,15,0.799,0.94,0.981,-0.009,-0.003,107,98,-0.27,0.009,0.031,0.078,0.605,0.24,0.271,0.304,0.804,0.846,0.878,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,5,0.656,0.845,0.923,-0.467,-0.49,107,42,-0.615,-0.238,0.276,0.483,0.745,0.196,0.235,0.296,0.718,0.801,0.876,0,0.018,0.073,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,10,0.794,0.943,0.977,-0.182,-0.188,107,42,-0.313,-0.112,0.147,0.201,0.503,0.225,0.255,0.283,0.808,0.851,0.879,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,15,0.87,0.977,0.993,-0.004,-0.001,107,98,-0.118,0.005,0.019,0.05,0.409,0.243,0.264,0.287,0.842,0.866,0.887,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"by order",14,5,0.345,0.479,0.602,-0.481,-0.492,107,57,-1.361,0.122,NA,NA,NA,0.281,0.314,0.356,0.332,0.462,0.584,0.028,0.09,0.156,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",14,10,0.498,0.548,0.594,-0.215,-0.206,107,57,-1.182,0.438,NA,NA,NA,0.324,0.341,0.357,0.555,0.598,0.633,0,0.015,0.046,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",14,15,0.563,0.563,0.563,-0.043,-0.018,107,57,-1.047,0.631,NA,NA,NA,0.353,0.353,0.353,0.638,0.638,0.638,0.009,0.009,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,5,0.432,0.582,0.702,-0.469,-0.467,107,57,-1.325,0.188,NA,NA,NA,0.262,0.294,0.328,0.489,0.592,0.675,0.009,0.059,0.138,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,10,0.619,0.67,0.71,-0.188,-0.178,107,57,-1.132,0.498,NA,NA,NA,0.292,0.312,0.329,0.636,0.679,0.712,0,0.004,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,15,0.698,0.698,0.698,-0.009,0.008,107,57,-0.993,0.688,NA,NA,NA,0.317,0.317,0.317,0.701,0.701,0.701,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,5,0.529,0.656,0.75,-0.464,-0.455,107,93,-1.367,-0.082,NA,NA,NA,0.242,0.27,0.312,0.616,0.688,0.769,0,0.041,0.101,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,10,0.705,0.748,0.782,-0.182,-0.168,107,93,-1.201,0.254,NA,NA,NA,0.262,0.29,0.31,0.707,0.761,0.791,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,15,0.778,0.778,0.778,-0.005,0.018,107,93,-1.074,0.453,NA,NA,NA,0.298,0.298,0.298,0.783,0.783,0.783,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,5,0.585,0.703,0.793,-0.468,-0.466,107,93,-1.42,-0.141,NA,NA,NA,0.225,0.248,0.281,0.672,0.729,0.79,0,0.031,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,10,0.737,0.786,0.827,-0.185,-0.179,107,93,-1.292,0.193,NA,NA,NA,0.248,0.271,0.284,0.76,0.798,0.817,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,15,0.812,0.812,0.812,-0.007,0.002,107,93,-1.183,0.392,NA,NA,NA,0.281,0.281,0.281,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,5,0.586,0.734,0.823,-0.475,-0.48,107,42,-1.443,-0.246,NA,NA,NA,0.212,0.237,0.27,0.708,0.763,0.82,0,0.027,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,10,0.773,0.823,0.861,-0.189,-0.174,107,93,-1.224,0.047,NA,NA,NA,0.238,0.258,0.271,0.793,0.824,0.841,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,15,0.855,0.855,0.855,-0.01,0.004,107,93,-1.045,0.244,NA,NA,NA,0.267,0.267,0.267,0.842,0.842,0.842,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,5,0.64,0.779,0.859,-0.475,-0.486,107,42,-1.454,-0.248,NA,NA,NA,0.202,0.227,0.259,0.735,0.787,0.837,0,0.022,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,10,0.815,0.867,0.901,-0.191,-0.18,107,72,-1.251,-0.046,NA,NA,NA,0.23,0.249,0.264,0.817,0.844,0.862,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,15,0.899,0.899,0.899,-0.013,0.002,107,72,-1.079,0.146,NA,NA,NA,0.259,0.259,0.259,0.861,0.861,0.861,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,5,0.773,0.873,0.924,-0.465,-0.489,60,42,-0.568,-0.238,NA,NA,NA,0.208,0.231,0.277,0.785,0.824,0.879,0,0.014,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,10,0.94,0.969,0.982,-0.179,-0.186,60,42,-0.206,-0.111,NA,NA,NA,0.231,0.25,0.263,0.845,0.867,0.88,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,15,NA,NA,NA,0,0,1,39,0,0,NA,NA,NA,0.259,0.259,0.259,0.881,0.881,0.881,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
