"n_occasions","n_items","cor_ICC_MCSE","cor_ICC.z_MCSE","rel_MCSE","sd_ICC_MCSE","sd_ICC.z_MCSE","percnegICC_raw_MCSE","estimationProbNeg_raw_MCSE","estimationProbPos_raw_MCSE","MCSE_difference_min","MCSE_difference_mean","MCSE_difference_max","MCSE_difference.z_min","MCSE_difference.z_mean","MCSE_difference.z_max","MCSE_RMSE_min","MCSE_RMSE_mean","MCSE_RMSE_max","MCSE_RMSE.z_min","MCSE_RMSE.z_mean","MCSE_RMSE.z_max"
14,4,0.001,0.001,0.001,0,0,0,0,0,0.001,0.002,0.003,0.003,0.004,0.006,0.001,0.002,0.003,0.003,0.003,0.005
14,8,0.001,0.001,0.001,0,0,0,0,0,0.001,0.002,0.002,0.002,0.003,0.005,0.001,0.001,0.002,0.002,0.003,0.005
14,12,0.001,0.001,0.001,0,0,0,0,0,0.001,0.001,0.002,0.002,0.003,0.005,0,0.001,0.002,0.002,0.002,0.005
20,4,0.001,0.001,0.001,0,0,0,0,0,0.001,0.002,0.003,0.002,0.003,0.005,0.001,0.001,0.002,0.002,0.003,0.004
20,8,0,0,0.001,0,0,0,0,0,0.001,0.001,0.002,0.002,0.002,0.004,0.001,0.001,0.002,0.002,0.002,0.004
20,12,0,0,0.001,0,0,0,0,0,0.001,0.001,0.002,0.001,0.002,0.004,0,0.001,0.002,0.001,0.002,0.003
30,4,0.001,0.001,0.001,0,0,0,0,0,0.001,0.002,0.003,0.002,0.002,0.005,0.001,0.001,0.002,0.002,0.002,0.003
30,8,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.001,0.002,0.003,0,0.001,0.001,0.001,0.002,0.003
30,12,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.003,0,0.001,0.001,0.001,0.001,0.002
40,4,0,0,0.001,0,0,0,0,0,0.001,0.001,0.003,0.001,0.002,0.004,0.001,0.001,0.002,0.001,0.002,0.003
40,8,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.001,0.002,0.003,0,0.001,0.001,0.001,0.001,0.003
40,12,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0,0,0.001,0.001,0.001,0.002
50,4,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.001,0.002,0.004,0.001,0.001,0.002,0.001,0.002,0.003
50,8,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.003,0,0,0.001,0.001,0.001,0.002
50,12,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0,0,0.001,0,0.001,0.001
60,4,0,0,0,0,0,0,0,0,0,0.001,0.003,0.001,0.002,0.004,0,0.001,0.002,0.001,0.002,0.003
60,8,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.003,0,0,0.001,0.001,0.001,0.002
60,12,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0.001
