"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,4,0.313,0.621,0.783,-0.478,-0.495,106,15,-0.585,-0.258,0.342,0.543,0.658,0.241,0.322,0.418,0.035,0.45,0.679,0,0.056,0.147,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,8,0.508,0.727,0.847,-0.205,-0.204,106,15,-0.284,-0.137,0.243,0.303,0.437,0.251,0.322,0.404,0.237,0.531,0.705,0,0.01,0.046,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,12,0.607,0.765,0.868,-0.03,-0.023,103,16,-0.111,0.002,0.136,0.208,0.377,0.26,0.325,0.401,0.323,0.56,0.715,0,0.003,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,4,0.451,0.69,0.829,-0.471,-0.487,106,15,-0.562,-0.255,0.314,0.518,0.612,0.218,0.289,0.373,0.21,0.546,0.732,0,0.035,0.101,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,8,0.62,0.799,0.903,-0.195,-0.196,106,15,-0.252,-0.13,0.209,0.264,0.368,0.23,0.293,0.359,0.394,0.622,0.752,0,0.004,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,12,0.693,0.837,0.916,-0.018,-0.014,103,42,-0.073,0,0.102,0.16,0.301,0.239,0.296,0.353,0.465,0.648,0.755,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,4,0.566,0.76,0.877,-0.466,-0.481,40,15,-0.542,-0.253,0.292,0.498,0.583,0.194,0.262,0.32,0.36,0.644,0.766,0,0.02,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,8,0.77,0.868,0.938,-0.186,-0.19,106,15,-0.226,-0.121,0.183,0.232,0.312,0.224,0.268,0.319,0.591,0.711,0.797,0,0.002,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,12,0.831,0.904,0.945,-0.009,-0.007,70,16,-0.042,0.003,0.071,0.115,0.221,0.232,0.272,0.32,0.635,0.733,0.808,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,4,0.613,0.803,0.892,-0.463,-0.479,40,15,-0.54,-0.252,0.279,0.489,0.577,0.195,0.247,0.303,0.534,0.706,0.808,0,0.014,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,8,0.834,0.909,0.957,-0.183,-0.188,106,15,-0.209,-0.119,0.167,0.214,0.283,0.216,0.256,0.298,0.676,0.767,0.829,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
