"occasions_drawn","n_occasions","itemset_type","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max"
"random",14,"4 items: low endorsement",0.482,0.596,0.715,-0.021,-0.025,106,57,-0.235,0.16,0.085,0.152,0.286,0.164,0.192,0.215,0.185,0.425,0.56,0.009,0.041,0.092
"random",20,"4 items: low endorsement",0.568,0.663,0.749,-0.018,-0.024,106,57,-0.224,0.171,0.065,0.128,0.264,0.155,0.175,0.195,0.4,0.522,0.63,0,0.028,0.073
"random",30,"4 items: low endorsement",0.635,0.731,0.822,-0.013,-0.01,106,57,-0.221,0.176,0.049,0.103,0.233,0.143,0.157,0.175,0.517,0.607,0.696,0,0.011,0.046
"random",40,"4 items: low endorsement",0.719,0.776,0.825,-0.012,-0.021,106,57,-0.219,0.174,0.043,0.088,0.225,0.137,0.148,0.155,0.627,0.672,0.71,0,0.004,0.028
"random",50,"4 items: low endorsement",0.766,0.809,0.855,-0.01,-0.017,106,57,-0.228,0.178,0.024,0.077,0.232,0.134,0.143,0.157,0.684,0.722,0.77,0,0.003,0.009
"random",60,"4 items: low endorsement",0.802,0.836,0.86,-0.01,-0.013,106,57,-0.226,0.18,0.021,0.067,0.228,0.134,0.139,0.147,0.736,0.757,0.783,0,0.002,0.009
"random",14,"4 items: high endorsement",0.467,0.594,0.688,-0.079,-0.083,18,70,-0.257,0.117,0.087,0.165,0.271,0.168,0.186,0.207,0.248,0.393,0.527,0.028,0.07,0.128
"random",20,"4 items: high endorsement",0.589,0.681,0.77,-0.077,-0.072,18,70,-0.263,0.112,0.068,0.141,0.27,0.152,0.17,0.192,0.36,0.505,0.633,0.018,0.05,0.092
"random",30,"4 items: high endorsement",0.655,0.741,0.813,-0.075,-0.072,18,70,-0.268,0.141,0.05,0.12,0.271,0.14,0.155,0.17,0.505,0.606,0.683,0,0.027,0.064
"random",40,"4 items: high endorsement",0.704,0.796,0.859,-0.075,-0.076,18,70,-0.268,0.104,0.039,0.109,0.269,0.138,0.149,0.16,0.622,0.684,0.737,0,0.022,0.046
"random",50,"4 items: high endorsement",0.785,0.823,0.878,-0.074,-0.071,18,70,-0.264,0.135,0.027,0.098,0.265,0.135,0.143,0.152,0.694,0.725,0.767,0,0.015,0.037
"random",60,"4 items: high endorsement",0.811,0.84,0.862,-0.072,-0.074,18,70,-0.264,0.143,0.017,0.091,0.265,0.134,0.139,0.144,0.74,0.76,0.776,0,0.011,0.028
"random",14,"8 items: low endorsement",0.627,0.718,0.802,0.008,0.004,70,57,-0.102,0.207,0.052,0.114,0.227,0.145,0.168,0.191,0.367,0.548,0.668,0,0.006,0.037
"random",20,"8 items: low endorsement",0.708,0.783,0.855,0.01,0.004,106,57,-0.087,0.218,0.049,0.093,0.229,0.138,0.155,0.173,0.528,0.635,0.719,0,0.003,0.018
"random",30,"8 items: low endorsement",0.806,0.854,0.894,0.013,0.01,106,57,-0.089,0.182,0.037,0.072,0.19,0.132,0.143,0.153,0.669,0.718,0.757,0,0.001,0.009
"random",40,"8 items: low endorsement",0.854,0.892,0.921,0.015,0.012,70,57,-0.085,0.204,0.028,0.059,0.207,0.128,0.137,0.148,0.735,0.772,0.811,0,0,0
"random",50,"8 items: low endorsement",0.9,0.923,0.945,0.016,0.011,70,57,-0.084,0.195,0.019,0.048,0.197,0.128,0.134,0.139,0.789,0.808,0.825,0,0,0
"random",60,"8 items: low endorsement",0.923,0.941,0.954,0.017,0.012,70,57,-0.085,0.194,0.012,0.039,0.194,0.126,0.131,0.136,0.82,0.834,0.847,0,0,0
"random",14,"8 items: high endorsement",0.613,0.729,0.815,-0.012,-0.016,18,68,-0.075,0.068,0.068,0.11,0.219,0.141,0.164,0.182,0.33,0.533,0.652,0,0.009,0.028
"random",20,"8 items: high endorsement",0.729,0.799,0.857,-0.01,-0.011,54,47,-0.104,0.078,0.043,0.09,0.157,0.138,0.152,0.165,0.547,0.628,0.685,0,0.003,0.018
"random",30,"8 items: high endorsement",0.83,0.868,0.916,-0.007,-0.011,18,47,-0.088,0.083,0.037,0.068,0.132,0.126,0.139,0.151,0.633,0.706,0.761,0,0.002,0.009
"random",40,"8 items: high endorsement",0.872,0.91,0.929,-0.005,-0.009,18,47,-0.09,0.081,0.03,0.055,0.112,0.125,0.135,0.145,0.725,0.768,0.805,0,0.001,0.009
"random",50,"8 items: high endorsement",0.923,0.938,0.955,-0.004,-0.007,18,47,-0.089,0.083,0.023,0.044,0.093,0.125,0.132,0.14,0.781,0.805,0.831,0,0,0.009
"random",60,"8 items: high endorsement",0.941,0.955,0.964,-0.004,-0.007,18,47,-0.09,0.081,0.012,0.035,0.092,0.124,0.128,0.134,0.816,0.829,0.846,0,0,0
