"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,4,0.407,0.622,0.805,-0.038,-0.039,106,57,-0.092,0.033,0.106,0.16,0.235,0.152,0.195,0.239,0.052,0.449,0.682,0,0.055,0.165,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,8,0.505,0.731,0.843,-0.016,-0.015,106,98,-0.051,0.01,0.074,0.113,0.173,0.131,0.163,0.197,0.298,0.532,0.7,0,0.01,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,12,0.591,0.769,0.881,-0.01,-0.008,106,98,-0.041,0.011,0.056,0.097,0.164,0.128,0.154,0.181,0.34,0.561,0.702,0,0.003,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,4,0.423,0.692,0.816,-0.034,-0.035,79,57,-0.077,0.035,0.086,0.136,0.217,0.135,0.178,0.218,0.173,0.545,0.721,0,0.035,0.119,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,8,0.661,0.801,0.895,-0.012,-0.012,106,57,-0.037,0.009,0.059,0.092,0.148,0.121,0.15,0.18,0.397,0.622,0.748,0,0.004,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,12,0.715,0.839,0.916,-0.006,-0.005,103,98,-0.03,0.006,0.043,0.076,0.125,0.118,0.142,0.164,0.439,0.647,0.755,0,0.001,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,4,0.617,0.762,0.867,-0.03,-0.031,79,57,-0.074,0.033,0.068,0.113,0.197,0.128,0.163,0.197,0.402,0.644,0.765,0,0.02,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,8,0.777,0.869,0.93,-0.009,-0.009,106,57,-0.025,0.009,0.047,0.071,0.128,0.113,0.14,0.163,0.558,0.711,0.789,0,0.002,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,12,0.819,0.906,0.946,-0.003,-0.002,103,98,-0.017,0.003,0.031,0.055,0.094,0.115,0.133,0.149,0.633,0.733,0.796,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,4,0.658,0.806,0.897,-0.029,-0.03,79,57,-0.073,0.032,0.056,0.1,0.19,0.123,0.155,0.185,0.523,0.705,0.808,0,0.014,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
