"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,4,0.396,0.62,0.813,-0.479,-0.496,106,15,-0.581,-0.257,0.341,0.543,0.653,0.243,0.322,0.42,0.052,0.449,0.682,0,0.055,0.165,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,8,0.508,0.728,0.84,-0.205,-0.203,106,15,-0.284,-0.133,0.244,0.302,0.438,0.262,0.322,0.4,0.298,0.532,0.7,0,0.01,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,12,0.558,0.766,0.881,-0.03,-0.024,59,98,-0.105,0.006,0.137,0.208,0.371,0.264,0.325,0.392,0.34,0.561,0.702,0,0.003,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,4,0.419,0.691,0.811,-0.471,-0.487,106,15,-0.556,-0.254,0.315,0.518,0.608,0.213,0.289,0.366,0.173,0.545,0.721,0,0.035,0.119,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,8,0.663,0.799,0.897,-0.195,-0.195,106,15,-0.25,-0.136,0.214,0.264,0.367,0.23,0.293,0.357,0.397,0.622,0.748,0,0.004,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,12,0.714,0.837,0.919,-0.018,-0.014,103,98,-0.072,0.002,0.1,0.16,0.298,0.233,0.295,0.353,0.439,0.647,0.755,0,0.001,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,4,0.591,0.76,0.861,-0.466,-0.482,40,15,-0.543,-0.253,0.292,0.498,0.584,0.2,0.262,0.32,0.402,0.644,0.765,0,0.02,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,8,0.772,0.868,0.929,-0.186,-0.19,106,15,-0.223,-0.122,0.185,0.231,0.314,0.216,0.268,0.313,0.558,0.711,0.789,0,0.002,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,12,0.825,0.904,0.946,-0.009,-0.007,103,98,-0.041,0.002,0.071,0.114,0.218,0.231,0.272,0.311,0.633,0.733,0.796,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,4,0.628,0.804,0.895,-0.463,-0.478,60,15,-0.539,-0.251,0.279,0.489,0.577,0.193,0.247,0.304,0.523,0.705,0.808,0,0.014,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
