"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,4,0.332,0.597,0.819,-0.022,-0.028,106,57,-0.071,0.11,0.081,0.147,0.221,0.136,0.179,0.221,0,0.314,0.602,0,0.055,0.147,0,0,0,0,0,0,93,102.987,109,93,102.987,109,93,102.987,109,0,0,0,2972,4724.174,5000
"random",14,8,0.55,0.723,0.857,-0.014,-0.015,106,57,-0.047,0.022,0.068,0.111,0.17,0.127,0.16,0.195,0.204,0.496,0.673,0,0.01,0.055,0,0,0,0,0,0,103,107.911,109,103,107.911,109,103,107.911,109,0,0,0,3709,4950.055,5000
"random",14,12,0.612,0.766,0.866,-0.01,-0.008,103,98,-0.041,0.014,0.052,0.097,0.162,0.128,0.153,0.178,0.346,0.546,0.691,0,0.003,0.037,0,0,0,0,0,0,105,108.634,109,105,108.634,109,105,108.634,109,0,0,0,4220,4983.22,5000
"random",20,4,0.449,0.674,0.805,-0.025,-0.029,106,57,-0.067,0.099,0.076,0.129,0.21,0.127,0.167,0.205,0.043,0.469,0.684,0,0.034,0.138,0,0,0,0,0,0,94,105.244,109,94,105.244,109,94,105.244,109,0,0,0,3254,4827.725,5000
"random",20,8,0.64,0.798,0.881,-0.012,-0.012,106,57,-0.036,0.015,0.057,0.091,0.15,0.12,0.149,0.18,0.365,0.607,0.738,0,0.004,0.037,0,0,0,0,0,0,105,108.51,109,105,108.51,109,105,108.51,109,0,0,0,4016,4977.514,5000
"random",20,12,0.713,0.838,0.908,-0.006,-0.005,103,98,-0.03,0.006,0.043,0.076,0.126,0.119,0.142,0.163,0.473,0.644,0.748,0,0.001,0.018,0,0,0,0,0,0,107,108.88,109,107,108.88,109,107,108.88,109,0,0,0,4587,4994.495,5000
"random",30,4,0.572,0.751,0.866,-0.027,-0.029,79,57,-0.068,0.093,0.069,0.11,0.195,0.121,0.157,0.193,0.329,0.606,0.759,0,0.02,0.073,0,0,0,0,0,0,101,106.804,109,101,106.804,109,101,106.804,109,0,0,0,3545,4899.248,5000
"random",30,8,0.764,0.868,0.925,-0.009,-0.01,106,57,-0.025,0.009,0.047,0.071,0.127,0.112,0.139,0.167,0.551,0.706,0.803,0,0.002,0.037,0,0,0,0,0,0,105,108.822,109,105,108.822,109,105,108.822,109,0,0,0,4474,4991.853,5000
"random",30,12,0.812,0.905,0.944,-0.003,-0.003,106,98,-0.017,0.005,0.031,0.056,0.094,0.115,0.133,0.148,0.634,0.732,0.794,0,0,0.009,0,0,0,0,0,0,108,108.968,109,108,108.968,109,108,108.968,109,0,0,0,4853,4998.55,5000
"random",40,4,0.631,0.799,0.894,-0.027,-0.029,79,57,-0.071,0.094,0.057,0.098,0.185,0.114,0.15,0.181,0.429,0.683,0.791,0,0.014,0.073,0,0,0,0,0,0,101,107.515,109,101,107.515,109,101,107.515,109,0,0,0,3803,4931.881,5000
"random",40,8,0.833,0.909,0.951,-0.008,-0.008,106,57,-0.018,0.009,0.037,0.058,0.115,0.114,0.134,0.154,0.675,0.765,0.825,0,0.001,0.018,0,0,0,0,0,0,107,108.931,109,107,108.931,109,107,108.931,109,0,0,0,4755,4996.817,5000
"random",40,12,0.899,0.944,0.97,-0.002,-0.001,103,42,-0.011,0.002,0.023,0.042,0.071,0.116,0.128,0.14,0.73,0.785,0.828,0,0,0.009,0,0,0,0,0,0,108,108.991,109,108,108.991,109,108,108.991,109,0,0,0,4955,4999.587,5000
"random",50,4,0.677,0.831,0.919,-0.026,-0.029,79,57,-0.072,0.092,0.05,0.09,0.182,0.112,0.146,0.176,0.544,0.734,0.825,0,0.01,0.055,0,0,0,0,0,0,103,107.896,109,103,107.896,109,103,107.896,109,0,0,0,4014,4949.358,5000
"random",50,8,0.884,0.936,0.968,-0.007,-0.007,24,57,-0.018,0.009,0.029,0.049,0.104,0.114,0.13,0.148,0.742,0.803,0.85,0,0,0.018,0,0,0,0,0,0,107,108.977,109,107,108.977,109,107,108.977,109,0,0,0,4908,4998.936,5000
"random",50,12,0.942,0.969,0.983,-0.001,-0.001,106,16,-0.005,0.001,0.017,0.03,0.051,0.116,0.125,0.134,0.791,0.82,0.846,0,0,0.009,0,0,0,0,0,0,108,108.999,109,108,108.999,109,108,108.999,109,0,0,0,4997,4999.972,5000
"random",60,4,0.706,0.854,0.927,-0.026,-0.028,79,57,-0.071,0.092,0.045,0.083,0.18,0.114,0.143,0.168,0.63,0.77,0.839,0,0.009,0.046,0,0,0,0,0,0,104,108.073,109,104,108.073,109,104,108.073,109,0,0,0,3991,4957.468,5000
"random",60,8,0.914,0.955,0.981,-0.006,-0.007,24,57,-0.017,0.008,0.022,0.041,0.095,0.112,0.128,0.146,0.781,0.83,0.868,0,0,0.009,0,0,0,0,0,0,108,108.995,109,108,108.995,109,108,108.995,109,0,0,0,4978,4999.761,5000
"random",60,12,0.974,0.987,0.993,0,0,85,16,-0.002,0.001,0.011,0.02,0.034,0.116,0.123,0.129,0.825,0.845,0.867,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"by order",14,4,0.356,0.482,0.581,-0.047,-0.035,68,11,-0.365,0.258,NA,NA,NA,0.155,0.174,0.202,0.046,0.261,0.513,0.028,0.059,0.101,0,0,0,0,0,0,98,102.58,106,98,102.58,106,98,102.58,106,0,0,0,NA,NA,NA
"by order",14,8,0.54,0.584,0.624,-0.038,-0.027,68,11,-0.41,0.267,NA,NA,NA,0.146,0.159,0.172,0.426,0.507,0.58,0,0.012,0.037,0,0,0,0,0,0,105,107.741,109,105,107.741,109,105,107.741,109,0,0,0,NA,NA,NA
"by order",14,12,0.615,0.615,0.615,-0.033,-0.021,68,11,-0.425,0.27,NA,NA,NA,0.155,0.155,0.155,0.59,0.59,0.59,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,4,0.438,0.563,0.654,-0.04,-0.041,68,108,-0.336,0.186,NA,NA,NA,0.131,0.159,0.192,0.1,0.399,0.619,0,0.037,0.092,0,0,0,0,0,0,99,105.012,109,99,105.012,109,99,105.012,109,0,0,0,NA,NA,NA
"by order",20,8,0.623,0.679,0.712,-0.026,-0.021,68,108,-0.349,0.208,NA,NA,NA,0.126,0.144,0.162,0.475,0.592,0.68,0,0.005,0.018,0,0,0,0,0,0,107,108.444,109,107,108.444,109,107,108.444,109,0,0,0,NA,NA,NA
"by order",20,12,0.714,0.714,0.714,-0.021,-0.016,68,108,-0.345,0.214,NA,NA,NA,0.139,0.139,0.139,0.649,0.649,0.649,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
