"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,4,0.316,0.596,0.811,-0.45,-0.473,40,57,-0.551,-0.138,0.226,0.508,0.623,0.213,0.289,0.376,0,0.314,0.602,0,0.055,0.147,0,0,0,0,0,0,93,102.987,109,93,102.987,109,93,102.987,109,0,0,0,2972,4724.174,5000
"random",14,8,0.531,0.72,0.853,-0.199,-0.203,106,59,-0.274,-0.083,0.191,0.294,0.416,0.246,0.311,0.384,0.204,0.496,0.673,0,0.01,0.055,0,0,0,0,0,0,103,107.911,109,103,107.911,109,103,107.911,109,0,0,0,3709,4950.055,5000
"random",14,12,0.604,0.763,0.868,-0.028,-0.023,103,98,-0.103,0.012,0.137,0.205,0.349,0.265,0.319,0.385,0.346,0.546,0.691,0,0.003,0.037,0,0,0,0,0,0,105,108.634,109,105,108.634,109,105,108.634,109,0,0,0,4220,4983.22,5000
"random",20,4,0.436,0.671,0.808,-0.456,-0.479,40,57,-0.547,-0.156,0.23,0.499,0.595,0.198,0.268,0.344,0.043,0.469,0.684,0,0.034,0.138,0,0,0,0,0,0,94,105.244,109,94,105.244,109,94,105.244,109,0,0,0,3254,4827.725,5000
"random",20,8,0.63,0.795,0.88,-0.192,-0.195,106,59,-0.248,-0.087,0.183,0.261,0.367,0.225,0.287,0.35,0.365,0.607,0.738,0,0.004,0.037,0,0,0,0,0,0,105,108.51,109,105,108.51,109,105,108.51,109,0,0,0,4016,4977.514,5000
"random",20,12,0.714,0.836,0.909,-0.018,-0.014,103,98,-0.072,0.003,0.1,0.16,0.298,0.241,0.294,0.348,0.473,0.644,0.748,0,0.001,0.018,0,0,0,0,0,0,107,108.88,109,107,108.88,109,107,108.88,109,0,0,0,4587,4994.495,5000
"random",30,4,0.542,0.748,0.861,-0.458,-0.479,60,57,-0.54,-0.165,0.239,0.489,0.583,0.189,0.249,0.316,0.329,0.606,0.759,0,0.02,0.073,0,0,0,0,0,0,101,106.804,109,101,106.804,109,101,106.804,109,0,0,0,3545,4899.248,5000
"random",30,8,0.77,0.867,0.925,-0.186,-0.189,106,59,-0.222,-0.1,0.171,0.231,0.313,0.214,0.266,0.324,0.551,0.706,0.803,0,0.002,0.037,0,0,0,0,0,0,105,108.822,109,105,108.822,109,105,108.822,109,0,0,0,4474,4991.853,5000
"random",30,12,0.807,0.904,0.944,-0.009,-0.007,106,98,-0.038,0.004,0.07,0.115,0.219,0.232,0.272,0.309,0.634,0.732,0.794,0,0,0.009,0,0,0,0,0,0,108,108.968,109,108,108.968,109,108,108.968,109,0,0,0,4853,4998.55,5000
"random",40,4,0.612,0.796,0.894,-0.459,-0.477,40,57,-0.541,-0.164,0.243,0.483,0.577,0.176,0.239,0.291,0.429,0.683,0.791,0,0.014,0.073,0,0,0,0,0,0,101,107.515,109,101,107.515,109,101,107.515,109,0,0,0,3803,4931.881,5000
