"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",14,4,0.418,0.622,0.783,-0.035,-0.037,106,57,-0.095,0.05,0.098,0.155,0.23,0.147,0.189,0.231,0,0.397,0.654,0,0.056,0.156,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,8,0.553,0.73,0.856,-0.016,-0.015,106,98,-0.049,0.014,0.071,0.112,0.172,0.125,0.163,0.197,0.191,0.524,0.683,0,0.01,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,12,0.601,0.769,0.877,-0.01,-0.008,106,98,-0.042,0.01,0.054,0.097,0.162,0.126,0.154,0.183,0.326,0.557,0.692,0,0.003,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,4,0.495,0.692,0.828,-0.032,-0.034,106,57,-0.076,0.047,0.084,0.133,0.216,0.132,0.175,0.212,0.13,0.52,0.7,0,0.035,0.11,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,8,0.643,0.8,0.892,-0.012,-0.012,106,57,-0.037,0.009,0.06,0.092,0.148,0.121,0.15,0.179,0.392,0.62,0.736,0,0.005,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,12,0.703,0.839,0.919,-0.006,-0.005,103,98,-0.028,0.008,0.043,0.076,0.126,0.118,0.143,0.164,0.47,0.647,0.748,0,0.001,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,4,0.605,0.763,0.87,-0.03,-0.03,79,57,-0.073,0.045,0.068,0.112,0.197,0.126,0.161,0.198,0.384,0.633,0.77,0,0.02,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,8,0.756,0.869,0.931,-0.009,-0.01,106,57,-0.025,0.008,0.047,0.071,0.128,0.116,0.14,0.166,0.582,0.709,0.801,0,0.002,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,12,0.836,0.906,0.949,-0.003,-0.002,106,98,-0.016,0.004,0.031,0.055,0.095,0.115,0.133,0.15,0.636,0.733,0.807,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,4,0.666,0.806,0.897,-0.029,-0.03,79,57,-0.072,0.044,0.057,0.099,0.183,0.121,0.154,0.186,0.505,0.699,0.807,0,0.014,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
