"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",14,4,0.393,0.621,0.775,-0.471,-0.488,106,15,-0.585,-0.224,0.285,0.531,0.653,0.234,0.308,0.403,0,0.397,0.654,0,0.056,0.156,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,8,0.562,0.728,0.855,-0.204,-0.204,106,15,-0.279,-0.128,0.228,0.3,0.422,0.244,0.32,0.389,0.191,0.524,0.683,0,0.01,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",14,12,0.588,0.766,0.87,-0.029,-0.024,106,98,-0.104,0.005,0.134,0.207,0.371,0.261,0.323,0.386,0.326,0.557,0.692,0,0.003,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,4,0.449,0.691,0.824,-0.468,-0.486,106,15,-0.556,-0.232,0.276,0.512,0.608,0.207,0.281,0.353,0.13,0.52,0.7,0,0.035,0.11,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,8,0.659,0.799,0.894,-0.194,-0.196,106,15,-0.249,-0.124,0.206,0.263,0.364,0.23,0.292,0.348,0.392,0.62,0.736,0,0.005,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",20,12,0.686,0.837,0.912,-0.018,-0.014,103,98,-0.069,0.006,0.102,0.16,0.297,0.24,0.295,0.348,0.47,0.647,0.748,0,0.001,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,4,0.564,0.761,0.87,-0.464,-0.482,40,15,-0.542,-0.238,0.269,0.496,0.584,0.197,0.258,0.323,0.384,0.633,0.77,0,0.02,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,8,0.76,0.868,0.93,-0.186,-0.189,106,15,-0.222,-0.12,0.178,0.231,0.312,0.222,0.267,0.322,0.582,0.709,0.801,0,0.002,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",30,12,0.834,0.905,0.945,-0.009,-0.007,70,98,-0.038,0.002,0.07,0.114,0.22,0.232,0.272,0.32,0.636,0.733,0.807,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,4,0.652,0.804,0.897,-0.462,-0.479,60,59,-0.54,-0.234,0.266,0.487,0.578,0.189,0.244,0.303,0.505,0.699,0.807,0,0.014,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,8,0.833,0.908,0.949,-0.183,-0.187,106,15,-0.207,-0.117,0.165,0.215,0.284,0.22,0.255,0.302,0.686,0.766,0.834,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",40,12,0.903,0.943,0.967,-0.005,-0.004,107,42,-0.027,0,0.053,0.085,0.161,0.227,0.26,0.289,0.72,0.785,0.826,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,4,0.693,0.833,0.912,-0.461,-0.476,40,59,-0.538,-0.232,0.264,0.482,0.573,0.184,0.236,0.28,0.584,0.745,0.822,0,0.01,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,8,0.881,0.935,0.964,-0.18,-0.185,40,59,-0.201,-0.116,0.155,0.204,0.26,0.218,0.248,0.283,0.746,0.803,0.85,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,12,0.944,0.969,0.983,-0.003,-0.002,107,21,-0.014,0.002,0.038,0.062,0.116,0.232,0.253,0.273,0.787,0.82,0.847,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
