"item","M","SD_within","SD_between","ICC","range"
"aerger1",16.63,17.98,13.47,0.36,"0 - 100"
"aerger2",19.57,17.87,16.69,0.47,"0 - 100"
"aerger3",23.88,20.41,17.2,0.42,"0 - 100"
"traurigkeit1",19.85,18.35,17.07,0.46,"0 - 100"
"traurigkeit2",22.58,19.96,17.16,0.42,"0 - 100"
"traurigkeit3",25.35,18.98,18.16,0.48,"0 - 100"
"angst1",9.22,12.4,11.56,0.46,"0 - 100"
"angst2",12.97,14.66,15.16,0.52,"0 - 100"
"angst3",25.1,20.24,17.79,0.44,"0 - 100"
"scham1",9.48,12.63,11,0.43,"0 - 100"
"scham2",8.38,11.83,10.94,0.46,"0 - 100"
"scham3",6.92,9.05,9.65,0.53,"0 - 100"
"schuld1",11.38,13.79,11.61,0.41,"0 - 100"
"schuld2",14.53,17.16,12.99,0.36,"0 - 100"
"schuld3",14.4,16.29,13.2,0.4,"0 - 100"
"freude1",43.5,21.17,17.11,0.4,"0 - 100"
"freude2",47.55,18.67,18.7,0.5,"0 - 100"
"freude3",52.79,17.45,17.98,0.52,"0 - 100"
"interesse1",47.32,19.37,17.9,0.46,"0 - 100"
"interesse2",55.76,19.51,14.67,0.36,"0 - 100"
"interesse3",41.84,19.95,18.17,0.45,"0 - 100"
"liebe1",40.75,20.76,20.79,0.5,"0 - 100"
"liebe2",41.88,22.18,20.11,0.45,"0 - 100"
"liebe3",40.58,18.47,21.59,0.58,"0 - 100"
"stolz1",32.8,18.2,21.74,0.59,"0 - 100"
"stolz2",46.6,16.89,21.09,0.61,"0 - 100"
"stolz3",45.86,16.54,21.18,0.62,"0 - 100"
