"n_occasions","n_items","diff_ICC_MCSE","diff_ICC.z_MCSE","cor_ICC_MCSE","cor_ICC.z_MCSE","rel_MCSE","sd_ICC_MCSE","sd_ICC.z_MCSE","percnegICC_MCSE","N_rel_MCSE","MCSE_RMSE_min","MCSE_RMSE_mean","MCSE_RMSE_max","MCSE_RMSE.z_min","MCSE_RMSE.z_mean","MCSE_RMSE.z_max"
14,5,0,0,0.001,0.001,0.001,0,0,0,0,0.000492968716296917,0.00113308345516411,0.00264176631111424,0.00158950666269662,0.00282935088813299,0.00645467942828265
14,10,0,0,0.001,0.001,0.001,0,0,0,0,0.000409741989795382,0.000951073112865395,0.0026120891404186,0.00167437239461967,0.00285914278682293,0.0071848476092099
14,15,0,0,0.001,0.001,0.001,0,0,0,0,0.000334248731595191,0.000829050444671321,0.00253734233803875,0.00139204856450099,0.00241158968325955,0.00719822428510494
20,5,0,0,0.001,0.001,0.001,0,0,0,0,0.000394411699073409,0.000962239116085806,0.00240092918876603,0.00120161492215999,0.00231479262614963,0.00563856247355878
20,10,0,0,0.001,0.001,0,0,0,0,0,0.000342308463298901,0.000794640341004682,0.00221288775865636,0.00128567294198687,0.00236727847017564,0.00562388650732526
20,15,0,0,0.001,0.001,0,0,0,0,0,0.000247824562605514,0.000676689480982686,0.00221227596259055,0.000935413260402015,0.00188863269942339,0.00597555530306112
30,5,0,0,0.001,0.001,0,0,0,0,0,0.00027342078475025,0.000777849333832147,0.00264453260532991,0.000781386889739965,0.00176582409938199,0.00654822211654535
30,10,0,0,0.001,0.001,0,0,0,0,0,0.000241792007618182,0.000637411689916559,0.00225650638581858,0.000890594450823997,0.00187262446937553,0.00603905053065117
30,15,0,0,0.001,0.001,0,0,0,0,0,0.000189529263959412,0.000522853213281804,0.00233947243192921,0.000625207541670379,0.00141566303403908,0.00546448355116846
40,5,0,0,0.001,0.001,0,0,0,0,0,0.000192142774784433,0.000643426254011067,0.00301421322218479,0.00051206044705419,0.00137322431806761,0.00705216084283926
40,10,0,0,0.001,0.001,0,0,0,0,0,0.000188178096265519,0.000535255552177342,0.00254345035909435,0.000666099429049338,0.0015308247869366,0.00660636029593478
40,15,0,0,0.001,0.001,0,0,0,0,0,0.000141752471741981,0.000424621450133965,0.00265661156799573,0.000473800521292026,0.0011227910030964,0.00591246922294821
50,5,0,0,0.001,0.001,0,0,0,0,0,0.000134345140344101,0.000524727395441133,0.00337088664134256,0.000341062496523407,0.00103658763132353,0.00718406462860521
50,10,0,0,0.001,0,0,0,0,0,0,0.000133879534650305,0.000443400904242984,0.00281753445411196,0.000481830784231084,0.00121726995183432,0.00711776633187241
50,15,0,0,0.001,0.001,0,0,0,0,0,9.87711960696385e-05,0.00035422547006774,0.00299844390456793,0.000339843588614319,0.000917660499515562,0.00652595845789313
60,5,0,0,0,0,0,0,0,0,0,8.11477617848835e-05,0.000390600543078699,0.00366642054120539,0.000201192185054747,0.000694011459531592,0.00656190598049338
60,10,0,0,0,0,0,0,0,0,0,9.67648410887652e-05,0.000337639498904587,0.00302964414138773,0.000290853119204621,0.000878169890384124,0.0073991269793556
60,15,0,0,0,0,0,0,0,0,0,6.85200738201595e-05,0.000288741424064841,0.00325492481440351,0.00022475045442178,0.000732034857677205,0.00702303373197409
