"group","n_occasions","n_items","diff_ICC_sim_mean","diff_ICC_sim_var","diff_ICC_MCSE","diff_ICC.z_sim_mean","diff_ICC.z_sim_var","diff_ICC.z_MCSE","cor_ICC_sim_mean","cor_ICC_sim_var","cor_ICC_MCSE","cor_ICC.z_sim_mean","cor_ICC.z_sim_var","cor_ICC.z_MCSE","RMSE_ICC_sim_mean","RMSE_ICC_sim_var","RMSE_ICC_MCSE","RMSE_ICC.z_sim_mean","RMSE_ICC.z_sim_var","RMSE_ICC.z_MCSE","rel_sim_mean","rel_sim_var","rel_MCSE","sd_ICC_sim_mean","sd_ICC_sim_var","sd_ICC_MCSE","sd_ICC.z_sim_mean","sd_ICC.z_sim_var","sd_ICC.z_MCSE","percnegICC_sim_mean","percnegICC_sim_var","percnegICC_MCSE","N_rel_sim_mean","N_rel_sim_var","N_rel_MCSE"
"high NED",14,5,-0.055,0,0,-0.443,0.001,0.001,0.364,0.016,0.004,0.36,0.017,0.004,0.116,0,0,0.491,0.001,0.001,0.05,0.008,0.003,0.11,0,0,0.223,0.001,0.001,0.225,0.004,0.002,36,0,0
"high NED",14,10,-0.019,0,0,-0.215,0.001,0.001,0.422,0.013,0.004,0.434,0.014,0.004,0.091,0,0,0.32,0.001,0.001,0.291,0.025,0.005,0.098,0,0,0.263,0.001,0.001,0.058,0.001,0.001,36,0,0
"high NED",14,15,-0.01,0,0,-0.06,0.001,0.001,0.482,0.012,0.004,0.481,0.013,0.004,0.074,0,0,0.239,0.001,0.001,0.32,0.021,0.005,0.083,0,0,0.264,0.001,0.001,0.021,0.001,0.001,36,0,0
"high NED",20,5,-0.053,0,0,-0.435,0.001,0.001,0.413,0.014,0.004,0.407,0.014,0.004,0.103,0,0,0.472,0.001,0.001,0.103,0.014,0.004,0.097,0,0,0.195,0,0.001,0.178,0.003,0.002,36,0,0
"high NED",20,10,-0.015,0,0,-0.196,0.001,0.001,0.474,0.01,0.003,0.482,0.01,0.003,0.078,0,0,0.282,0.001,0.001,0.384,0.021,0.005,0.087,0,0,0.231,0.001,0.001,0.029,0.001,0.001,36,0,0
"high NED",20,15,-0.007,0,0,-0.043,0.001,0.001,0.563,0.009,0.003,0.558,0.01,0.003,0.061,0,0,0.195,0.001,0.001,0.399,0.018,0.004,0.073,0,0,0.23,0.001,0.001,0.007,0,0,36,0,0
"high NED",30,5,-0.053,0,0,-0.43,0,0.001,0.47,0.01,0.003,0.463,0.01,0.003,0.09,0,0,0.457,0,0.001,0.175,0.017,0.004,0.083,0,0,0.167,0,0.001,0.127,0.002,0.002,36,0,0
"high NED",30,10,-0.013,0,0,-0.183,0.001,0.001,0.562,0.007,0.003,0.569,0.007,0.003,0.063,0,0,0.245,0.001,0.001,0.468,0.012,0.003,0.075,0,0,0.199,0,0.001,0.011,0,0.001,36,0,0
"high NED",30,15,-0.004,0,0,-0.025,0.001,0.001,0.67,0.006,0.002,0.663,0.007,0.003,0.046,0,0,0.146,0,0.001,0.454,0.012,0.004,0.062,0,0,0.193,0,0.001,0.001,0,0,36,0,0
"high NED",40,5,-0.052,0,0,-0.426,0,0,0.518,0.007,0.003,0.508,0.007,0.003,0.082,0,0,0.448,0,0,0.25,0.015,0.004,0.075,0,0,0.151,0,0,0.095,0.002,0.001,36,0,0
"high NED",40,10,-0.011,0,0,-0.172,0,0.001,0.633,0.005,0.002,0.643,0.005,0.002,0.053,0,0,0.219,0,0.001,0.504,0.009,0.003,0.067,0,0,0.176,0,0.001,0.003,0,0,36,0,0
"high NED",40,15,-0.002,0,0,-0.014,0,0.001,0.762,0.004,0.002,0.756,0.005,0.002,0.035,0,0,0.111,0,0.001,0.478,0.01,0.003,0.055,0,0,0.169,0,0.001,0,0,0,36,0,0
"high NED",50,5,-0.051,0,0,-0.423,0,0,0.558,0.004,0.002,0.546,0.004,0.002,0.077,0,0,0.441,0,0,0.307,0.009,0.003,0.069,0,0,0.14,0,0,0.075,0.001,0.001,36,0,0
"high NED",50,10,-0.01,0,0,-0.166,0,0,0.697,0.003,0.002,0.71,0.003,0.002,0.045,0,0,0.2,0,0,0.527,0.006,0.003,0.061,0,0,0.16,0,0,0.001,0,0,36,0,0
"high NED",50,15,-0.001,0,0,-0.008,0,0,0.849,0.003,0.002,0.844,0.003,0.002,0.026,0,0,0.081,0,0.001,0.488,0.007,0.003,0.049,0,0,0.151,0,0,0,0,0,36,0,0
"high NED",60,5,-0.051,0,0,-0.421,0,0,0.591,0.002,0.001,0.576,0.002,0.001,0.073,0,0,0.438,0,0,0.354,0.004,0.002,0.065,0,0,0.131,0,0,0.06,0,0.001,36,0,0
"high NED",60,10,-0.008,0,0,-0.16,0,0,0.756,0.001,0.001,0.774,0.001,0.001,0.037,0,0,0.185,0,0,0.537,0.003,0.002,0.056,0,0,0.147,0,0,0,0,0,36,0,0
"high NED",60,15,-0.001,0,0,-0.004,0,0,0.929,0.001,0.001,0.926,0.001,0.001,0.017,0,0,0.052,0,0,0.502,0.004,0.002,0.046,0,0,0.139,0,0,0,0,0,36,0,0
"low NED",14,5,-0.083,0,0.001,-0.602,0.002,0.001,0.292,0.033,0.006,0.278,0.036,0.006,0.18,0,0.001,0.665,0.002,0.001,0.349,0.019,0.004,0.167,0,0,0.291,0.001,0.001,0.021,0.001,0.001,37,0,0
"low NED",14,10,-0.042,0,0.001,-0.271,0.002,0.001,0.286,0.038,0.006,0.259,0.045,0.007,0.154,0,0.001,0.408,0.002,0.001,0.497,0.013,0.004,0.154,0,0,0.313,0.001,0.001,0.004,0,0,37,0,0
"low NED",14,15,-0.032,0,0.001,-0.079,0.002,0.001,0.248,0.04,0.006,0.2,0.049,0.007,0.141,0,0.001,0.309,0.002,0.002,0.463,0.017,0.004,0.138,0,0,0.298,0.001,0.001,0.002,0,0,37,0,0
"low NED",20,5,-0.074,0,0.001,-0.587,0.001,0.001,0.358,0.037,0.006,0.344,0.041,0.006,0.158,0,0.001,0.635,0.001,0.001,0.447,0.012,0.003,0.15,0,0,0.258,0.001,0.001,0.009,0,0,37,0,0
