"n_occasions","n_items","diff_ICC_MCSE","diff_ICC.z_MCSE","cor_ICC_MCSE","cor_ICC.z_MCSE","rel_MCSE","sd_ICC_MCSE","sd_ICC.z_MCSE","percnegICC_MCSE","N_rel_MCSE","MCSE_RMSE_min","MCSE_RMSE_mean","MCSE_RMSE_max","MCSE_RMSE.z_min","MCSE_RMSE.z_mean","MCSE_RMSE.z_max"
14,5,0,0.001,0.002,0.002,0.002,0,0.001,0.001,0,0.001,0.003,0.006,0.004,0.006,0.015
14,10,0,0.001,0.002,0.002,0.002,0,0.001,0,0,0.001,0.002,0.006,0.004,0.006,0.016
14,15,0,0.001,0.002,0.002,0.001,0,0.001,0,0,0.001,0.002,0.006,0.003,0.005,0.017
20,5,0,0.001,0.002,0.002,0.002,0,0,0.001,0,0.001,0.002,0.005,0.003,0.005,0.013
20,10,0,0.001,0.002,0.002,0.001,0,0.001,0,0,0.001,0.002,0.005,0.003,0.005,0.012
20,15,0,0.001,0.002,0.002,0.001,0,0.001,0,0,0.001,0.002,0.005,0.002,0.004,0.014
30,5,0,0,0.002,0.002,0.001,0,0,0.001,0,0.001,0.002,0.006,0.002,0.004,0.015
30,10,0,0.001,0.002,0.001,0.001,0,0,0,0,0.001,0.001,0.005,0.002,0.004,0.014
30,15,0,0,0.002,0.001,0.001,0,0,0,0,0,0.001,0.005,0.001,0.003,0.012
40,5,0,0,0.002,0.001,0.001,0,0,0,0,0,0.001,0.007,0.001,0.003,0.016
40,10,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0.006,0.001,0.003,0.014
40,15,0,0,0.002,0.001,0,0,0,0,0,0,0.001,0.006,0.001,0.003,0.013
50,5,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0.008,0.001,0.002,0.016
50,10,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0.006,0.001,0.003,0.016
50,15,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0.007,0.001,0.002,0.014
60,5,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0.008,0,0.002,0.015
60,10,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0.007,0.001,0.002,0.017
60,15,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0.007,0.001,0.002,0.016
