"item","M","SD_within","SD_between","ICC","range"
"aerger1",16.63,17.98,13.47,0.36,"0 - 100"
"aerger2",19.57,17.87,16.69,0.47,"0 - 100"
"aerger3",23.88,20.41,17.2,0.42,"0 - 100"
"traurigkeit1",19.85,18.35,17.07,0.46,"0 - 100"
"traurigkeit2",22.58,19.96,17.16,0.42,"0 - 100"
"traurigkeit3",25.35,18.98,18.16,0.48,"0 - 100"
"angst1",9.22,12.4,11.56,0.46,"0 - 100"
"angst2",12.97,14.66,15.16,0.52,"0 - 100"
"angst3",25.1,20.24,17.79,0.44,"0 - 100"
"scham1",9.48,12.63,11,0.43,"0 - 100"
"scham2",8.38,11.83,10.94,0.46,"0 - 100"
"scham3",6.92,9.05,9.65,0.53,"0 - 100"
"schuld1",11.38,13.79,11.61,0.41,"0 - 100"
"schuld2",14.53,17.16,12.99,0.36,"0 - 100"
"schuld3",14.4,16.29,13.2,0.4,"0 - 100"
