"group","occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE_ICC.z_min","RMSE_ICC.z_mean","RMSE_ICC.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"high NED","random",14,5,-0.163,0.367,0.689,-1.354,-0.443,0.736,0.403,0.491,0.572,0.145,0.223,0.315,0,0.05,0.46,2,8.085,16,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",14,10,0.028,0.441,0.77,-1.36,-0.215,1.006,0.214,0.32,0.438,0.16,0.263,0.374,0,0.291,0.659,0,2.074,6,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",14,15,-0.014,0.489,0.767,-1.261,-0.06,1.207,0.151,0.239,0.345,0.171,0.264,0.366,0,0.32,0.657,0,0.755,5,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",20,5,-0.005,0.414,0.719,-1.146,-0.435,0.729,0.401,0.472,0.544,0.141,0.195,0.284,0,0.103,0.558,1,6.403,14,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",20,10,0.191,0.489,0.785,-0.932,-0.196,0.762,0.196,0.282,0.369,0.164,0.231,0.32,0,0.384,0.691,0,1.055,6,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",20,15,0.196,0.567,0.805,-0.951,-0.043,0.866,0.13,0.195,0.278,0.156,0.23,0.313,0,0.399,0.687,0,0.27,3,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",30,5,-0.019,0.469,0.755,-0.984,-0.43,0.169,0.399,0.457,0.52,0.111,0.167,0.219,0,0.175,0.523,0,4.573,11,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",30,10,0.277,0.575,0.803,-0.839,-0.183,0.505,0.185,0.245,0.317,0.128,0.199,0.272,0,0.468,0.725,0,0.406,3,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",30,15,0.409,0.671,0.876,-0.81,-0.025,0.472,0.089,0.146,0.21,0.131,0.193,0.265,0,0.454,0.719,0,0.037,1,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",40,5,0.179,0.513,0.758,-0.935,-0.426,0.041,0.401,0.448,0.495,0.114,0.151,0.205,0,0.25,0.598,0,3.435,11,0,0,0,0,0,0,36,36,36,36,36,36
