"group","occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE_ICC.z_min","RMSE_ICC.z_mean","RMSE_ICC.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"high NED","random",3,5,-0.58,0.15,0.81,-4.52,-0.58,1.47,0.32,0.76,1.84,0.17,0.5,1.43,0,0.01,0.67,0,4.96,10,0,0.01,1,0,0,0,11,11.99,12,11,11.99,12
"high NED","random",3,10,-0.61,0.19,0.88,-4.72,-0.42,1.5,0.25,0.68,1.56,0.22,0.55,1.35,0,0.02,0.67,0,3.52,9,0,0,1,0,0,0,11,12,12,11,12,12
"high NED","random",3,15,-0.48,0.26,0.85,-4.37,-0.29,1.38,0.22,0.62,1.41,0.2,0.58,1.32,0,0.03,0.66,0,2.8,10,0,0,1,0,0,0,11,12,12,11,12,12
"high NED","random",10,5,-0.43,0.35,0.8,-1.65,-0.48,0.37,0.35,0.53,0.74,0.12,0.25,0.42,0,0.04,0.52,0,3.28,8,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",10,10,-0.45,0.43,0.93,-1.4,-0.27,1.06,0.19,0.37,0.7,0.11,0.29,0.52,0,0.15,0.72,0,1.22,5,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",10,15,-0.63,0.46,0.93,-1.56,-0.09,0.86,0.12,0.28,0.53,0.14,0.3,0.57,0,0.2,0.78,0,0.58,4,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",20,5,-0.18,0.48,0.88,-1.17,-0.46,0.1,0.35,0.49,0.67,0.08,0.19,0.35,0,0.11,0.68,0,2.17,6,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",20,10,-0.26,0.54,0.91,-1.22,-0.23,0.65,0.12,0.29,0.46,0.09,0.22,0.39,0,0.3,0.78,0,0.4,3,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",20,15,-0.24,0.57,0.9,-1.03,-0.05,0.49,0.08,0.19,0.35,0.1,0.22,0.38,0,0.31,0.77,0,0.13,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",30,5,0.01,0.56,0.85,-0.98,-0.45,0.04,0.36,0.47,0.6,0.06,0.17,0.26,0,0.17,0.65,0,1.55,6,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",30,10,-0.2,0.63,0.96,-0.93,-0.21,0.46,0.12,0.26,0.4,0.11,0.19,0.31,0,0.38,0.77,0,0.2,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",30,15,-0.02,0.66,0.93,-0.74,-0.03,0.35,0.06,0.15,0.26,0.08,0.19,0.33,0,0.37,0.81,0,0.03,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",40,5,0.17,0.63,0.9,-0.88,-0.44,-0.05,0.37,0.46,0.54,0.08,0.15,0.23,0,0.24,0.65,0,1.23,4,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",40,10,0.13,0.7,0.98,-0.72,-0.2,0.22,0.14,0.24,0.35,0.09,0.17,0.29,0,0.43,0.8,0,0.07,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",40,15,0.19,0.75,0.98,-0.63,-0.02,0.36,0.05,0.12,0.22,0.09,0.17,0.28,0,0.42,0.8,0,0.01,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",50,5,0.29,0.67,0.92,-0.85,-0.44,-0.06,0.39,0.45,0.54,0.07,0.14,0.2,0,0.3,0.64,0,0.95,4,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",50,10,0.34,0.76,0.95,-0.68,-0.2,0.17,0.14,0.23,0.32,0.1,0.16,0.25,0,0.48,0.79,0,0.03,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",50,15,0.34,0.82,0.99,-0.48,-0.01,0.25,0.03,0.1,0.17,0.09,0.16,0.24,0,0.46,0.8,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",60,5,0.41,0.71,0.9,-0.84,-0.44,-0.17,0.39,0.45,0.52,0.08,0.14,0.19,0,0.36,0.68,0,0.71,4,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",60,10,0.38,0.82,0.98,-0.59,-0.19,0.1,0.14,0.21,0.31,0.09,0.15,0.21,0,0.51,0.77,0,0.01,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",60,15,0.48,0.86,0.98,-0.48,-0.01,0.23,0.03,0.08,0.17,0.09,0.15,0.23,0,0.49,0.81,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",70,5,0.48,0.74,0.88,-0.79,-0.44,-0.21,0.4,0.45,0.5,0.09,0.13,0.18,0,0.41,0.69,0,0.57,3,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",70,10,0.53,0.85,0.98,-0.57,-0.19,0.03,0.15,0.21,0.29,0.09,0.14,0.2,0,0.54,0.77,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",70,15,0.59,0.91,0.99,-0.4,0,0.18,0.02,0.06,0.13,0.08,0.14,0.2,0,0.53,0.79,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",80,5,0.54,0.76,0.88,-0.74,-0.44,-0.22,0.41,0.44,0.49,0.09,0.13,0.16,0,0.46,0.68,0,0.47,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",80,10,0.55,0.88,0.99,-0.52,-0.19,0,0.16,0.2,0.28,0.1,0.14,0.18,0.26,0.57,0.75,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",80,15,0.66,0.94,0.99,-0.38,0,0.16,0.02,0.05,0.12,0.09,0.13,0.18,0.06,0.55,0.77,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",90,5,0.64,0.78,0.87,-0.7,-0.43,-0.25,0.42,0.44,0.48,0.1,0.13,0.14,0.22,0.5,0.63,0,0.33,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",90,10,0.7,0.91,0.98,-0.46,-0.19,-0.04,0.17,0.19,0.24,0.11,0.13,0.17,0.39,0.59,0.75,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",90,15,0.72,0.98,1,-0.35,0,0.09,0.01,0.03,0.11,0.1,0.13,0.16,0.33,0.58,0.75,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",3,5,0.38,0.38,0.38,-1.99,-0.87,0.09,1.12,1.12,1.12,0.77,0.77,0.77,0,0,0,6,6,6,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",3,10,-0.1,-0.1,-0.1,-2.19,-0.46,0.5,0.91,0.91,0.91,0.79,0.79,0.79,0.04,0.04,0.04,3,3,3,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",3,15,0.18,0.18,0.18,-1.49,-0.27,0.2,0.54,0.54,0.54,0.49,0.49,0.49,0,0,0,1,1,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",10,5,0.1,0.1,0.1,-1.5,-0.55,-0.2,0.69,0.69,0.69,0.42,0.42,0.42,0.52,0.52,0.52,3,3,3,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",10,10,0.13,0.13,0.13,-0.65,-0.2,0.2,0.33,0.33,0.33,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",10,15,0.47,0.47,0.47,-0.42,-0.04,0.26,0.22,0.22,0.22,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",20,5,0.32,0.32,0.32,-0.91,-0.49,-0.18,0.53,0.53,0.53,0.22,0.22,0.22,0.18,0.18,0.18,3,3,3,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",20,10,0.33,0.33,0.33,-0.62,-0.17,0.03,0.25,0.25,0.25,0.2,0.2,0.2,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",20,15,0.77,0.77,0.77,-0.23,0,0.18,0.12,0.12,0.12,0.19,0.19,0.19,0.11,0.11,0.11,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",30,5,0.39,0.39,0.39,-0.84,-0.47,-0.14,0.51,0.51,0.51,0.22,0.22,0.22,0.51,0.51,0.51,3,3,3,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",30,10,0.41,0.41,0.41,-0.64,-0.21,0.02,0.27,0.27,0.27,0.2,0.2,0.2,0.44,0.44,0.44,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",30,15,0.67,0.67,0.67,-0.32,-0.02,0.15,0.13,0.13,0.13,0.19,0.19,0.19,0.41,0.41,0.41,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",40,5,0.37,0.37,0.37,-0.8,-0.45,-0.17,0.49,0.49,0.49,0.2,0.2,0.2,0.53,0.53,0.53,3,3,3,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",40,10,0.3,0.3,0.3,-0.65,-0.23,0.05,0.3,0.3,0.3,0.2,0.2,0.2,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","by order",40,15,0.43,0.43,0.43,-0.37,-0.03,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.54,0.54,0.54,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
