"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_min","percnegICC_mean","percnegICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"random",14,5,0.26,0.586,0.791,-2.187,-0.532,1.224,0.296,0.578,1.377,0.245,0.307,0.39,0.124,0.437,0.654,0.018,0.109,0.22,0,0,0,0,0,0,109,109,109,109,109,109
"random",14,10,0.403,0.639,0.809,-2.236,-0.246,1.496,0.164,0.349,1.167,0.275,0.35,0.416,0.384,0.614,0.729,0,0.023,0.092,0,0,0,0,0,0,109,109,109,109,109,109
"random",14,15,0.454,0.682,0.838,-2.021,-0.065,1.353,0.114,0.24,1.094,0.278,0.351,0.426,0.418,0.63,0.751,0,0.008,0.055,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,5,0.46,0.656,0.827,-1.959,-0.521,1.091,0.258,0.552,1.311,0.222,0.282,0.342,0.29,0.554,0.7,0.009,0.078,0.165,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,10,0.53,0.713,0.874,-1.932,-0.226,1.264,0.138,0.305,1.076,0.263,0.323,0.386,0.551,0.698,0.791,0,0.011,0.055,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,15,0.582,0.754,0.899,-1.984,-0.044,1.089,0.083,0.191,1.016,0.269,0.323,0.387,0.584,0.709,0.8,0,0.003,0.037,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,5,0.568,0.737,0.852,-1.831,-0.511,0.739,0.215,0.529,1.164,0.209,0.259,0.301,0.483,0.662,0.751,0,0.05,0.128,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,10,0.643,0.794,0.899,-1.783,-0.208,0.882,0.111,0.262,0.931,0.242,0.296,0.351,0.658,0.769,0.837,0,0.004,0.037,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,15,0.665,0.838,0.936,-1.727,-0.026,0.921,0.061,0.14,0.865,0.249,0.296,0.345,0.688,0.779,0.838,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,5,0.649,0.791,0.904,-1.775,-0.505,0.59,0.184,0.516,1.04,0.212,0.245,0.289,0.631,0.723,0.801,0,0.035,0.092,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,10,0.698,0.852,0.927,-1.678,-0.198,0.779,0.098,0.236,0.781,0.242,0.28,0.314,0.748,0.811,0.85,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,15,0.751,0.896,0.956,-1.594,-0.016,0.776,0.044,0.106,0.737,0.245,0.282,0.318,0.762,0.82,0.859,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,5,0.703,0.832,0.904,-1.686,-0.5,0.433,0.157,0.507,0.897,0.207,0.237,0.27,0.693,0.766,0.82,0,0.026,0.073,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,10,0.779,0.898,0.95,-1.558,-0.191,0.674,0.084,0.216,0.62,0.239,0.269,0.302,0.796,0.838,0.872,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,15,0.8,0.942,0.982,-1.61,-0.009,0.675,0.032,0.077,0.578,0.242,0.272,0.298,0.807,0.847,0.874,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,5,0.744,0.864,0.906,-1.609,-0.498,0.301,0.142,0.501,0.753,0.209,0.231,0.247,0.751,0.796,0.822,0,0.02,0.046,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,10,0.834,0.933,0.964,-1.441,-0.186,0.441,0.063,0.2,0.456,0.235,0.261,0.283,0.825,0.858,0.879,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,15,0.849,0.976,0.994,-1.38,-0.004,0.423,0.019,0.05,0.427,0.242,0.264,0.283,0.841,0.866,0.884,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",14,5,0.509,0.509,0.509,-1.257,-0.564,0.154,NA,NA,NA,0.314,0.314,0.314,0.468,0.468,0.468,0.119,0.119,0.119,0,0,0,0,0,0,109,109,109,109,109,109
