"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_min","percnegICC_mean","percnegICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"random",14,5,0.39,0.586,0.763,-2.018,-0.532,1.091,0.295,0.578,1.371,0.247,0.308,0.378,0.135,0.44,0.633,0.028,0.109,0.22,0,0,0,0,0,0,109,109,109,109,109,109
"random",14,10,0.433,0.639,0.781,-2.085,-0.245,1.362,0.17,0.348,1.163,0.285,0.35,0.446,0.426,0.614,0.765,0,0.023,0.073,0,0,0,0,0,0,109,109,109,109,109,109
"random",14,15,0.378,0.679,0.826,-2.031,-0.066,1.504,0.116,0.242,1.101,0.29,0.352,0.425,0.463,0.632,0.75,0,0.009,0.046,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,5,0.48,0.659,0.801,-1.933,-0.52,1.091,0.255,0.552,1.299,0.222,0.283,0.344,0.29,0.558,0.704,0.009,0.078,0.165,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,10,0.528,0.711,0.856,-1.897,-0.227,1.078,0.139,0.306,1.069,0.275,0.322,0.38,0.589,0.697,0.784,0,0.011,0.046,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,15,0.541,0.76,0.868,-1.785,-0.043,1.043,0.082,0.19,0.977,0.275,0.323,0.392,0.604,0.71,0.805,0,0.002,0.028,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,5,0.584,0.736,0.849,-1.853,-0.51,0.739,0.216,0.529,1.164,0.22,0.258,0.295,0.536,0.66,0.742,0,0.05,0.11,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,10,0.623,0.796,0.889,-1.721,-0.207,0.895,0.114,0.261,0.934,0.258,0.296,0.341,0.699,0.77,0.828,0,0.004,0.028,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,15,0.695,0.837,0.921,-1.638,-0.026,1.013,0.059,0.141,0.852,0.253,0.296,0.345,0.699,0.779,0.838,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,5,0.668,0.791,0.879,-1.708,-0.505,0.518,0.18,0.516,1.032,0.212,0.246,0.289,0.631,0.724,0.801,0,0.035,0.092,0,0,0,0,0,0,109,109,109,109,109,109
