"cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE_ICC.z_min","RMSE_ICC.z_mean","RMSE_ICC.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
-0.29,0.19,0.59,-4.88,-0.7,3.22,0.59,0.88,1.31,0.32,0.54,0.92,0,0,0.24,4,12.3,22,0,0,0,0,0,0,35,35.99,36,35,35.99,36
-0.2,0.29,0.69,-5.06,-0.32,3.32,0.37,0.67,1.15,0.36,0.62,1.07,0,0.02,0.52,0,5.82,12,0,0,0,0,0,0,35,36,36,35,36,36
-0.18,0.31,0.68,-3.17,-0.62,3.22,0.55,0.73,0.98,0.24,0.4,0.75,0,0.02,0.62,3,9.43,19,0,0,0,0,0,0,36,36,36,36,36,36
-0.05,0.41,0.73,-2.98,-0.19,3.19,0.26,0.45,0.73,0.27,0.45,0.76,0,0.14,0.68,0,2.46,9,0,0,0,0,0,0,36,36,36,36,36,36
-0.03,0.45,0.76,-1.87,-0.57,2.89,0.51,0.64,0.81,0.18,0.31,0.67,0,0.16,0.82,0,6.18,14,0,0,0,0,0,0,36,36,36,36,36,36
0.11,0.56,0.88,-1.84,-0.1,2.5,0.18,0.31,0.48,0.23,0.36,0.57,0,0.43,0.79,0,0.68,4,0,0,0,0,0,0,36,36,36,36,36,36
0.2,0.58,0.82,-1.45,-0.54,1.07,0.48,0.58,0.67,0.17,0.26,0.41,0,0.43,0.78,0,3.46,10,0,0,0,0,0,0,36,36,36,36,36,36
0.3,0.7,0.9,-1.17,-0.05,1.91,0.12,0.21,0.4,0.2,0.29,0.48,0.26,0.63,0.87,0,0.12,2,0,0,0,0,0,0,36,36,36,36,36,36
0.3,0.65,0.87,-1.27,-0.53,0.4,0.48,0.56,0.64,0.14,0.23,0.3,0,0.55,0.74,0,2.27,8,0,0,0,0,0,0,36,36,36,36,36,36
0.58,0.78,0.91,-0.84,-0.03,0.9,0.1,0.17,0.25,0.2,0.26,0.34,0.52,0.71,0.82,0,0.04,1,0,0,0,0,0,0,36,36,36,36,36,36
0.44,0.71,0.87,-1.17,-0.52,0.24,0.48,0.55,0.63,0.15,0.22,0.27,0.27,0.62,0.76,0,1.66,6,0,0,0,0,0,0,36,36,36,36,36,36
0.64,0.84,0.94,-0.78,-0.02,0.67,0.08,0.13,0.2,0.2,0.24,0.3,0.62,0.75,0.84,0,0,1,0,0,0,0,0,0,36,36,36,36,36,36
0.54,0.74,0.88,-1.11,-0.52,-0.06,0.49,0.54,0.59,0.16,0.2,0.25,0.47,0.68,0.78,0,1.19,5,0,0,0,0,0,0,36,36,36,36,36,36
0.74,0.88,0.96,-0.74,-0.01,0.42,0.07,0.11,0.19,0.19,0.23,0.29,0.68,0.79,0.86,0,0,1,0,0,0,0,0,0,36,36,36,36,36,36
0.6,0.78,0.89,-1.09,-0.52,-0.14,0.49,0.53,0.58,0.16,0.2,0.23,0.56,0.71,0.8,0,0.89,4,0,0,0,0,0,0,36,36,36,36,36,36
