"group","occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","min_diff_ICC_min","mean_diff_ICC_mean","max_diff_ICC_max","RMSE_ICC_min","RMSE_ICC_mean","RMSE_ICC_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"high NED","random",14,5,-0.134,0.37,0.722,-0.337,-0.055,0.599,0.077,0.116,0.159,0.067,0.11,0.157,0,0.05,0.46,2,8.085,16,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",14,10,0.045,0.429,0.759,-0.271,-0.019,0.577,0.06,0.091,0.132,0.056,0.098,0.146,0,0.291,0.659,0,2.074,6,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",14,15,0.017,0.49,0.789,-0.217,-0.01,0.576,0.046,0.074,0.127,0.051,0.083,0.135,0,0.32,0.657,0,0.755,5,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",20,5,-0.007,0.42,0.735,-0.313,-0.053,0.597,0.076,0.103,0.147,0.065,0.097,0.147,0,0.103,0.558,1,6.403,14,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",20,10,0.155,0.48,0.769,-0.218,-0.015,0.473,0.054,0.078,0.123,0.054,0.087,0.133,0,0.384,0.691,0,1.055,6,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",20,15,0.204,0.571,0.804,-0.208,-0.007,0.416,0.042,0.061,0.091,0.049,0.073,0.103,0,0.399,0.687,0,0.27,3,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",30,5,-0.028,0.476,0.74,-0.266,-0.053,0.25,0.067,0.09,0.112,0.053,0.083,0.11,0,0.175,0.523,0,4.573,11,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",30,10,0.227,0.568,0.777,-0.203,-0.013,0.341,0.044,0.063,0.092,0.047,0.075,0.106,0,0.468,0.725,0,0.406,3,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",30,15,0.409,0.677,0.879,-0.194,-0.004,0.206,0.032,0.046,0.064,0.043,0.062,0.086,0,0.454,0.719,0,0.037,1,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",40,5,0.166,0.523,0.749,-0.253,-0.052,0.205,0.067,0.082,0.1,0.056,0.075,0.096,0,0.25,0.598,0,3.435,11,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",40,10,0.399,0.639,0.822,-0.177,-0.011,0.271,0.034,0.053,0.077,0.046,0.067,0.092,0.095,0.504,0.731,0,0.12,2,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",40,15,0.522,0.77,0.927,-0.182,-0.002,0.158,0.022,0.035,0.051,0.042,0.055,0.069,0.12,0.478,0.696,0,0.002,1,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",50,5,0.3,0.562,0.729,-0.219,-0.051,0.178,0.064,0.077,0.095,0.051,0.069,0.086,0,0.307,0.546,0,2.688,7,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",50,10,0.471,0.701,0.825,-0.159,-0.01,0.193,0.031,0.045,0.06,0.042,0.061,0.076,0.07,0.527,0.695,0,0.028,1,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",50,15,0.594,0.857,0.959,-0.173,-0.001,0.114,0.015,0.026,0.043,0.037,0.049,0.061,0.102,0.488,0.685,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",60,5,0.462,0.592,0.736,-0.206,-0.051,0.121,0.065,0.073,0.085,0.052,0.065,0.077,0.053,0.354,0.524,0,2.165,5,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",60,10,0.633,0.759,0.862,-0.146,-0.008,0.169,0.028,0.037,0.048,0.044,0.056,0.067,0.267,0.537,0.686,0,0.003,1,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","random",60,15,0.759,0.936,0.988,-0.141,-0.001,0.07,0.008,0.017,0.034,0.037,0.046,0.055,0.241,0.502,0.694,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",14,5,0.177,0.177,0.177,-0.23,-0.063,0.287,0.138,0.138,0.138,0.125,0.125,0.125,0.125,0.125,0.125,8,8,8,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",14,10,0.395,0.395,0.395,-0.155,0.002,0.276,0.095,0.095,0.095,0.104,0.104,0.104,0.365,0.365,0.365,2,2,2,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",14,15,0.463,0.463,0.463,-0.15,0.016,0.244,0.086,0.086,0.086,0.096,0.096,0.096,0.351,0.351,0.351,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",20,5,0.267,0.267,0.267,-0.202,-0.065,0.266,0.121,0.121,0.121,0.106,0.106,0.106,0.16,0.16,0.16,7,7,7,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",20,10,0.493,0.493,0.493,-0.115,-0.002,0.171,0.071,0.071,0.071,0.083,0.083,0.083,0.377,0.377,0.377,2,2,2,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",20,15,0.588,0.588,0.588,-0.117,0.012,0.155,0.06,0.06,0.06,0.074,0.074,0.074,0.304,0.304,0.304,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",30,5,0.424,0.424,0.424,-0.208,-0.066,0.162,0.107,0.107,0.107,0.094,0.094,0.094,0.355,0.355,0.355,8,8,8,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",30,10,0.641,0.641,0.641,-0.118,-0.009,0.144,0.061,0.061,0.061,0.079,0.079,0.079,0.556,0.556,0.556,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",30,15,0.761,0.761,0.761,-0.06,0.002,0.096,0.042,0.042,0.042,0.064,0.064,0.064,0.448,0.448,0.448,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",40,5,0.447,0.447,0.447,-0.197,-0.066,0.129,0.099,0.099,0.099,0.083,0.083,0.083,0.395,0.395,0.395,6,6,6,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",40,10,0.655,0.655,0.655,-0.121,-0.009,0.114,0.055,0.055,0.055,0.073,0.073,0.073,0.589,0.589,0.589,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",40,15,0.767,0.767,0.767,-0.072,0,0.093,0.038,0.038,0.038,0.06,0.06,0.06,0.514,0.514,0.514,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",50,5,0.515,0.515,0.515,-0.161,-0.062,0.124,0.09,0.09,0.09,0.077,0.077,0.077,0.446,0.446,0.446,5,5,5,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",50,10,0.694,0.694,0.694,-0.125,-0.006,0.108,0.046,0.046,0.046,0.064,0.064,0.064,0.593,0.593,0.593,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",50,15,0.818,0.818,0.818,-0.081,0.001,0.066,0.03,0.03,0.03,0.052,0.052,0.052,0.544,0.544,0.544,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",60,5,0.574,0.574,0.574,-0.17,-0.053,0.085,0.078,0.078,0.078,0.07,0.07,0.07,0.439,0.439,0.439,3,3,3,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",60,10,0.778,0.778,0.778,-0.059,-0.008,0.076,0.036,0.036,0.036,0.057,0.057,0.057,0.56,0.56,0.56,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",60,15,0.943,0.943,0.943,-0.043,-0.002,0.036,0.015,0.015,0.015,0.046,0.046,0.046,0.535,0.535,0.535,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",70,5,0.618,0.618,0.618,-0.149,-0.05,0.04,0.07,0.07,0.07,0.062,0.062,0.062,0.399,0.399,0.399,2,2,2,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",70,10,0.811,0.811,0.811,-0.047,-0.008,0.074,0.031,0.031,0.031,0.053,0.053,0.053,0.549,0.549,0.549,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"high NED","by order",70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,0.042,0.042,0.506,0.506,0.506,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"low NED","random",14,5,-0.186,0.305,0.766,-0.744,-0.083,0.556,0.119,0.18,0.236,0.125,0.167,0.228,0,0.349,0.686,0,0.781,5,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",14,10,-0.199,0.302,0.799,-0.682,-0.042,0.52,0.099,0.154,0.207,0.108,0.154,0.201,0,0.497,0.784,0,0.16,3,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",14,15,-0.315,0.264,0.831,-0.649,-0.032,0.441,0.075,0.141,0.188,0.099,0.138,0.178,0,0.463,0.736,0,0.08,2,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",20,5,-0.097,0.377,0.793,-0.717,-0.074,0.449,0.099,0.158,0.204,0.114,0.15,0.195,0.008,0.447,0.704,0,0.317,3,0,0,0,0,0,0,37,37,37,37,37,37
