"group","occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","min_diff_ICC_min","mean_diff_ICC_mean","max_diff_ICC_max","RMSE_ICC_min","RMSE_ICC_mean","RMSE_ICC_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"high NED","random",3,5,-0.68,0.17,0.8,-0.44,-0.08,0.82,0.09,0.2,0.33,0.08,0.19,0.34,0,0.01,0.67,0,4.96,10,0,0.01,1,0,0,0,11,11.99,12,11,11.99,12
"high NED","random",3,10,-0.63,0.21,0.84,-0.3,-0.05,0.72,0.08,0.16,0.28,0.05,0.15,0.3,0,0.02,0.67,0,3.52,9,0,0,1,0,0,0,11,12,12,11,12,12
"high NED","random",3,15,-0.48,0.26,0.78,-0.26,-0.04,0.64,0.07,0.13,0.25,0.04,0.13,0.25,0,0.03,0.66,0,2.8,10,0,0,1,0,0,0,11,12,12,11,12,12
"high NED","random",10,5,-0.42,0.36,0.81,-0.38,-0.07,0.43,0.07,0.13,0.19,0.05,0.12,0.2,0,0.04,0.52,0,3.28,8,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",10,10,-0.51,0.4,0.91,-0.25,-0.03,0.6,0.05,0.1,0.19,0.04,0.1,0.21,0,0.15,0.72,0,1.22,5,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",10,15,-0.64,0.44,0.89,-0.21,-0.02,0.42,0.05,0.08,0.13,0.04,0.09,0.16,0,0.2,0.78,0,0.58,4,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",20,5,-0.15,0.48,0.89,-0.32,-0.06,0.28,0.06,0.11,0.16,0.03,0.1,0.17,0,0.11,0.68,0,2.17,6,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",20,10,-0.27,0.52,0.91,-0.23,-0.03,0.41,0.04,0.07,0.14,0.03,0.08,0.15,0,0.3,0.78,0,0.4,3,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",20,15,-0.19,0.55,0.88,-0.19,-0.01,0.22,0.03,0.06,0.09,0.03,0.07,0.11,0,0.31,0.77,0,0.13,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",30,5,-0.01,0.55,0.83,-0.27,-0.06,0.24,0.05,0.09,0.14,0.03,0.08,0.13,0,0.17,0.65,0,1.55,6,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",30,10,-0.19,0.61,0.93,-0.2,-0.02,0.31,0.03,0.06,0.11,0.04,0.07,0.13,0,0.38,0.77,0,0.2,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",30,15,0.02,0.65,0.92,-0.17,0,0.15,0.02,0.05,0.08,0.03,0.06,0.1,0,0.37,0.81,0,0.03,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",40,5,0.17,0.62,0.87,-0.23,-0.06,0.18,0.05,0.08,0.12,0.04,0.08,0.11,0,0.24,0.65,0,1.23,4,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",40,10,0.15,0.68,0.97,-0.17,-0.02,0.17,0.02,0.05,0.08,0.03,0.06,0.1,0,0.43,0.8,0,0.07,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",40,15,0.2,0.74,0.98,-0.15,0,0.16,0.02,0.04,0.06,0.03,0.05,0.08,0,0.42,0.8,0,0.01,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",50,5,0.27,0.66,0.91,-0.22,-0.06,0.13,0.05,0.08,0.11,0.03,0.07,0.1,0,0.3,0.64,0,0.95,4,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",50,10,0.33,0.74,0.94,-0.16,-0.02,0.15,0.02,0.04,0.07,0.04,0.06,0.09,0,0.48,0.79,0,0.03,2,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",50,15,0.37,0.8,0.98,-0.13,0,0.11,0.01,0.03,0.05,0.03,0.05,0.07,0,0.46,0.8,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",60,5,0.36,0.7,0.89,-0.22,-0.06,0.11,0.05,0.08,0.1,0.04,0.07,0.1,0,0.36,0.68,0,0.71,4,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",60,10,0.37,0.8,0.98,-0.15,-0.02,0.11,0.02,0.04,0.07,0.03,0.05,0.07,0,0.51,0.77,0,0.01,1,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",60,15,0.47,0.85,0.98,-0.13,0,0.1,0.01,0.03,0.05,0.03,0.05,0.07,0,0.49,0.81,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
"high NED","random",70,5,0.48,0.73,0.88,-0.2,-0.06,0.07,0.05,0.07,0.09,0.04,0.07,0.09,0,0.41,0.69,0,0.57,3,0,0,0,0,0,0,12,12,12,12,12,12
