"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","min_diff_ICC_min","mean_diff_ICC_mean","max_diff_ICC_max","RMSE_mean","RMSE_min","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_min","percnegICC_mean","percnegICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"random",14,5,0.387,0.592,0.765,-0.74,-0.071,0.68,0.144,0.071,0.518,0.137,0.168,0.199,0.135,0.44,0.633,0.028,0.109,0.22,0,0,0,0,0,0,109,109,109,109,109,109
"random",14,10,0.414,0.64,0.789,-0.679,-0.03,0.661,0.113,0.044,0.472,0.126,0.156,0.194,0.426,0.614,0.765,0,0.023,0.073,0,0,0,0,0,0,109,109,109,109,109,109
"random",14,15,0.475,0.683,0.851,-0.653,-0.019,0.604,0.096,0.034,0.477,0.122,0.145,0.172,0.463,0.632,0.75,0,0.009,0.046,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,5,0.48,0.665,0.806,-0.72,-0.066,0.662,0.125,0.064,0.491,0.123,0.156,0.185,0.29,0.558,0.704,0.009,0.078,0.165,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,10,0.556,0.712,0.854,-0.66,-0.025,0.6,0.095,0.034,0.442,0.125,0.146,0.174,0.589,0.697,0.784,0,0.011,0.046,0,0,0,0,0,0,109,109,109,109,109,109
"random",20,15,0.587,0.765,0.879,-0.634,-0.013,0.513,0.077,0.026,0.434,0.115,0.136,0.161,0.604,0.71,0.805,0,0.002,0.028,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,5,0.59,0.743,0.859,-0.698,-0.063,0.598,0.106,0.045,0.433,0.124,0.145,0.165,0.536,0.66,0.742,0,0.05,0.11,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,10,0.625,0.798,0.894,-0.635,-0.018,0.533,0.074,0.025,0.393,0.118,0.137,0.158,0.699,0.77,0.828,0,0.004,0.028,0,0,0,0,0,0,109,109,109,109,109,109
"random",30,15,0.722,0.842,0.928,-0.618,-0.008,0.5,0.058,0.02,0.388,0.109,0.127,0.144,0.699,0.779,0.838,0,0,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,5,0.669,0.8,0.892,-0.652,-0.06,0.512,0.093,0.036,0.373,0.119,0.138,0.162,0.631,0.724,0.801,0,0.035,0.092,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,10,0.701,0.854,0.932,-0.609,-0.015,0.461,0.061,0.019,0.337,0.114,0.131,0.148,0.758,0.81,0.849,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"random",40,15,0.774,0.901,0.963,-0.619,-0.005,0.367,0.044,0.014,0.336,0.107,0.122,0.137,0.773,0.82,0.863,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,5,0.696,0.843,0.911,-0.632,-0.059,0.451,0.083,0.028,0.302,0.12,0.134,0.147,0.709,0.766,0.807,0,0.026,0.073,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,10,0.765,0.899,0.948,-0.594,-0.013,0.432,0.05,0.015,0.28,0.113,0.127,0.139,0.793,0.838,0.869,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",50,15,0.83,0.944,0.981,-0.577,-0.003,0.274,0.032,0.011,0.277,0.108,0.119,0.128,0.811,0.846,0.874,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,5,0.759,0.875,0.916,-0.612,-0.057,0.405,0.075,0.019,0.218,0.121,0.131,0.14,0.762,0.796,0.821,0,0.02,0.046,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,10,0.838,0.935,0.963,-0.574,-0.011,0.341,0.04,0.011,0.2,0.114,0.124,0.131,0.834,0.858,0.875,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"random",60,15,0.872,0.978,0.993,-0.572,-0.001,0.152,0.021,0.007,0.189,0.108,0.117,0.124,0.845,0.866,0.884,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",14,5,0.515,0.515,0.515,-0.442,-0.087,0.333,NA,NA,NA,0.17,0.17,0.17,0.468,0.468,0.468,0.119,0.119,0.119,0,0,0,0,0,0,109,109,109,109,109,109
"by order",14,10,0.542,0.542,0.542,-0.491,-0.022,0.357,NA,NA,NA,0.164,0.164,0.164,0.648,0.648,0.648,0.028,0.028,0.028,0,0,0,0,0,0,109,109,109,109,109,109
"by order",14,15,0.558,0.558,0.558,-0.493,-0.011,0.319,NA,NA,NA,0.152,0.152,0.152,0.647,0.647,0.647,0.009,0.009,0.009,0,0,0,0,0,0,109,109,109,109,109,109
"by order",20,5,0.609,0.609,0.609,-0.508,-0.077,0.387,NA,NA,NA,0.159,0.159,0.159,0.582,0.582,0.582,0.083,0.083,0.083,0,0,0,0,0,0,109,109,109,109,109,109
"by order",20,10,0.647,0.647,0.647,-0.486,-0.011,0.398,NA,NA,NA,0.152,0.152,0.152,0.714,0.714,0.714,0.018,0.018,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"by order",20,15,0.678,0.678,0.678,-0.475,0,0.342,NA,NA,NA,0.14,0.14,0.14,0.701,0.701,0.701,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",30,5,0.689,0.689,0.689,-0.531,-0.067,0.29,NA,NA,NA,0.147,0.147,0.147,0.681,0.681,0.681,0.083,0.083,0.083,0,0,0,0,0,0,109,109,109,109,109,109
"by order",30,10,0.727,0.727,0.727,-0.473,-0.009,0.23,NA,NA,NA,0.144,0.144,0.144,0.791,0.791,0.791,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",30,15,0.756,0.756,0.756,-0.501,0.001,0.238,NA,NA,NA,0.131,0.131,0.131,0.783,0.783,0.783,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",40,5,0.733,0.733,0.733,-0.554,-0.067,0.251,NA,NA,NA,0.139,0.139,0.139,0.734,0.734,0.734,0.064,0.064,0.064,0,0,0,0,0,0,109,109,109,109,109,109
"by order",40,10,0.764,0.764,0.764,-0.529,-0.013,0.187,NA,NA,NA,0.131,0.131,0.131,0.814,0.814,0.814,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",40,15,0.8,0.8,0.8,-0.532,-0.001,0.205,NA,NA,NA,0.123,0.123,0.123,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",50,5,0.763,0.763,0.763,-0.546,-0.065,0.244,NA,NA,NA,0.133,0.133,0.133,0.77,0.77,0.77,0.055,0.055,0.055,0,0,0,0,0,0,109,109,109,109,109,109
"by order",50,10,0.811,0.811,0.811,-0.472,-0.015,0.12,NA,NA,NA,0.122,0.122,0.122,0.83,0.83,0.83,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",50,15,0.846,0.846,0.846,-0.492,-0.003,0.127,NA,NA,NA,0.116,0.116,0.116,0.842,0.842,0.842,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",60,5,0.789,0.789,0.789,-0.56,-0.062,0.251,NA,NA,NA,0.128,0.128,0.128,0.791,0.791,0.791,0.028,0.028,0.028,0,0,0,0,0,0,109,109,109,109,109,109
"by order",60,10,0.861,0.861,0.861,-0.483,-0.016,0.114,NA,NA,NA,0.118,0.118,0.118,0.846,0.846,0.846,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",60,15,0.89,0.89,0.89,-0.503,-0.005,0.072,NA,NA,NA,0.113,0.113,0.113,0.861,0.861,0.861,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",70,5,0.901,0.901,0.901,-0.173,-0.056,0.2,NA,NA,NA,0.129,0.129,0.129,0.82,0.82,0.82,0.018,0.018,0.018,0,0,0,0,0,0,109,109,109,109,109,109
"by order",70,10,0.963,0.963,0.963,-0.079,-0.01,0.107,NA,NA,NA,0.122,0.122,0.122,0.874,0.874,0.874,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
"by order",70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115,0.115,0.115,0.881,0.881,0.881,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109
